datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,6.72,6.79,6.7,6.75,116541,84000149,0
2020-01-03,6.77,6.79,6.71,6.75,83188,59958478,0
2020-01-06,6.73,6.81,6.68,6.76,119691,86366708,0
2020-01-07,6.75,6.83,6.73,6.79,95043,68859318,0
2020-01-08,6.77,6.78,6.65,6.7,99621,71478795,0
2020-01-09,6.74,6.98,6.7,6.88,213079,155883515,0
2020-01-10,6.87,6.87,6.77,6.81,101592,73817547,0
2020-01-13,6.8,6.84,6.72,6.84,70407,50968988,0
2020-01-14,6.81,6.89,6.8,6.8,75277,54957195,0
2020-01-15,6.8,6.85,6.72,6.75,71247,51494592,0
2020-01-16,6.79,6.79,6.69,6.7,65608,47124117,0
2020-01-17,6.73,6.76,6.64,6.67,77220,55207993,0
2020-01-20,6.72,6.74,6.66,6.73,55267,39595224,0
2020-01-21,6.71,6.71,6.63,6.63,67921,48306276,0
2020-01-22,6.66,6.66,6.5,6.61,72083,50663872,0
2020-01-23,6.57,6.57,6.33,6.37,112692,77787091,0
2020-02-03,5.69,5.69,5.69,5.69,44755,27524325,0
2020-02-04,5.36,5.73,5.36,5.63,132874,80463063,0
2020-02-05,5.63,5.77,5.58,5.73,123670,75990869,0
2020-02-06,5.72,5.82,5.65,5.76,150885,93236395,0
2020-02-07,5.73,5.73,5.64,5.7,116497,71512241,0
2020-02-10,5.69,5.77,5.65,5.76,119936,74184647,0
2020-02-11,5.78,5.97,5.74,5.87,146352,92574144,0
2020-02-12,5.83,5.88,5.78,5.86,94007,59189611,0
2020-02-13,5.85,5.9,5.79,5.8,97703,61452163,0
2020-02-14,5.78,5.81,5.73,5.77,79747,49674404,0
2020-02-17,5.79,5.96,5.77,5.95,156406,99403521,0
2020-02-18,6.02,6.16,6.0,6.09,199629,130794524,0
2020-02-19,6.07,6.08,6.0,6.05,109429,71150205,0
2020-02-20,6.07,6.16,6.02,6.14,124013,81210331,0
2020-02-21,6.12,6.2,6.09,6.17,115888,76579712,0
2020-02-24,6.1,6.14,6.02,6.08,154376,100720889,0
2020-02-25,5.99,6.0,5.83,5.94,165385,105551973,0
2020-02-26,5.85,6.27,5.83,6.13,294984,194010179,0
2020-02-27,6.14,6.33,6.12,6.19,184885,123482202,0
2020-02-28,6.09,6.22,5.92,5.94,181451,118517317,0
2020-03-02,5.99,6.49,5.97,6.38,291844,197722049,0
2020-03-03,6.38,6.63,6.33,6.51,369662,256054441,0
2020-03-04,6.39,6.69,6.38,6.61,262518,184328222,0
2020-03-05,6.6,6.77,6.58,6.63,262380,186752391,0
2020-03-06,6.57,6.66,6.46,6.49,194530,136106025,0
2020-03-09,6.35,6.45,6.22,6.22,170315,115455438,0
2020-03-10,6.14,6.38,6.12,6.36,144376,97200856,0
2020-03-11,6.36,6.45,6.29,6.29,123202,84143970,0
2020-03-12,6.24,6.31,6.15,6.19,91365,60916680,0
2020-03-13,5.99,6.12,5.88,6.08,145602,94075335,0
2020-03-16,6.13,6.18,5.82,5.85,137591,88884869,0
2020-03-17,5.83,5.93,5.64,5.81,101092,63159025,0
2020-03-18,5.89,5.93,5.74,5.74,99468,62601974,0
2020-03-19,5.74,5.82,5.57,5.81,115712,71276111,0
2020-03-20,5.83,5.86,5.75,5.85,60744,38108165,0
2020-03-23,5.74,5.74,5.61,5.64,75190,45993944,0
2020-03-24,5.7,5.76,5.62,5.72,61843,38046119,0
2020-03-25,5.8,5.83,5.73,5.8,80394,50274311,0
2020-03-26,5.78,5.79,5.68,5.7,55144,34159695,0
2020-03-27,5.74,5.86,5.69,5.76,87198,54506742,0
2020-03-30,5.68,5.83,5.64,5.79,90132,55806876,0
2020-03-31,5.8,5.84,5.7,5.72,65060,40509293,0
2020-04-01,5.69,5.78,5.68,5.7,46533,28743065,0
2020-04-02,5.65,5.79,5.65,5.79,71253,44216692,0
2020-04-03,5.75,5.82,5.69,5.72,57788,35831384,0
2020-04-07,5.79,5.85,5.74,5.83,107815,67555151,0
2020-04-08,5.8,5.85,5.76,5.82,60910,38142381,0
2020-04-09,5.84,5.91,5.81,5.84,65386,41262052,0
2020-04-10,5.83,5.86,5.74,5.74,54767,34168044,0
2020-04-13,5.72,5.75,5.7,5.72,41287,25517099,0
2020-04-14,5.73,5.79,5.72,5.77,45474,28273264,0
2020-04-15,5.77,5.77,5.71,5.73,42867,26559841,0
2020-04-16,5.72,5.76,5.69,5.74,46766,28953684,0
2020-04-17,5.76,5.84,5.71,5.76,82681,51616693,0
2020-04-20,5.77,5.84,5.74,5.78,55220,34456887,0
2020-04-21,5.75,5.75,5.67,5.72,61055,37645768,0
2020-04-22,5.7,5.72,5.66,5.72,48378,29763080,0
2020-04-23,5.72,5.75,5.69,5.7,54482,33628000,0
2020-04-24,5.72,5.72,5.61,5.64,64460,39398938,0
2020-04-27,5.65,5.76,5.64,5.7,63845,39381070,0
2020-04-28,5.67,5.69,5.5,5.56,67418,40779049,0
2020-04-29,5.57,5.65,5.56,5.61,48763,29509556,0
2020-04-30,5.64,5.83,5.62,5.79,129306,80347496,0
2020-05-06,5.77,5.84,5.74,5.83,94912,59462206,0
2020-05-07,5.82,5.84,5.75,5.77,49747,31033502,0
2020-05-08,5.79,5.84,5.76,5.81,76126,47740611,0
2020-05-11,5.84,6.02,5.81,5.91,134173,85435411,0
2020-05-12,5.88,6.2,5.85,6.16,240880,157128803,0
2020-05-13,6.12,6.13,5.95,6.04,132229,85886440,0
2020-05-14,6.0,6.02,5.9,5.93,92135,58952540,0
2020-05-15,5.92,5.96,5.85,5.86,72869,46388088,0
2020-05-18,5.87,6.14,5.84,6.03,149081,96823857,0
2020-05-19,6.04,6.07,5.96,5.98,68325,44083387,0
2020-05-20,5.96,5.97,5.85,5.91,68202,43368886,0
2020-05-21,5.9,5.96,5.86,5.88,55159,35081098,0
2020-05-22,5.87,5.93,5.72,5.73,78816,49334696,0
2020-05-25,5.73,5.84,5.71,5.73,43500,27075984,0
2020-05-26,5.73,5.81,5.73,5.77,35988,22441679,0
2020-05-27,5.78,5.79,5.67,5.69,50247,31024538,0
2020-05-28,5.68,5.73,5.6,5.65,64441,39412892,0
2020-05-29,5.64,5.68,5.61,5.66,27563,16851012,0
2020-06-01,5.65,5.81,5.65,5.78,60688,37752290,0
2020-06-02,5.79,5.85,5.74,5.8,54004,33756767,0
2020-06-03,5.8,5.91,5.79,5.83,69095,43558366,0
2020-06-04,5.85,5.87,5.79,5.83,41969,26316043,0
2020-06-05,5.81,5.84,5.74,5.81,53523,33422417,0
2020-06-08,5.82,5.86,5.77,5.8,37768,23665166,0
2020-06-09,5.81,5.81,5.72,5.76,49114,30569968,0
2020-06-10,5.75,5.76,5.68,5.73,53409,32985821,0
2020-06-11,5.74,5.79,5.72,5.79,61452,38184715,0
2020-06-12,5.7,5.91,5.69,5.9,138643,87120690,0
2020-06-15,5.93,5.95,5.85,5.92,109547,69847341,0
2020-06-16,5.94,5.99,5.89,5.91,51290,32814953,0
2020-06-17,5.91,5.94,5.85,5.92,48066,30537790,0
2020-06-18,5.92,5.96,5.88,5.91,47409,30231418,0
2020-06-19,5.92,5.93,5.86,5.91,64085,40658634,0
2020-06-22,5.9,5.93,5.84,5.86,52331,33199510,0
2020-06-23,5.86,5.87,5.77,5.79,48619,30445843,0
2020-06-24,5.79,5.8,5.74,5.78,38527,23989805,0
2020-06-29,5.77,5.78,5.69,5.69,46958,29011634,0
2020-06-30,5.73,5.75,5.7,5.72,38475,23785238,0
2020-07-01,5.73,5.83,5.7,5.8,61142,38090832,0
2020-07-02,5.81,5.92,5.78,5.91,102207,64604418,0
2020-07-03,5.93,6.14,5.92,6.07,192702,125365364,0
2020-07-06,6.09,6.37,6.09,6.35,457980,307442656,0
2020-07-07,6.44,6.48,6.22,6.26,324936,220780037,0
2020-07-08,6.24,6.43,6.22,6.41,241459,164234902,0
2020-07-09,6.41,6.62,6.34,6.57,292357,204935855,0
2020-07-10,6.54,6.57,6.3,6.34,229304,158463213,0
2020-07-13,6.35,6.65,6.34,6.59,228175,159205162,0
2020-07-14,6.59,6.73,6.46,6.57,215594,150929647,0
2020-07-15,6.58,6.6,6.34,6.36,174578,119597866,0
2020-07-16,6.39,6.45,6.17,6.18,159065,106901420,0
2020-07-17,6.18,6.29,6.18,6.21,110760,73518539,0
2020-07-20,6.24,6.5,6.24,6.49,158237,107942262,0
2020-07-21,6.5,6.67,6.45,6.47,155784,108248856,0
2020-07-22,6.44,6.58,6.38,6.4,169063,116318053,0
2020-07-23,6.4,6.89,6.31,6.8,377902,266399222,0
2020-07-24,6.74,6.95,6.53,6.57,348270,249040736,0
2020-07-27,6.61,6.96,6.45,6.86,345537,248377134,0
2020-07-28,6.8,6.94,6.68,6.74,227039,163762891,0
2020-07-29,6.78,6.79,6.62,6.79,172676,123203445,0
2020-07-30,6.8,6.82,6.64,6.72,165464,117804142,0
2020-07-31,6.67,6.77,6.56,6.67,154394,109067478,0
2020-08-03,6.69,6.83,6.64,6.79,217071,155169524,0
2020-08-04,6.77,6.8,6.61,6.62,216457,153195955,0
2020-08-05,6.62,6.64,6.53,6.59,145719,101815219,0
2020-08-06,6.6,6.73,6.51,6.68,168899,118541378,0
2020-08-07,6.62,6.64,6.53,6.57,121602,85072300,0
2020-08-10,6.59,7.27,6.57,7.27,453000,334802464,0
2020-08-11,7.59,8.04,7.5,8.04,1214473,1016765824,0
2020-08-12,8.04,8.89,7.89,8.89,2061312,1841244000,0
2020-08-13,8.91,9.75,8.3,9.08,2025000,1929337216,0
2020-08-14,8.73,8.95,8.13,8.16,1453330,1278154800,0
2020-08-17,8.05,8.46,7.83,8.33,1106905,955023728,0
2020-08-18,8.3,9.2,8.24,9.2,1050853,967965312,0
2020-08-19,9.61,9.73,8.91,8.95,1356617,1331933648,0
2020-08-20,8.69,9.41,8.55,8.62,888836,827694384,0
2020-08-21,8.87,8.91,8.34,8.47,649708,581577488,0
2020-08-24,8.31,8.46,7.98,8.4,500016,434223664,0
2020-08-25,8.38,8.38,7.94,8.06,514893,439547264,0
2020-08-26,8.05,8.22,7.86,7.9,425328,358092144,0
2020-08-27,7.86,8.02,7.79,7.93,277579,230348015,0
2020-08-28,7.9,7.93,7.6,7.84,394910,322961904,0
2020-08-31,7.81,8.24,7.81,8.11,508609,431479088,0
2020-09-01,8.02,8.22,7.98,8.16,313296,267382767,0
2020-09-02,8.19,8.23,7.85,8.03,449575,375701760,0
2020-09-03,8.38,8.47,7.92,7.93,607756,523879824,0
2020-09-04,7.56,7.65,7.4,7.5,470890,373444848,0
2020-09-07,7.48,7.49,7.19,7.23,311975,241828302,0
2020-09-08,7.18,7.41,7.16,7.36,202402,155612238,0
2020-09-09,7.25,7.3,7.16,7.21,186724,142692681,0
2020-09-10,7.25,7.33,6.9,6.94,209417,157968401,0
2020-09-11,6.92,7.06,6.86,7.03,135888,100175598,0
2020-09-14,7.06,7.08,6.89,6.99,157248,116094682,0
2020-09-15,6.98,7.02,6.9,7.01,112087,82641535,0
2020-09-16,7.0,7.0,6.91,6.93,92077,67695886,0
2020-09-17,6.95,6.96,6.81,6.91,126393,92106700,0
2020-09-18,6.92,7.18,6.87,7.16,228190,170392977,0
2020-09-21,7.17,7.28,7.07,7.16,181599,137596169,0
2020-09-22,7.04,7.13,6.95,6.97,119324,88836509,0
2020-09-23,6.99,7.02,6.87,6.95,104998,77125658,0
2020-09-24,6.89,6.91,6.7,6.73,150086,108000711,0
2020-09-25,6.75,7.02,6.69,6.89,178975,130388669,0
2020-09-28,6.91,6.94,6.76,6.77,91982,66419040,0
