datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,11.72,11.78,11.46,11.53,253280,293057104,0
2025-11-26 11:30:00,11.52,11.61,11.5,11.57,70519,81387424,0
2025-11-26 14:00:00,11.56,11.57,11.45,11.48,78332,90133583,0
2025-11-26 15:00:00,11.48,11.5,11.43,11.45,104470,119646331,0
2025-11-27 10:30:00,11.46,11.64,11.41,11.53,161750,186290520,0
2025-11-27 11:30:00,11.53,11.54,11.38,11.4,73618,84328122,0
2025-11-27 14:00:00,11.4,11.47,11.36,11.41,55464,63257377,0
2025-11-27 15:00:00,11.4,11.41,11.32,11.33,100497,114072503,0
2025-11-28 10:30:00,11.28,11.43,11.28,11.4,119789,135953573,0
2025-11-28 11:30:00,11.39,11.43,11.39,11.42,54277,61941989,0
2025-11-28 14:00:00,11.42,11.47,11.4,11.42,44891,51305223,0
2025-11-28 15:00:00,11.42,11.61,11.42,11.59,139128,160362405,0
2025-12-01 10:30:00,11.59,11.85,11.55,11.65,184317,215529309,0
2025-12-01 11:30:00,11.65,11.72,11.62,11.66,59239,69115575,0
2025-12-01 14:00:00,11.67,11.71,11.64,11.66,48495,56557279,0
2025-12-01 15:00:00,11.65,11.7,11.64,11.69,88668,103505834,0
2025-12-02 10:30:00,11.56,11.61,11.46,11.52,139125,160278441,0
2025-12-02 11:30:00,11.52,11.63,11.51,11.53,65043,75167651,0
2025-12-02 14:00:00,11.53,11.56,11.51,11.53,29957,34533512,0
2025-12-02 15:00:00,11.53,11.53,11.49,11.51,64126,73784615,0
2025-12-03 10:30:00,11.52,11.59,11.38,11.38,109367,125002393,0
2025-12-03 11:30:00,11.38,11.49,11.37,11.44,44254,50569194,0
2025-12-03 14:00:00,11.44,11.45,11.33,11.34,58714,66841774,0
2025-12-03 15:00:00,11.34,11.36,11.3,11.35,66326,75163258,0
2025-12-04 10:30:00,11.35,11.91,11.31,11.85,512804,599101990,0
2025-12-04 11:30:00,11.86,12.05,11.81,11.99,321351,384030438,0
2025-12-04 14:00:00,12.0,12.24,11.92,11.99,276926,334511289,0
2025-12-04 15:00:00,12.0,12.05,11.95,11.96,177073,212224147,0
2025-12-05 10:30:00,12.05,12.31,11.82,12.24,447338,538133549,0
2025-12-05 11:30:00,12.24,12.37,12.13,12.27,180628,221398127,0
2025-12-05 14:00:00,12.26,12.33,12.14,12.18,177281,216681104,0
2025-12-05 15:00:00,12.19,12.24,12.16,12.24,221310,270088054,0
2025-12-08 10:30:00,12.25,12.49,12.18,12.29,457703,565265369,0
2025-12-08 11:30:00,12.29,12.38,12.24,12.27,115988,142492267,0
2025-12-08 14:00:00,12.27,12.3,12.2,12.21,121916,149462190,0
2025-12-08 15:00:00,12.21,12.22,12.15,12.19,185803,226357197,0
2025-12-09 10:30:00,12.03,12.18,11.92,11.95,237785,285977221,0
2025-12-09 11:30:00,11.95,11.97,11.9,11.94,77768,92771317,0
2025-12-09 14:00:00,11.94,11.94,11.81,11.84,99924,118434648,0
2025-12-09 15:00:00,11.83,11.84,11.8,11.83,89585,105943621,0
2025-12-10 10:30:00,11.75,11.84,11.62,11.66,153159,179188365,0
2025-12-10 11:30:00,11.66,11.74,11.65,11.7,46649,54581915,0
2025-12-10 14:00:00,11.7,11.75,11.64,11.72,49958,58431406,0
2025-12-10 15:00:00,11.72,11.79,11.72,11.77,74909,88119734,0
2025-12-11 10:30:00,11.8,12.02,11.79,11.99,256230,304820448,0
2025-12-11 11:30:00,11.98,11.98,11.78,11.78,82943,98335050,0
2025-12-11 14:00:00,11.78,12.05,11.75,11.87,144729,172426681,0
2025-12-11 15:00:00,11.87,11.96,11.81,11.83,131628,156266348,0
2025-12-12 10:30:00,11.71,12.69,11.62,12.39,742910,912260709,0
2025-12-12 11:30:00,12.38,12.65,12.36,12.64,213203,266495374,0
2025-12-12 14:00:00,12.65,13.01,12.64,13.01,500015,646630867,0
2025-12-12 15:00:00,13.01,13.01,13.01,13.01,69282,90135882,0
2025-12-15 10:30:00,13.2,13.45,12.88,12.99,939292,1231210438,0
2025-12-15 11:30:00,12.97,13.06,12.84,12.9,217033,280866517,0
2025-12-15 14:00:00,12.89,12.94,12.86,12.9,128775,166036680,0
2025-12-15 15:00:00,12.89,12.99,12.8,12.81,213114,274148928,0
2025-12-16 10:30:00,12.65,12.8,12.3,12.33,448754,559033756,0
2025-12-16 11:30:00,12.33,12.38,12.22,12.32,139559,171451014,0
2025-12-16 14:00:00,12.33,12.38,12.21,12.31,99526,122242800,0
2025-12-16 15:00:00,12.3,12.33,12.27,12.31,129939,159830381,0
2025-12-17 10:30:00,12.27,12.49,12.04,12.12,334387,409841370,0
2025-12-17 11:30:00,12.13,12.24,12.02,12.12,85482,103604166,0
2025-12-17 14:00:00,12.11,12.35,12.09,12.35,127282,155810853,0
2025-12-17 15:00:00,12.35,12.47,12.34,12.39,337589,418618263,0
2025-12-18 10:30:00,12.25,12.45,12.14,12.36,264737,326158305,0
2025-12-18 11:30:00,12.37,12.39,12.27,12.34,85442,105210920,0
2025-12-18 14:00:00,12.35,12.39,12.12,12.14,152445,186474897,0
2025-12-18 15:00:00,12.14,12.17,12.1,12.12,157194,190654230,0
2025-12-19 10:30:00,12.6,13.12,12.59,12.75,719538,924828986,0
2025-12-19 11:30:00,12.75,12.8,12.64,12.69,126502,160947157,0
2025-12-19 14:00:00,12.68,12.85,12.66,12.71,118312,150785392,0
2025-12-19 15:00:00,12.72,12.75,12.67,12.71,189952,241316267,0
2025-12-22 10:30:00,12.7,13.12,12.7,12.79,349809,449301857,0
2025-12-22 11:30:00,12.77,12.88,12.75,12.83,103586,132731201,0
2025-12-22 14:00:00,12.84,12.93,12.77,12.82,103894,133401940,0
2025-12-22 15:00:00,12.82,12.85,12.79,12.84,117415,150538040,0
2025-12-23 10:30:00,12.8,12.84,12.58,12.79,201868,256311821,0
2025-12-23 11:30:00,12.79,12.91,12.73,12.73,132037,169555931,0
2025-12-23 14:00:00,12.73,12.81,12.66,12.7,87761,111584424,0
2025-12-23 15:00:00,12.7,12.74,12.63,12.73,141952,180102161,0
2025-12-24 10:30:00,12.66,12.98,12.52,12.8,247058,315538465,0
2025-12-24 11:30:00,12.8,12.86,12.78,12.81,78731,100909103,0
2025-12-24 14:00:00,12.81,12.98,12.81,12.94,203886,263760996,0
2025-12-24 15:00:00,12.94,12.95,12.88,12.91,186800,241081829,0
2025-12-25 10:30:00,12.91,13.39,12.81,13.29,580358,764062419,0
2025-12-25 11:30:00,13.29,13.37,13.14,13.17,179078,237336206,0
2025-12-25 14:00:00,13.17,13.24,13.07,13.12,143799,189211794,0
2025-12-25 15:00:00,13.11,13.19,13.1,13.19,183858,241503828,0
2025-12-26 10:30:00,13.11,13.51,12.98,13.48,475955,629894528,0
2025-12-26 11:30:00,13.48,13.59,13.05,13.16,299615,400069276,0
2025-12-26 14:00:00,13.16,13.84,13.16,13.74,450605,612172912,0
2025-12-26 15:00:00,13.74,13.74,13.52,13.69,272704,372514554,0
2025-12-29 10:30:00,13.68,13.68,13.22,13.31,471289,630535975,0
