datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,6.72,6.98,6.33,6.37,1496477,1076469858,0
2020-02-29,5.69,6.33,5.36,5.94,2792872,1787222715,0
2020-03-31,5.99,6.77,5.57,5.72,3085362,2056082531,0
2020-04-30,5.69,5.91,5.5,5.79,1316454,815749194,0
2020-05-31,5.77,6.2,5.6,5.66,1534393,977525630,0
2020-06-30,5.65,5.99,5.65,5.72,1164972,731854409,0
2020-07-31,5.73,6.96,5.7,6.67,5064625,3504234130,0
2020-08-31,6.69,9.75,6.51,8.11,15751117,13894945319,0
2020-09-30,8.02,8.47,6.69,6.87,4654895,3638615820,0
2020-10-31,6.93,7.86,6.79,6.79,2795235,2153329180,0
2020-11-30,6.83,7.58,6.71,7.35,3353237,2521390616,0
2020-12-31,7.34,7.71,6.52,6.87,3871107,2866107753,0
2021-01-31,6.82,8.45,6.76,7.99,11164782,8927790451,0
2021-02-28,8.18,8.26,6.1,6.65,5253946,3856204309,0
2021-03-31,6.69,8.12,6.66,7.96,9727482,7719606322,0
2021-04-30,7.88,8.28,7.18,7.27,6689329,5463922436,0
2021-05-31,7.22,7.54,6.62,6.97,3083325,2277227248,0
2021-06-30,6.96,6.97,6.65,6.81,2144720,1552697902,0
2021-07-31,6.86,6.87,6.37,6.7,2452179,1714023042,0
2021-08-31,6.7,8.62,6.63,8.14,8423236,6678719039,0
2021-09-30,8.14,11.35,8.07,9.38,14987408,14972800288,0
2021-10-31,9.34,9.48,7.79,8.02,6185757,5341167481,0
2021-11-30,7.96,9.88,7.95,9.63,8103611,7426599447,0
2021-12-31,9.58,10.76,9.18,9.63,9149602,9333806461,0
2022-01-31,9.66,9.88,7.99,8.09,5251191,4864330902,0
2022-02-28,8.27,9.15,8.21,8.68,3972420,3613347345,0
2022-03-31,8.68,9.14,7.04,7.63,5563567,4704536809,0
2022-04-30,7.62,8.84,7.04,7.53,6453176,5313371390,0
2022-05-31,7.52,8.41,7.49,8.16,4128676,3441985990,0
2022-06-30,8.13,8.62,7.87,8.05,3924553,3353455137,0
2022-07-31,8.05,8.63,7.99,8.04,3120502,2690226169,0
2022-08-31,8.03,8.36,7.41,8.21,2801586,2271029193,0
2022-09-30,8.26,9.03,7.42,7.43,4121189,3541426640,0
2022-10-31,7.44,7.88,7.11,7.19,1907709,1500725706,0
2022-11-30,7.19,8.21,7.14,7.8,4261093,3376005926,0
2022-12-31,7.84,8.3,7.25,7.33,3563072,2873410272,0
2023-01-31,7.33,7.75,7.32,7.67,1402017,1089567967,0
2023-02-28,7.67,7.88,7.51,7.79,2359058,1882440861,0
2023-03-31,7.8,8.61,7.77,7.97,5811717,4882896315,0
2023-04-30,7.97,8.65,7.95,8.46,3569971,3072072951,0
2023-05-31,8.54,9.47,7.95,8.26,5796093,5235138684,0
2023-06-30,8.26,8.33,7.86,8.18,2253541,1885821882,0
2023-07-31,8.18,8.29,7.42,8.01,3778028,3026146592,0
2023-08-31,8.13,8.17,7.09,7.14,3975247,3121676770,0
2023-09-30,7.16,7.37,7.01,7.14,1593256,1178509437,0
2023-10-31,7.12,7.14,6.44,6.79,1475016,1028636318,0
2023-11-30,6.8,6.97,6.64,6.66,1449388,1018004976,0
2023-12-31,6.66,6.84,6.41,6.74,1869832,1275136599,0
2024-01-31,6.81,7.21,5.88,6.61,4070251,2804008956,0
2024-02-29,6.57,7.09,5.86,7.03,3598637,2477651440,0
2024-03-31,7.01,7.3,6.71,6.96,4125853,2977837886,0
2024-04-30,6.99,8.05,6.82,7.58,6467459,4931002278,0
2024-05-31,7.62,7.93,7.39,7.8,4091313,3212259409,0
2024-06-30,7.77,8.33,7.72,7.9,5378663,4408372146,0
2024-07-31,7.91,8.34,7.29,7.83,5050394,4034949845,0
2024-08-31,7.82,8.35,7.28,7.46,4240822,3362558818,0
2024-09-30,7.43,8.28,6.59,8.21,3628593,2640976972,0
2024-10-31,9.04,9.04,7.91,8.44,8010631,6840204473,0
2024-11-30,8.38,9.77,8.28,8.58,7176923,6509822306,0
2024-12-31,8.58,9.35,8.26,8.94,4608043,4077317513,0
2025-01-31,8.97,9.07,7.74,8.05,3059926,2514248875,0
2025-02-28,8.1,8.27,7.9,7.91,2895314,2370721695,0
2025-03-31,8.13,9.27,8.09,8.62,9158634,8167383840,0
2025-04-30,8.62,9.49,7.9,8.42,10286917,9134249759,0
2025-05-31,8.46,9.38,8.46,8.98,7194453,6538729710,0
2025-06-30,8.96,9.23,8.72,9.09,5410660,4894143486,0
2025-07-31,9.08,10.59,8.99,9.21,8627305,8269950666,0
2025-08-31,9.19,9.57,9.09,9.1,4830465,4514687818,0
2025-09-30,9.1,9.14,8.47,8.84,3673695,3240846555,0
2025-10-31,9.14,15.2,9.14,13.27,39386945,48297749743,0
2025-11-30,13.39,14.14,11.18,11.59,22104043,28519288752,0
2025-12-31,11.59,13.86,11.3,13.48,19223292,24256776377,0
2026-01-31,13.55,18.62,13.55,18.13,7682124,12494786456,0
