datetime,open,high,low,close,volume,turnover,open_interest
2020-02-26,6.28,7.6,6.28,7.6,17593,13815023,0
2020-02-27,8.39,8.39,8.39,8.39,3180,2757251,0
2020-02-28,9.26,9.26,9.26,9.26,8447,8058896,0
2020-03-02,10.21,10.21,10.21,10.21,7774,8155409,0
2020-03-03,11.26,11.26,11.26,11.26,6638,7659675,0
2020-03-04,12.41,12.41,12.41,12.41,10167,12901352,0
2020-03-05,13.68,13.68,13.68,13.68,5186,7240326,0
2020-03-06,15.08,15.08,15.08,15.08,19978,30686669,0
2020-03-09,16.62,16.62,16.62,16.62,52898,89397857,0
2020-03-10,18.31,18.31,18.31,18.31,50805,94446365,0
2020-03-11,20.17,20.17,20.17,20.17,12934,26449846,0
2020-03-12,22.22,22.22,22.22,22.22,57247,128805233,0
2020-03-13,22.89,24.47,22.89,24.47,1886727,4542428416,0
2020-03-16,24.52,24.52,22.0,22.0,1447103,3376703488,0
2020-03-17,22.88,23.72,22.0,23.09,1368643,3175588688,0
2020-03-18,22.32,23.14,21.62,22.47,1112715,2516266848,0
2020-03-19,22.57,24.75,22.13,24.07,1716427,4121016272,0
2020-03-20,23.92,24.07,22.32,23.3,1268123,2978608944,0
2020-03-23,22.13,23.17,21.83,22.94,839505,1918823056,0
2020-03-24,23.72,23.9,21.05,22.21,1128503,2582849392,0
2020-03-25,22.42,23.58,21.94,22.68,1024214,2356734400,0
2020-03-26,21.82,22.33,21.43,21.92,771125,1708950736,0
2020-03-27,22.28,22.83,21.6,21.67,756128,1689224144,0
2020-03-30,20.84,21.78,20.53,21.51,598495,1284868064,0
2020-03-31,21.71,21.82,20.97,21.07,513294,1114353808,0
2020-04-01,20.92,22.41,20.82,21.32,768236,1683814128,0
2020-04-02,21.28,23.2,21.22,22.83,988596,2219135328,0
2020-04-03,22.45,22.59,21.76,21.94,705161,1578563216,0
2020-04-07,22.43,23.17,22.03,22.66,894948,2045355008,0
2020-04-08,22.24,22.37,21.62,21.77,642757,1434652896,0
2020-04-09,22.08,22.84,21.88,21.94,646403,1460721264,0
2020-04-10,21.95,21.95,20.75,20.91,621817,1335167440,0
2020-04-13,20.57,20.9,20.03,20.32,418138,865458080,0
2020-04-14,20.41,21.17,20.25,20.85,502470,1051122224,0
2020-04-15,20.52,20.81,20.14,20.18,433084,894267472,0
2020-04-16,19.83,20.57,19.77,20.23,382268,783825904,0
2020-04-17,20.48,20.9,20.18,20.31,495899,1032181712,0
2020-04-20,20.42,20.78,20.08,20.62,378755,786447008,0
2020-04-21,20.42,21.12,20.3,20.7,483762,1016145840,0
2020-04-22,20.34,21.0,20.12,21.0,465226,969006032,0
2020-04-23,20.8,20.88,20.29,20.34,379732,792364272,0
2020-04-24,20.08,20.26,18.63,18.74,642893,1265279968,0
2020-04-27,18.6,18.7,17.77,17.77,474293,877982704,0
2020-04-28,18.2,18.48,17.24,17.83,478016,873451616,0
2020-04-29,17.62,18.22,17.55,18.18,326558,596690928,0
2020-04-30,18.22,19.32,18.22,18.97,500542,955599456,0
2020-05-06,18.52,19.26,18.37,19.25,448707,855243120,0
