datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,12.79,12.85,12.75,12.83,58490,74961683,0
2025-11-26 11:30:00,12.82,12.83,12.79,12.79,46423,59470621,0
2025-11-26 14:00:00,12.79,12.81,12.72,12.75,44422,56706695,0
2025-11-26 15:00:00,12.74,12.75,12.68,12.7,70541,89654819,0
2025-11-27 10:30:00,12.69,12.83,12.67,12.77,91863,117287229,0
2025-11-27 11:30:00,12.77,12.78,12.7,12.72,36341,46296060,0
2025-11-27 14:00:00,12.71,12.78,12.7,12.72,36199,46098109,0
2025-11-27 15:00:00,12.72,12.73,12.65,12.67,63327,80349225,0
2025-11-28 10:30:00,12.68,12.78,12.65,12.76,76053,96728573,0
2025-11-28 11:30:00,12.75,12.79,12.73,12.76,36503,46577666,0
2025-11-28 14:00:00,12.76,12.93,12.75,12.91,150003,192973803,0
2025-11-28 15:00:00,12.92,12.93,12.88,12.92,76698,98972710,0
2025-12-01 10:30:00,12.83,12.98,12.83,12.92,84902,109792532,0
2025-12-01 11:30:00,12.93,12.97,12.91,12.93,32547,42127285,0
2025-12-01 14:00:00,12.94,12.94,12.87,12.91,45979,59312297,0
2025-12-01 15:00:00,12.92,12.93,12.88,12.93,55406,71543339,0
2025-12-02 10:30:00,12.92,12.94,12.75,12.75,86889,111223542,0
2025-12-02 11:30:00,12.76,12.77,12.71,12.74,38795,49442405,0
2025-12-02 14:00:00,12.73,12.81,12.73,12.77,34848,44487995,0
2025-12-02 15:00:00,12.77,12.78,12.73,12.77,35652,45474938,0
2025-12-03 10:30:00,12.77,12.86,12.66,12.66,66205,84252564,0
2025-12-03 11:30:00,12.66,12.67,12.62,12.66,39160,49532071,0
2025-12-03 14:00:00,12.67,12.68,12.58,12.59,45969,58050056,0
2025-12-03 15:00:00,12.59,12.6,12.55,12.6,63455,79816267,0
2025-12-04 10:30:00,12.62,12.67,12.5,12.64,82533,103879480,0
2025-12-04 11:30:00,12.64,12.74,12.64,12.68,43709,55484592,0
2025-12-04 14:00:00,12.69,12.7,12.64,12.65,19650,24879978,0
2025-12-04 15:00:00,12.64,12.68,12.64,12.67,35567,45039084,0
2025-12-05 10:30:00,12.67,12.72,12.63,12.68,45658,57868125,0
2025-12-05 11:30:00,12.68,12.76,12.67,12.76,37319,47456549,0
2025-12-05 14:00:00,12.76,13.94,12.75,13.94,1109255,1509344492,0
2025-12-05 15:00:00,13.94,13.94,13.88,13.94,507845,707549487,0
2025-12-08 10:30:00,14.15,14.81,14.15,14.46,1715697,2479309124,0
2025-12-08 11:30:00,14.46,14.54,14.3,14.35,192910,277736275,0
2025-12-08 14:00:00,14.36,14.47,14.29,14.35,171078,245908730,0
2025-12-08 15:00:00,14.36,14.4,14.26,14.28,324752,464495609,0
2025-12-09 10:30:00,14.1,14.36,14.0,14.05,720788,1018447670,0
2025-12-09 11:30:00,14.05,14.12,14.01,14.06,130107,182859837,0
2025-12-09 14:00:00,14.06,14.16,14.0,14.01,135859,190908714,0
2025-12-09 15:00:00,14.01,14.19,14.0,14.13,199494,281586745,0
2025-12-10 10:30:00,14.05,14.48,14.02,14.32,549177,786964682,0
2025-12-10 11:30:00,14.32,14.68,14.26,14.43,455521,659729207,0
2025-12-10 14:00:00,14.45,14.65,14.38,14.52,350773,509842459,0
2025-12-10 15:00:00,14.52,14.57,14.47,14.49,239308,347192236,0
2025-12-11 10:30:00,14.39,14.6,14.28,14.49,475395,684851413,0
2025-12-11 11:30:00,14.49,14.65,14.43,14.48,221512,321820433,0
2025-12-11 14:00:00,14.48,14.55,14.38,14.52,205675,298048341,0
2025-12-11 15:00:00,14.53,14.58,14.37,14.48,270282,390826742,0
2025-12-12 10:30:00,14.48,14.48,14.12,14.23,353124,503005826,0
2025-12-12 11:30:00,14.23,14.43,14.2,14.29,148286,212301406,0
2025-12-12 14:00:00,14.28,14.45,14.25,14.34,176243,253074943,0
2025-12-12 15:00:00,14.34,14.39,14.25,14.29,200358,286724316,0
2025-12-15 10:30:00,14.13,14.77,14.09,14.62,592231,858080137,0
2025-12-15 11:30:00,14.63,14.72,14.56,14.59,214911,314776931,0
2025-12-15 14:00:00,14.59,14.99,14.58,14.71,408578,605057146,0
2025-12-15 15:00:00,14.72,14.72,14.56,14.6,202377,295893930,0
2025-12-16 10:30:00,14.42,14.94,14.41,14.85,658860,969495079,0
2025-12-16 11:30:00,14.84,15.14,14.74,14.96,434984,648164585,0
2025-12-16 14:00:00,14.98,15.0,14.82,14.86,221426,329941112,0
2025-12-16 15:00:00,14.86,14.89,14.69,14.81,290302,429027622,0
2025-12-17 10:30:00,14.66,14.82,14.52,14.78,468343,686564828,0
2025-12-17 11:30:00,14.78,14.78,14.58,14.63,113309,165913012,0
2025-12-17 14:00:00,14.63,14.94,14.56,14.87,347435,513099936,0
2025-12-17 15:00:00,14.87,15.29,14.8,14.96,616378,927320175,0
2025-12-18 10:30:00,14.73,14.8,14.29,14.39,670643,969616967,0
2025-12-18 11:30:00,14.38,14.44,14.33,14.38,104943,150852734,0
2025-12-18 14:00:00,14.38,14.45,14.24,14.28,199679,286015931,0
2025-12-18 15:00:00,14.28,14.35,14.24,14.24,211909,302713139,0
2025-12-19 10:30:00,14.16,14.41,14.12,14.36,361907,516571099,0
2025-12-19 11:30:00,14.36,14.37,14.26,14.32,92528,132391775,0
2025-12-19 14:00:00,14.33,14.34,14.25,14.26,99901,142694692,0
2025-12-19 15:00:00,14.25,14.27,14.19,14.26,153839,218987047,0
2025-12-22 10:30:00,14.16,14.29,14.12,14.22,252751,358912316,0
2025-12-22 11:30:00,14.23,14.26,14.18,14.2,85801,121917852,0
2025-12-22 14:00:00,14.2,14.23,14.17,14.17,85449,121262174,0
2025-12-22 15:00:00,14.18,14.22,14.16,14.2,121067,171720392,0
2025-12-23 10:30:00,14.24,14.79,14.18,14.74,659249,959674156,0
2025-12-23 11:30:00,14.73,14.76,14.61,14.63,166691,244790315,0
2025-12-23 14:00:00,14.63,14.63,14.48,14.49,118075,171828797,0
