datetime,open,high,low,close,volume,turnover,open_interest
2020-02-28,6.28,9.26,6.28,9.26,29220,24631170,0
2020-03-06,10.21,15.08,10.21,15.08,49743,66643431,0
2020-03-13,16.62,24.47,16.62,24.47,2060611,4881527717,0
2020-03-20,24.52,24.75,21.62,23.3,6913011,16168184240,0
2020-03-27,22.13,23.9,21.05,21.67,4519475,10256581728,0
2020-04-03,20.84,23.2,20.53,21.94,3573782,7880734544,0
2020-04-10,22.43,23.17,20.75,20.91,2805925,6275896608,0
2020-04-17,20.57,21.17,19.77,20.31,2231859,4626855392,0
2020-04-24,20.42,21.12,18.63,18.74,2350368,4829243120,0
2020-05-01,18.6,19.32,17.24,18.97,1779409,3303724704,0
2020-05-08,18.52,21.6,18.37,20.71,1771599,3563243392,0
2020-05-15,20.78,23.1,20.31,22.48,3607182,7914801152,0
2020-05-22,22.11,23.38,20.42,20.42,3336056,7416397648,0
2020-05-29,20.12,22.08,19.52,20.27,2177002,4544366768,0
2020-06-05,21.61,25.16,21.27,24.04,4716263,11352324000,0
2020-06-12,23.72,24.02,21.44,22.12,2674381,6114318416,0
2020-06-19,22.23,23.68,21.59,23.12,2312227,5216308032,0
2020-06-26,22.82,24.44,21.93,22.07,1596802,3717200896,0
2020-07-03,21.52,25.21,20.38,25.21,3093600,7136461136,0
2020-07-10,27.76,37.64,26.92,37.64,4607929,15034142624,0
2020-07-17,36.22,40.53,30.23,30.94,4181646,15184037120,0
2020-07-24,31.91,34.08,29.42,29.72,2411732,7830246448,0
2020-07-31,30.01,31.15,28.72,30.04,1621381,4921577040,0
2020-08-07,30.42,33.6,29.47,30.33,2025088,6307137328,0
2020-08-14,29.72,30.71,26.98,29.24,1172783,3440726000,0
2020-08-21,30.18,32.19,29.44,30.42,1766125,5523687952,0
2020-08-28,30.43,30.83,28.16,29.91,873870,2591940608,0
2020-09-04,29.95,30.81,28.99,29.71,972150,2934208688,0
2020-09-11,29.37,29.74,25.49,25.97,870711,2418856304,0
2020-09-18,26.06,28.35,25.43,27.98,821849,2206450812,0
2020-09-25,29.15,29.38,26.53,27.04,776409,2161645550,0
2020-10-02,26.85,27.36,26.4,26.48,230471,627166905,0
2020-10-09,27.24,27.25,26.76,27.09,89845,245282157,0
2020-10-16,27.25,28.72,26.93,27.74,719627,2013766182,0
