datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,31.27,31.59,31.0,31.57,30047,100480900,0
2020-01-03,31.58,31.62,31.2,31.34,22485,75157612,0
2020-01-06,31.09,31.55,30.94,31.27,27206,90655895,0
2020-01-07,31.26,31.87,31.13,31.85,36457,122572148,0
2020-01-08,32.34,33.35,32.3,32.36,77854,271884464,0
2020-01-09,33.02,33.9,32.54,33.77,73033,258074582,0
2020-01-10,33.56,33.87,33.3,33.4,42415,150941820,0
2020-01-13,33.06,33.24,32.51,32.99,44913,156709070,0
2020-01-14,32.94,32.94,32.54,32.55,35215,122389854,0
2020-01-15,32.61,32.88,32.44,32.88,27329,95031599,0
2020-01-16,32.84,33.19,32.64,32.65,31830,111403059,0
2020-01-17,32.59,32.85,32.08,32.27,30230,104086543,0
2020-01-20,32.22,33.37,32.14,33.24,38497,134905988,0
2020-01-21,33.03,33.58,32.6,32.64,28888,101094855,0
2020-01-22,32.27,32.69,31.9,32.54,31585,108666325,0
2020-01-23,31.94,32.16,29.94,30.82,41525,139294589,0
2020-02-03,27.53,27.53,27.53,27.53,7248,21446832,0
2020-02-04,24.57,27.24,24.57,26.61,52799,149524678,0
2020-02-05,26.84,27.83,26.71,26.98,38549,112890948,0
2020-02-06,26.98,27.71,26.49,27.28,29416,86168316,0
2020-02-07,27.13,28.14,26.92,28.14,33887,100199985,0
2020-02-10,27.89,28.66,27.55,28.39,30120,91251206,0
2020-02-11,28.39,28.92,28.2,28.35,24945,75948611,0
2020-02-12,28.39,28.89,28.17,28.82,30205,92421498,0
2020-02-13,28.64,29.81,28.54,28.95,35272,110634635,0
2020-02-14,28.93,29.55,28.68,28.89,29312,91313202,0
2020-02-17,29.07,29.9,28.92,29.86,37193,117531463,0
2020-02-18,29.95,30.32,29.55,30.1,34907,111681487,0
2020-02-19,30.1,30.34,29.79,29.84,34785,111731646,0
2020-02-20,29.9,30.2,29.44,30.13,34034,108844841,0
2020-02-21,30.09,31.34,29.76,30.71,40698,133728129,0
2020-02-24,30.94,33.93,30.89,33.79,109509,383598496,0
2020-02-25,32.91,34.96,32.1,34.94,137561,495496816,0
2020-02-26,33.94,36.24,33.94,34.21,116905,433735392,0
2020-02-27,34.53,35.24,33.47,33.84,61964,224060808,0
2020-02-28,32.34,33.21,31.14,31.33,61495,210697415,0
2020-03-02,31.9,34.36,31.74,33.95,82221,290010160,0
2020-03-03,35.26,36.7,34.3,34.84,124804,467899152,0
2020-03-04,34.44,35.55,33.94,34.9,68279,251556938,0
2020-03-05,36.04,36.54,34.92,35.22,80189,301649696,0
2020-03-06,34.84,35.14,34.22,34.26,51523,188531746,0
2020-03-09,33.27,35.62,33.24,34.35,78468,288258880,0
2020-03-10,33.93,37.99,33.02,37.99,123891,470843296,0
2020-03-11,40.14,41.91,37.96,38.13,224818,947829744,0
2020-03-12,36.82,40.14,36.82,40.12,154366,629210032,0
2020-03-13,37.47,40.44,37.47,39.61,143889,595314176,0
2020-03-16,39.86,39.92,35.46,35.94,131051,521040832,0
2020-03-17,37.94,38.29,35.44,37.46,100488,392929392,0
2020-03-18,37.45,37.87,34.94,35.05,114266,441578544,0
