datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,83.0,85.98,82.33,85.12,160800,1353795383,0
2025-11-26 11:30:00,85.06,86.5,84.18,85.72,41637,355236401,0
2025-11-26 14:00:00,86.0,89.1,85.73,86.01,69292,608646223,0
2025-11-26 15:00:00,86.01,86.73,85.57,85.64,32474,279164894,0
2025-11-27 10:30:00,85.47,89.0,84.76,89.0,118179,1020352028,0
2025-11-27 11:30:00,89.0,93.48,88.4,89.11,90496,819579462,0
2025-11-27 14:00:00,89.12,89.66,86.61,87.11,35952,316195612,0
2025-11-27 15:00:00,87.11,87.5,86.7,87.3,33898,295524485,0
2025-11-28 10:30:00,85.0,86.86,84.5,85.21,72807,620578729,0
2025-11-28 11:30:00,85.2,88.49,85.02,87.8,42723,372158472,0
2025-11-28 14:00:00,87.83,90.96,87.0,87.15,52160,462553303,0
2025-11-28 15:00:00,87.15,87.39,86.39,87.08,31973,278155661,0
2025-12-01 10:30:00,87.12,87.48,85.28,86.12,55365,476674700,0
2025-12-01 11:30:00,86.12,86.56,85.08,85.98,24749,211970666,0
2025-12-01 14:00:00,85.98,85.98,85.3,85.45,15095,129146712,0
2025-12-01 15:00:00,85.42,85.77,85.27,85.57,29561,252679869,0
2025-12-02 10:30:00,84.0,84.6,82.44,84.0,58743,490716413,0
2025-12-02 11:30:00,83.97,84.49,82.94,83.04,16391,136861507,0
2025-12-02 14:00:00,83.02,83.33,82.78,83.2,15369,127486919,0
2025-12-02 15:00:00,83.17,83.6,83.02,83.11,17744,147673269,0
2025-12-03 10:30:00,83.57,85.4,82.8,83.95,50740,428431755,0
2025-12-03 11:30:00,83.85,84.96,83.1,83.8,21722,182114303,0
2025-12-03 14:00:00,83.8,84.49,83.0,83.03,15060,126016301,0
2025-12-03 15:00:00,83.06,83.15,82.67,83.02,16006,132660294,0
2025-12-04 10:30:00,81.56,83.49,80.6,82.88,53716,439415094,0
2025-12-04 11:30:00,82.8,83.68,82.08,82.95,15491,128633459,0
2025-12-04 14:00:00,82.94,83.56,82.55,82.58,9909,82188428,0
2025-12-04 15:00:00,82.59,83.02,82.59,82.64,12671,104795396,0
2025-12-05 10:30:00,82.4,84.39,80.78,82.88,44073,364257265,0
2025-12-05 11:30:00,82.93,84.93,82.87,84.15,29692,249881547,0
2025-12-05 14:00:00,84.15,84.41,82.95,83.44,18433,153977568,0
2025-12-05 15:00:00,83.45,83.94,83.35,83.63,22577,188816335,0
2025-12-08 10:30:00,83.65,90.13,83.64,90.13,118059,1033518876,0
2025-12-08 11:30:00,90.12,91.5,88.71,89.39,44468,400246619,0
2025-12-08 14:00:00,89.49,89.51,87.68,87.8,29880,264394175,0
2025-12-08 15:00:00,87.76,88.84,87.55,88.31,33354,294089582,0
2025-12-09 10:30:00,88.38,91.03,87.81,89.42,105278,943959112,0
2025-12-09 11:30:00,89.49,90.78,89.49,89.91,30600,275979004,0
2025-12-09 14:00:00,89.9,89.94,88.36,88.41,31159,277055253,0
2025-12-09 15:00:00,88.4,89.48,88.4,89.48,28713,255729899,0
2025-12-10 10:30:00,88.93,92.7,87.57,91.61,116977,1065712719,0
2025-12-10 11:30:00,91.61,93.5,91.14,91.25,51756,478425463,0
2025-12-10 14:00:00,91.25,98.42,91.25,96.65,94837,902152425,0
2025-12-10 15:00:00,96.6,98.43,95.51,98.43,46219,452023712,0
2025-12-11 10:30:00,102.0,104.1,95.96,103.55,187403,1895301575,0
2025-12-11 11:30:00,103.51,105.94,102.18,102.21,44805,465934616,0
2025-12-11 14:00:00,102.21,106.06,102.12,103.3,43543,455310273,0
2025-12-11 15:00:00,103.35,103.8,101.23,101.27,55995,571040447,0
2025-12-12 10:30:00,98.97,105.15,98.5,103.04,129784,1326103505,0
2025-12-12 11:30:00,103.05,105.48,102.38,104.66,50761,529692594,0
2025-12-12 14:00:00,105.0,108.0,103.0,107.49,57749,609285545,0
2025-12-12 15:00:00,107.5,107.57,104.62,105.72,35854,378881984,0
2025-12-15 10:30:00,101.39,101.4,95.15,96.94,130735,1269894438,0
2025-12-15 11:30:00,96.73,96.73,95.15,95.35,42209,403399573,0
2025-12-15 14:00:00,95.4,95.83,95.15,95.15,30156,287173970,0
2025-12-15 15:00:00,95.15,95.16,95.15,95.15,5189,49373405,0
2025-12-16 10:30:00,94.32,94.82,89.9,90.71,111370,1021664119,0
2025-12-16 11:30:00,90.71,90.73,89.58,89.89,23154,208344380,0
2025-12-16 14:00:00,89.89,89.92,88.31,89.1,33631,300230017,0
2025-12-16 15:00:00,89.11,89.88,88.91,89.3,35627,318202828,0
2025-12-17 10:30:00,93.0,98.23,93.0,96.28,187861,1811538624,0
2025-12-17 11:30:00,96.22,98.23,96.13,98.23,43525,426018644,0
2025-12-17 14:00:00,98.23,98.23,98.23,98.23,4662,45797773,0
2025-12-17 15:00:00,98.23,98.23,98.23,98.23,1741,17101843,0
2025-12-18 10:30:00,102.0,108.05,102.0,108.05,141428,1504732833,0
2025-12-18 11:30:00,108.05,108.05,106.68,108.05,60180,648825370,0
2025-12-18 14:00:00,108.05,108.05,107.44,108.03,30957,334180889,0
2025-12-18 15:00:00,108.01,108.05,107.51,108.05,60360,651930329,0
2025-12-19 10:30:00,110.0,115.13,105.0,114.67,228645,2560891810,0
2025-12-19 11:30:00,114.67,117.68,113.73,114.3,42190,486831086,0
2025-12-19 14:00:00,114.31,118.78,114.31,116.25,56612,662320312,0
2025-12-19 15:00:00,116.2,116.8,115.0,115.5,47721,552472300,0
2025-12-22 10:30:00,117.8,127.05,117.8,127.05,102440,1260532394,0
2025-12-22 11:30:00,127.05,127.05,127.05,127.05,1747,22195635,0
2025-12-22 14:00:00,127.05,127.05,127.05,127.05,2406,30569628,0
2025-12-22 15:00:00,127.05,127.05,127.05,127.05,1467,18643444,0
2025-12-23 10:30:00,124.95,128.0,122.0,128.0,160139,1997607392,0
2025-12-23 11:30:00,128.0,128.05,124.9,126.3,32921,415378095,0
2025-12-23 14:00:00,125.9,127.68,124.2,126.9,37020,466234424,0
2025-12-23 15:00:00,126.97,126.97,124.4,126.07,37189,466952578,0
2025-12-24 10:30:00,125.0,131.5,123.55,129.35,123753,1582507968,0
2025-12-24 11:30:00,129.43,131.3,128.02,129.77,34079,441093624,0
2025-12-24 14:00:00,129.48,129.99,127.85,129.15,29120,375006207,0
2025-12-24 15:00:00,129.09,131.05,128.88,130.5,38185,497134945,0
2025-12-25 10:30:00,128.99,129.99,123.1,124.15,103618,1300856374,0
2025-12-25 11:30:00,124.1,125.12,122.37,123.2,33736,417303381,0
2025-12-25 14:00:00,123.13,124.39,122.97,124.17,21721,268570150,0
2025-12-25 15:00:00,124.17,125.6,123.16,125.0,43605,543071738,0
2025-12-26 10:30:00,124.0,124.5,121.3,121.89,65370,800733742,0
2025-12-26 11:30:00,121.7,122.4,119.47,120.12,38932,470814717,0
2025-12-26 14:00:00,120.12,122.22,120.12,120.81,26679,323221278,0
2025-12-26 15:00:00,120.82,122.28,120.67,121.86,29513,358859610,0
2025-12-29 10:30:00,119.99,123.0,119.6,120.38,46034,555210737,0
2025-12-29 11:30:00,120.28,121.69,119.83,120.18,22950,277015956,0
2025-12-29 14:00:00,120.15,120.52,119.0,119.96,22585,270467957,0
2025-12-29 15:00:00,119.99,120.95,119.36,120.75,21261,255482128,0
2025-12-30 10:30:00,119.02,124.0,119.01,120.34,75744,924869154,0
2025-12-30 11:30:00,120.51,121.6,119.84,120.04,15743,190139436,0
2025-12-30 14:00:00,120.1,120.94,119.29,120.2,15250,183100171,0
2025-12-30 15:00:00,119.99,120.8,119.3,119.3,22201,266146927,0
2025-12-31 10:30:00,120.54,121.0,115.55,118.19,78650,923316611,0
2025-12-31 11:30:00,118.24,119.0,116.46,116.48,15569,182842922,0
2025-12-31 14:00:00,116.46,117.1,115.88,116.05,17419,202668344,0
2025-12-31 15:00:00,116.11,116.72,115.93,116.36,21660,251879594,0
2026-01-05 10:30:00,118.0,118.37,114.7,115.81,51645,599703679,0
2026-01-05 11:30:00,115.8,115.81,114.84,115.11,16471,189779448,0
2026-01-05 14:00:00,115.11,115.11,113.45,114.65,19486,222691285,0
2026-01-05 15:00:00,114.59,115.27,114.5,115.19,18996,218406473,0
2026-01-06 10:30:00,114.41,114.78,112.22,112.48,55058,623063656,0
2026-01-06 11:30:00,112.49,113.67,112.08,113.4,17770,200276474,0
2026-01-06 14:00:00,113.38,114.37,112.9,113.81,20694,235560872,0
2026-01-06 15:00:00,113.81,114.15,113.39,113.92,15977,181612403,0
2026-01-07 10:30:00,114.55,121.22,114.11,119.6,128023,1501967157,0
2026-01-07 11:30:00,119.62,119.67,117.31,118.17,31756,376412852,0
2026-01-07 14:00:00,118.2,118.57,115.65,116.62,25684,299729948,0
2026-01-07 15:00:00,116.65,118.0,116.35,117.76,35400,415366150,0
2026-01-08 10:30:00,116.59,117.0,112.22,113.03,75935,862122810,0
2026-01-08 11:30:00,113.05,113.45,112.3,113.1,26427,298180424,0
2026-01-08 14:00:00,113.17,113.85,112.22,112.73,21697,244550901,0
2026-01-08 15:00:00,112.73,112.73,111.48,111.63,37357,418064945,0
2026-01-09 10:30:00,110.0,111.97,108.89,111.21,54399,600179268,0
2026-01-09 11:30:00,111.33,112.88,110.48,112.09,24139,269331269,0
2026-01-09 14:00:00,112.06,113.62,111.64,112.4,25212,284444011,0
2026-01-09 15:00:00,112.4,112.57,111.75,112.03,16361,183359454,0
