datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,31.27,33.9,29.94,30.82,619509,2143349303,0
2020-02-29,27.53,36.24,24.57,31.33,980804,3262906404,0
2020-03-31,31.9,41.91,29.6,29.7,2062731,7899458540,0
2020-04-30,29.53,32.07,27.4,29.52,668509,2149955034,0
2020-05-31,29.31,31.29,26.84,27.67,465494,1464312409,0
2020-06-30,27.69,29.94,27.31,28.75,418029,1287601020,0
2020-07-31,28.83,33.73,28.34,29.19,808181,2656646529,0
2020-08-31,29.42,30.52,28.1,30.04,385530,1200610125,0
2020-09-30,30.21,30.68,27.24,27.35,257923,799346048,0
2020-10-31,27.71,28.99,26.97,27.37,132254,393698495,0
2020-11-30,26.96,28.0,25.76,27.02,238667,683965876,0
2020-12-31,27.02,27.87,24.31,25.3,217800,607587511,0
2021-01-31,25.31,25.66,21.51,21.88,220036,570538381,0
2021-02-28,21.74,23.56,19.63,22.97,196979,451390550,0
2021-03-31,23.26,23.82,21.16,21.73,229588,549157370,0
2021-04-30,21.7,22.99,20.77,21.12,179003,427499348,0
2021-05-31,21.04,23.16,21.01,23.05,156971,375830570,0
2021-06-30,23.24,24.21,21.57,22.62,360897,889735322,0
2021-07-31,22.68,24.09,21.36,24.01,347659,850989947,0
2021-08-31,24.06,25.71,23.28,24.17,482808,1263479905,0
2021-09-30,24.33,33.46,23.8,26.34,1185173,3632417707,0
2021-10-31,26.68,35.13,26.58,29.38,1427139,4709782578,0
2021-11-30,28.96,33.41,26.3,31.2,1360743,4349469466,0
2021-12-31,30.88,35.98,27.98,31.22,1388904,4674884503,0
2022-01-31,30.98,33.08,26.08,26.86,741619,2347046760,0
2022-02-28,27.48,30.48,26.3,30.43,600288,1802952061,0
2022-03-31,30.38,31.2,24.48,25.29,663439,1927548326,0
2022-04-30,25.18,25.68,19.36,21.13,384388,935933140,0
2022-05-31,21.63,27.24,21.63,26.0,506656,1334218505,0
2022-06-30,25.96,30.14,25.83,29.4,481133,1412184986,0
2022-07-31,29.4,33.32,27.42,31.53,761656,2444825951,0
2022-08-31,31.64,42.76,30.48,38.21,1487586,5642599922,0
2022-09-30,38.85,46.88,38.3,40.87,1802754,7945055544,0
2022-10-31,41.42,45.75,38.77,42.15,997896,4339629560,0
2022-11-30,42.75,43.63,32.78,33.35,1300352,4848618954,0
2022-12-31,33.79,34.6,29.7,31.39,542078,1839486420,0
2023-01-31,31.39,34.91,31.29,34.22,420098,1447627181,0
2023-02-28,34.58,37.12,33.46,35.64,773242,2800856334,0
2023-03-31,35.64,41.99,34.67,40.16,1053392,4116129093,0
2023-04-30,39.77,42.06,34.88,35.71,1097163,4373460217,0
2023-05-31,35.51,35.64,31.14,33.93,575177,1963683541,0
2023-06-30,34.13,37.59,31.71,35.77,887009,3216987808,0
2023-07-31,35.76,37.55,32.66,33.75,608617,2194633417,0
2023-08-31,33.75,34.03,29.01,31.68,321456,1055939888,0
2023-09-30,31.68,33.92,31.38,32.99,344837,1148125929,0
2023-10-31,32.98,33.88,29.28,29.53,308411,1005451857,0
2023-11-30,29.32,32.16,27.67,28.31,683957,2070180401,0
2023-12-31,28.22,29.57,25.33,26.68,437849,1254212496,0
2024-01-31,26.66,26.77,22.98,23.1,279744,721840796,0
2024-02-29,23.1,27.47,19.83,26.8,454845,1162144165,0
2024-03-31,26.87,32.71,25.72,28.64,1172291,3470562103,0
2024-04-30,28.39,29.27,25.37,25.52,767145,2110883259,0
2024-05-31,25.99,27.62,23.99,24.51,599818,1587502209,0
2024-06-30,24.32,24.97,22.41,23.55,304433,749486244,0
2024-07-31,23.38,23.77,21.43,23.04,316229,739884248,0
2024-08-31,23.06,26.27,21.52,22.73,705553,1700078231,0
2024-09-30,22.59,26.9,21.79,26.73,374433,890482156,0
2024-10-31,29.43,29.43,24.79,27.9,793701,2169372427,0
2024-11-30,27.76,31.73,26.52,28.51,1102964,3206469396,0
2024-12-31,28.36,32.33,27.37,29.62,1524099,4602973599,0
2025-01-31,29.46,41.92,26.24,41.53,1539222,5173487554,0
2025-02-28,37.77,46.72,33.59,36.23,2518707,9835327889,0
2025-03-31,36.36,39.23,33.27,33.58,1336659,4900640711,0
2025-04-30,33.68,34.83,27.8,32.59,953679,3018455113,0
2025-05-31,33.27,36.94,31.57,31.7,826016,2856867084,0
2025-06-30,31.67,40.83,31.43,40.45,1396748,5155964355,0
2025-07-31,40.71,53.21,37.04,50.58,2382572,10207069887,0
2025-08-31,50.07,91.25,48.74,91.25,3923111,23494791537,0
2025-09-30,92.5,120.62,80.0,100.84,5208041,50213000218,0
2025-10-31,100.92,102.65,81.24,84.89,2492279,22157833266,0
2025-11-30,84.01,93.48,72.28,87.08,2539896,20876567754,0
2025-12-31,87.12,131.5,80.6,116.36,4536959,47530586989,0
2026-01-31,118.0,121.22,108.89,112.03,718489,8224803479,0
