datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,31.27,31.62,31.0,31.34,52532,175638512,0
2020-01-10,31.09,33.9,30.94,33.4,256965,894128909,0
2020-01-17,33.06,33.24,32.08,32.27,169517,589620125,0
2020-01-24,32.22,33.58,29.94,30.82,140495,483961757,0
2020-02-07,27.53,28.14,24.57,28.14,161899,470230759,0
2020-02-14,27.89,29.81,27.55,28.89,149854,461569152,0
2020-02-21,29.07,31.34,28.92,30.71,181617,583517566,0
2020-02-28,30.94,36.24,30.89,31.33,487434,1747588927,0
2020-03-06,31.9,36.7,31.74,34.26,407016,1499647692,0
2020-03-13,33.27,41.91,33.02,39.61,725432,2931456128,0
2020-03-20,39.86,39.92,33.94,35.43,512756,1980900824,0
2020-03-27,34.06,36.23,32.68,32.72,318983,1165447261,0
2020-04-03,31.94,31.94,28.96,29.83,214837,692198394,0
2020-04-10,30.38,32.07,29.77,30.24,169061,556765991,0
2020-04-17,29.94,30.9,29.31,30.02,139509,448573709,0
2020-04-24,30.2,31.01,29.21,29.49,140876,455958669,0
2020-05-01,29.52,30.11,27.4,29.52,102770,318464906,0
2020-05-08,29.31,30.93,28.99,30.32,109439,351859060,0
2020-05-15,30.4,31.29,29.38,29.53,139583,451543350,0
2020-05-22,29.54,29.92,28.69,28.73,118446,370994650,0
2020-05-29,28.48,28.48,26.84,27.67,98026,289915349,0
2020-06-05,27.69,29.25,27.68,28.53,108316,331322649,0
2020-06-12,28.74,29.1,27.31,28.57,86112,261624956,0
2020-06-19,28.33,29.38,28.24,29.17,102520,317978555,0
2020-06-26,28.95,29.94,27.97,29.34,79548,248722927,0
2020-07-03,29.3,29.49,28.21,29.48,118452,366453956,0
2020-07-10,29.89,33.24,29.88,31.62,270125,905707582,0
2020-07-17,31.84,33.73,29.57,29.94,225896,762007493,0
2020-07-24,30.29,31.39,28.59,28.83,155662,501674878,0
2020-07-31,28.82,29.96,28.34,29.19,79579,248754553,0
2020-08-07,29.42,30.02,28.1,28.28,118945,372042998,0
2020-08-14,28.24,29.95,28.24,29.17,94415,292764638,0
2020-08-21,29.24,29.7,28.73,29.11,77970,241446104,0
2020-08-28,29.18,29.53,28.48,29.13,57125,176057249,0
2020-09-04,29.76,30.68,29.18,29.56,104790,333238319,0
2020-09-11,29.67,30.01,28.46,28.85,75072,232883714,0
2020-09-18,28.87,29.55,28.56,29.42,44670,137384976,0
2020-09-25,30.26,30.26,28.38,28.74,41143,127201933,0
2020-10-02,28.76,28.96,27.24,27.35,29323,86936242,0
2020-10-09,27.71,28.24,27.71,28.0,8669,25854877,0
2020-10-16,28.06,28.99,27.88,28.09,43320,131044722,0
2020-10-23,28.56,28.94,27.56,27.83,40772,121505909,0
2020-10-30,27.85,28.38,26.97,27.37,39493,115292987,0
2020-11-06,26.96,27.51,25.76,27.14,72712,205329670,0
2020-11-13,27.26,27.99,26.06,26.28,54617,157015642,0
2020-11-20,26.28,26.92,26.23,26.88,34269,97233895,0
2020-11-27,26.89,28.0,26.76,27.5,63181,184126941,0
2020-12-04,27.86,27.91,26.86,26.96,63167,182905493,0
2020-12-11,26.95,27.06,25.94,26.65,47420,133911153,0
2020-12-18,26.71,26.89,25.61,25.84,34581,96703864,0
2020-12-25,26.11,26.24,24.47,24.96,44464,120838832,0
2021-01-01,25.26,25.82,24.31,25.3,42056,113487897,0
2021-01-08,25.31,25.66,24.31,24.72,53793,143375271,0
2021-01-15,24.73,25.19,23.79,24.61,57174,150035015,0
2021-01-22,24.61,25.06,23.88,23.92,50108,131650214,0
2021-01-29,23.84,23.84,21.51,21.88,58961,145477881,0
2021-02-05,21.74,22.23,19.92,19.98,69085,155914650,0
2021-02-12,19.98,20.41,19.63,20.28,28023,61207957,0
2021-02-19,20.46,21.54,20.33,21.47,25577,58310207,0
2021-02-26,21.51,23.56,21.02,22.97,74294,175957736,0
2021-03-05,23.26,23.27,21.96,22.57,61208,148866643,0
2021-03-12,22.47,22.96,21.44,21.46,52296,125347377,0
2021-03-19,21.46,21.81,21.16,21.41,27587,63870092,0
2021-03-26,21.41,23.82,21.3,22.41,62108,148952431,0
2021-04-02,22.05,22.27,21.44,21.7,37522,88176159,0
2021-04-09,21.7,22.66,21.7,22.12,39003,93340404,0
2021-04-16,21.86,22.96,21.86,22.82,45953,111152941,0
2021-04-23,22.91,22.99,22.07,22.15,41484,100808828,0
2021-04-30,22.16,22.54,20.77,21.12,41430,96141843,0
2021-05-07,21.04,22.07,21.01,21.9,17987,42066936,0
2021-05-14,21.88,22.14,21.2,22.07,36360,85387432,0
2021-05-21,22.14,22.61,21.96,22.26,39665,95241555,0
2021-05-28,22.34,22.75,22.14,22.33,41209,99716767,0
2021-06-04,22.34,23.56,22.29,22.96,78875,195115640,0
2021-06-11,22.95,23.34,21.86,22.49,76951,187994356,0
2021-06-18,22.08,24.21,21.57,23.99,94229,231083243,0
2021-06-25,24.15,24.16,22.76,22.91,95037,237829925,0
2021-07-02,22.97,23.0,21.77,21.93,57536,138879062,0
2021-07-09,21.97,22.31,21.36,21.57,38504,90976012,0
2021-07-16,21.79,22.35,21.62,22.32,51749,123145237,0
2021-07-23,22.16,23.04,21.71,22.61,72732,175897320,0
2021-07-30,22.82,24.09,22.37,24.01,164693,413222354,0
2021-08-06,24.06,25.71,23.87,24.62,172114,459388578,0
2021-08-13,24.64,25.44,24.12,24.46,112491,297234989,0
2021-08-20,24.25,24.83,23.48,24.37,74688,191706220,0
2021-08-27,24.48,24.73,23.28,23.73,74517,189341260,0
2021-09-03,24.3,25.95,23.45,25.48,168508,445962439,0
2021-09-10,25.76,33.46,25.19,31.06,541907,1718048224,0
2021-09-17,31.16,32.05,27.85,28.44,284082,894541314,0
2021-09-24,28.04,29.2,27.74,28.19,120477,360053553,0
2021-10-01,28.45,28.94,26.14,26.34,119197,339621035,0
2021-10-08,26.68,27.4,26.58,26.87,24164,68821447,0
2021-10-15,27.08,35.13,27.02,33.86,619999,2103920509,0
2021-10-22,33.44,34.26,29.78,29.91,326940,1090283645,0
2021-10-29,30.23,33.48,28.63,29.38,456036,1446756977,0
2021-11-05,28.96,31.29,26.3,29.49,435557,1333394171,0
2021-11-12,28.92,32.04,28.37,31.23,281461,892390471,0
2021-11-19,31.25,32.38,29.97,30.28,284750,932446944,0
2021-11-26,30.43,33.41,29.58,32.03,288223,959452795,0
2021-12-03,31.14,32.11,29.69,30.28,201544,655613498,0
2021-12-10,30.88,32.69,27.98,28.48,206030,638350075,0
2021-12-17,28.42,34.35,28.08,33.96,326676,1080378148,0
2021-12-24,33.76,35.98,31.86,33.35,429890,1524426170,0
2021-12-31,33.67,33.93,31.08,31.22,295516,1007901697,0
2022-01-07,30.98,31.34,29.73,29.99,189699,605017796,0
2022-01-14,29.94,31.46,29.18,30.1,171748,546370149,0
2022-01-21,29.85,33.08,28.77,29.13,239330,780703505,0
2022-01-28,29.3,30.05,26.08,26.86,140842,414955310,0
2022-02-11,27.48,28.28,26.46,26.63,128006,370266485,0
2022-02-18,26.72,28.63,26.3,28.45,151449,435236826,0
2022-02-25,29.29,30.34,28.53,29.39,273063,846797523,0
2022-03-04,29.49,31.2,29.0,29.29,169418,535836718,0
2022-03-11,29.26,29.48,26.59,28.18,152761,454409632,0
2022-03-18,27.98,28.91,24.7,26.88,168240,479148018,0
2022-03-25,26.89,27.76,25.34,25.35,152558,426198415,0
2022-04-01,25.2,25.79,24.48,25.35,84259,225673851,0
2022-04-08,25.35,25.56,23.78,23.97,65218,171525419,0
