datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,3.15,3.38,3.13,3.28,3508568,1667226640,0
2020-01-03,3.31,3.43,3.24,3.33,2740999,1319798512,0
2020-01-06,3.47,3.55,3.18,3.39,5776023,2780549168,0
2020-01-07,3.26,3.26,3.15,3.2,4024025,1877777120,0
2020-01-08,3.32,3.36,3.14,3.23,4403378,2072072560,0
2020-01-09,3.06,3.15,3.01,3.04,3875509,1758105776,0
2020-01-10,3.03,3.08,2.99,3.07,2357123,1063149760,0
2020-01-13,3.08,3.17,3.05,3.16,2039086,936407152,0
2020-01-14,3.16,3.41,3.15,3.27,3217512,1532893168,0
2020-01-15,3.26,3.27,3.1,3.13,1894354,879009856,0
2020-01-16,3.13,3.15,3.02,3.05,1688681,765643792,0
2020-01-17,3.05,3.19,3.02,3.15,1799161,823719408,0
2020-01-20,3.13,3.14,3.01,3.07,1853567,837995408,0
2020-01-21,3.05,3.05,2.89,2.89,2558503,1131010496,0
2020-01-22,2.86,3.0,2.74,2.96,1929378,841726384,0
2020-01-23,2.84,3.06,2.75,2.82,2954110,1286037888,0
2020-02-03,2.39,2.58,2.39,2.39,4498318,1751335328,0
2020-02-04,2.39,2.56,2.39,2.51,2781596,1101626240,0
2020-02-05,2.49,2.65,2.46,2.56,3021993,1217004272,0
2020-02-06,2.6,2.71,2.53,2.66,3025188,1235523056,0
2020-02-07,2.62,2.71,2.56,2.63,2341591,958238592,0
2020-02-10,2.59,2.76,2.54,2.73,2924428,1210140320,0
2020-02-11,2.71,2.91,2.69,2.77,2621611,1120219408,0
2020-02-12,2.76,2.85,2.75,2.83,1690841,724574720,0
2020-02-13,2.83,2.88,2.79,2.85,1782126,768082416,0
2020-02-14,2.86,3.12,2.81,3.07,3368064,1510655408,0
2020-02-17,3.08,3.16,3.01,3.14,2474189,1129242128,0
2020-02-18,3.17,3.17,3.08,3.1,1990425,911733424,0
2020-02-19,3.17,3.2,3.06,3.12,2556138,1177137328,0
2020-02-20,3.1,3.13,3.03,3.12,2169791,987786544,0
2020-02-21,3.16,3.3,3.11,3.23,3683692,1725826080,0
2020-02-24,3.36,3.39,3.19,3.25,3649727,1731035712,0
2020-02-25,3.1,3.22,3.06,3.1,3460983,1585828512,0
2020-02-26,3.03,3.03,2.88,2.89,3518142,1551328880,0
2020-02-27,2.89,2.97,2.84,2.94,1694575,744812000,0
2020-02-28,2.81,2.88,2.69,2.69,2603069,1104330592,0
2020-03-02,2.68,2.87,2.68,2.83,1904851,808677904,0
2020-03-03,2.88,2.94,2.81,2.83,1709892,743489488,0
2020-03-04,2.93,2.96,2.8,2.86,2469414,1070946896,0
2020-03-05,2.83,2.9,2.83,2.88,1904916,825623680,0
2020-03-06,2.93,2.95,2.88,2.91,2452603,1076871744,0
2020-03-09,2.91,2.91,2.59,2.61,4154428,1732497712,0
2020-03-10,2.49,2.6,2.45,2.57,3617265,1451419072,0
2020-03-11,2.58,2.64,2.55,2.55,2237410,909501936,0
2020-03-12,2.44,2.48,2.39,2.45,2213174,864047680,0
2020-03-13,2.17,2.42,2.08,2.37,3188142,1188724176,0
