datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,3.15,3.55,2.74,2.82,46619977,21573123088,0
2020-02-29,2.39,3.39,2.39,2.69,55856487,24246460960,0
2020-03-31,2.68,2.96,1.8,2.22,59378076,22806620944,0
2020-04-30,2.17,2.89,2.13,2.44,54284572,21778087904,0
2020-05-31,2.45,2.72,2.28,2.31,29632958,11718077936,0
2020-06-30,2.34,2.97,2.33,2.93,38306558,15608862624,0
2020-07-31,3.0,4.93,3.0,4.48,97423142,54539822576,0
2020-08-31,4.43,5.95,4.07,5.82,82409949,52186109104,0
2020-09-30,5.83,6.12,4.63,4.78,57556063,39314748992,0
2020-10-31,4.88,5.91,4.78,5.62,27671724,18684672112,0
2020-11-30,5.7,8.1,5.63,7.92,67727893,56396234832,0
2020-12-31,7.76,8.33,6.74,7.92,64609505,57799197920,0
2021-01-31,8.05,10.19,7.94,8.23,65393805,69007668112,0
2021-02-28,8.57,13.63,8.36,10.82,72303602,91685376928,0
2021-03-31,10.85,11.03,7.93,8.25,96331443,104412047968,0
2021-04-30,8.35,10.17,8.14,9.66,68984816,72682305152,0
2021-05-31,10.19,11.13,9.12,9.86,64211703,73046587440,0
2021-06-30,9.78,10.07,8.01,8.32,61261102,63857263856,0
2021-07-31,8.37,9.88,8.24,9.0,80253377,81284339392,0
2021-08-31,9.13,10.59,8.65,9.86,93005690,99067769264,0
2021-09-30,9.87,11.43,8.66,8.84,82857243,92781625376,0
2021-10-31,9.01,10.7,8.81,9.21,52189401,58128277872,0
2021-11-30,9.12,9.7,8.8,8.9,39497203,41097265712,0
2021-12-31,8.84,9.24,8.29,8.45,35369722,35540178064,0
2022-01-31,8.45,9.21,8.05,8.51,39818170,39537955920,0
2022-02-28,8.78,10.37,8.77,9.97,44156979,48519182352,0
2022-03-31,9.98,10.92,8.07,10.09,59856080,66800378720,0
2022-04-30,10.12,11.66,8.84,9.82,43321963,50213930864,0
2022-05-31,9.67,9.69,8.01,8.81,50725068,49902818288,0
2022-06-30,8.8,9.22,8.06,8.28,61260141,59335710960,0
2022-07-31,8.28,8.49,7.31,7.88,50873496,45384999670,0
2022-08-31,7.89,8.27,7.42,7.75,45584415,40651789542,0
2022-09-30,7.7,8.33,6.41,6.79,44007409,37544373391,0
2022-10-31,6.85,7.32,6.64,6.87,26572181,21210420853,0
2022-11-30,6.9,9.02,6.83,8.78,65542756,61651971462,0
2022-12-31,9.15,9.6,8.69,8.95,33869358,34602445502,0
2023-01-31,8.91,11.06,8.83,10.74,30378889,34242550257,0
2023-02-28,10.82,11.27,9.97,10.36,32011751,37279410780,0
2023-03-31,10.5,11.54,10.27,11.34,34979972,41657080669,0
2023-04-30,11.34,13.05,11.02,11.78,33101098,43458087706,0
2023-05-31,12.2,12.33,9.33,9.64,32743545,37299821688,0
2023-06-30,9.68,11.43,9.63,10.52,26920191,31112638524,0
2023-07-31,10.65,12.33,10.43,12.16,24471734,30204184416,0
2023-08-31,12.42,12.59,10.99,11.51,24698272,30818435314,0
2023-09-30,11.54,12.65,11.21,11.28,23122980,29831754266,0
2023-10-31,11.06,11.83,10.48,11.59,15961732,19239451208,0
2023-11-30,11.47,11.63,10.85,11.33,18636934,22376307290,0
2023-12-31,11.3,11.87,10.53,11.66,25819451,31012912408,0
2024-01-31,11.61,11.88,10.41,11.24,23559558,28426688337,0
2024-02-29,11.2,12.88,11.08,12.31,22576477,28668593781,0
2024-03-31,12.26,16.07,12.2,16.02,38504549,58307892776,0
2024-04-30,16.44,18.53,15.89,16.81,45795917,81523869770,0
2024-05-31,16.52,18.99,16.02,16.61,35164139,63796124475,0
2024-06-30,16.49,17.27,15.78,16.97,28332341,48745381125,0
2024-07-31,17.18,18.94,14.78,15.98,38284680,67445296782,0
2024-08-31,16.28,16.48,14.43,15.5,26549458,42035651137,0
2024-09-30,15.36,18.24,13.44,17.64,37620205,59921752527,0
2024-10-31,19.14,19.37,16.16,16.32,40043696,70711094736,0
2024-11-30,16.22,17.22,14.83,15.2,38341248,62838207390,0
2024-12-31,15.22,16.05,14.52,14.62,30103010,47026258447,0
2025-01-31,14.7,16.16,14.5,15.74,34634967,55393478321,0
2025-02-28,16.09,17.08,14.85,14.85,32167512,52922713902,0
2025-03-31,14.98,18.46,14.95,17.62,43656809,75847701936,0
2025-04-30,17.7,18.26,14.69,16.96,50051066,85574708175,0
2025-05-31,17.25,18.37,16.78,17.23,23721342,42528629540,0
2025-06-30,17.57,19.84,17.13,19.28,26670645,49924320625,0
2025-07-31,19.47,20.27,18.59,18.93,37859185,74070872113,0
2025-08-31,18.88,23.26,18.83,22.86,36619869,77368911486,0
2025-09-30,23.68,29.88,23.17,29.44,65619688,168713822123,0
2025-10-31,31.22,32.65,28.19,30.5,54177403,165341959665,0
2025-11-30,30.11,31.12,27.63,28.58,37287464,109051219782,0
2025-12-31,29.5,35.36,29.4,34.47,50691399,160826794048,0
2026-01-31,35.3,37.7,34.27,37.22,15465618,56444939997,0
