datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,3.15,3.43,3.13,3.33,6249567,2987025152,0
2020-01-10,3.47,3.55,2.99,3.07,20436058,9551654384,0
2020-01-17,3.08,3.41,3.02,3.15,10638794,4937673376,0
2020-01-24,3.13,3.14,2.74,2.82,9295558,4096770176,0
2020-02-07,2.39,2.71,2.39,2.63,15668686,6263727488,0
2020-02-14,2.59,3.12,2.54,3.07,12387070,5333672272,0
2020-02-21,3.08,3.3,3.01,3.23,12874235,5931725504,0
2020-02-28,3.36,3.39,2.69,2.69,14926496,6717335696,0
2020-03-06,2.68,2.96,2.68,2.91,10441676,4525609712,0
2020-03-13,2.91,2.91,2.08,2.37,15410419,6146190576,0
2020-03-20,2.37,2.37,1.8,1.99,13684102,4767835744,0
2020-03-27,1.9,2.44,1.86,2.32,16721683,6210598352,0
2020-04-03,2.24,2.33,2.13,2.23,8671555,3203723760,0
2020-04-10,2.35,2.63,2.32,2.5,10531371,4159139104,0
2020-04-17,2.49,2.89,2.47,2.66,14678252,6144615376,0
2020-04-24,2.61,2.78,2.55,2.76,10498161,4341552592,0
2020-05-01,2.48,2.53,2.29,2.44,13025429,5085443632,0
2020-05-08,2.45,2.58,2.43,2.54,4503006,1788117968,0
2020-05-15,2.52,2.55,2.33,2.47,7433282,2899586208,0
2020-05-22,2.56,2.72,2.41,2.45,10675050,4346007296,0
2020-05-29,2.42,2.45,2.28,2.31,7021620,2684366464,0
2020-06-05,2.34,2.51,2.33,2.35,8032335,3109976064,0
2020-06-12,2.4,2.67,2.4,2.5,10312367,4131992544,0
2020-06-19,2.5,2.73,2.44,2.69,9753757,3952817184,0
2020-06-26,2.74,2.94,2.73,2.91,6691413,2880093488,0
2020-07-03,2.9,3.32,2.83,3.28,12901051,5888452320,0
2020-07-10,3.3,4.67,3.3,4.19,28678513,15866379280,0
2020-07-17,4.36,4.6,3.84,3.98,19215256,11038410240,0
2020-07-24,4.09,4.71,4.05,4.26,17280240,9908912960,0
2020-07-31,4.4,4.93,4.21,4.48,22864768,13371651120,0
2020-08-07,4.43,5.61,4.34,5.27,25027146,15749889104,0
2020-08-14,5.0,5.06,4.07,4.41,17821170,10538818400,0
2020-08-21,4.38,5.18,4.32,4.83,16389945,10261479744,0
2020-08-28,4.93,5.43,4.89,5.28,15708814,10283696576,0
2020-09-04,5.4,6.12,5.39,5.63,20316562,14576479840,0
2020-09-11,5.73,6.06,5.34,5.54,14473702,10100000080,0
2020-09-18,5.63,5.91,5.37,5.66,11469917,8048727744,0
2020-09-25,5.65,5.74,4.63,4.83,13518033,8686147984,0
2020-10-02,4.85,5.05,4.7,4.78,5240723,3255618624,0
2020-10-09,4.88,4.91,4.78,4.85,2556389,1588025392,0
2020-10-16,4.87,5.45,4.87,5.22,8512676,5570513728,0
2020-10-23,5.23,5.67,5.11,5.54,8341601,5709189008,0
2020-10-30,5.54,5.91,5.4,5.62,8261058,5816943984,0
2020-11-06,5.7,6.66,5.63,6.53,13565160,10343086432,0
2020-11-13,6.65,6.8,5.97,6.27,13099571,10152553472,0
2020-11-20,6.41,7.61,6.41,7.61,17344374,14530230544,0
2020-11-27,7.79,8.06,7.21,7.58,19415714,17387306720,0
2020-12-04,7.54,8.33,7.38,7.76,16663880,15296289344,0
2020-12-11,7.7,7.81,6.83,7.06,13686555,11923013568,0
2020-12-18,6.93,7.96,6.74,7.82,14063460,12131685056,0
2020-12-25,7.96,8.11,7.15,7.9,13957828,12594688336,0
2021-01-01,8.0,8.28,7.62,7.92,10540856,9836579280,0
2021-01-08,8.05,10.15,8.01,9.98,20280772,21304348208,0
2021-01-15,9.53,10.19,8.86,9.19,17634608,18940176624,0
2021-01-22,8.93,9.78,8.56,9.46,12832084,13614732432,0
2021-01-29,9.47,9.97,7.94,8.23,14646341,15148410848,0
2021-02-05,8.57,9.52,8.36,8.43,13674406,14081483472,0
2021-02-12,8.73,10.91,8.69,10.71,10763103,12084898400,0
2021-02-19,11.92,12.74,11.52,12.27,10905562,14842938992,0
2021-02-26,13.09,13.63,10.61,10.82,36960531,50676056064,0
2021-03-05,10.85,11.03,9.23,9.63,26864533,31424889344,0
2021-03-12,9.96,10.4,8.64,9.98,22537485,24684625504,0
2021-03-19,9.93,10.27,9.29,9.46,16313646,18093181024,0
2021-03-26,9.38,9.47,7.93,8.54,21287448,21088806816,0
2021-04-02,8.55,8.79,8.08,8.76,15589985,15323275776,0
2021-04-09,8.98,9.31,8.53,8.92,11968024,12356499472,0
2021-04-16,8.8,9.32,8.14,8.86,15159483,15191577280,0
2021-04-23,8.87,9.49,8.61,9.41,15604676,16545950720,0
2021-04-30,9.66,10.17,9.48,9.66,19990979,22385547184,0
2021-05-07,10.19,10.72,10.04,10.55,9999466,11796183296,0
2021-05-14,10.98,11.13,9.33,9.69,21404700,24819147136,0
2021-05-21,9.75,10.51,9.23,9.45,16514049,18464933392,0
2021-05-28,9.19,10.14,9.12,9.82,13551396,14888701840,0
2021-06-04,9.92,10.07,9.02,9.47,14820986,16396611360,0
2021-06-11,9.5,9.98,9.44,9.63,14358152,15934848752,0
2021-06-18,9.51,9.53,8.01,8.4,15283526,15397219296,0
2021-06-25,8.27,8.8,8.2,8.78,12857371,12663786480,0
2021-07-02,8.78,8.78,8.15,8.47,11301709,11095516416,0
2021-07-09,8.48,8.98,8.3,8.89,16204312,16119790304,0
