datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,4.08,4.17,4.07,4.14,517382,263050661,0
2020-01-10,4.14,4.22,4.1,4.13,1182201,604120867,0
2020-01-17,4.12,4.14,4.03,4.04,805500,405523121,0
2020-01-24,4.04,4.05,3.87,3.9,840494,413571693,0
2020-02-07,3.43,3.69,3.42,3.65,2148768,963335685,0
2020-02-14,3.62,3.7,3.59,3.63,1009144,463592012,0
2020-02-21,3.62,3.88,3.61,3.83,1504417,713839845,0
2020-02-28,3.83,3.84,3.62,3.64,2008256,937165901,0
2020-03-06,3.62,4.01,3.62,3.86,2598888,1249169713,0
2020-03-13,3.8,3.82,3.52,3.6,1681231,782097097,0
2020-03-20,3.63,3.65,3.42,3.49,1706331,763858315,0
2020-03-27,3.45,3.54,3.37,3.51,1089535,480311866,0
2020-04-03,3.47,3.49,3.4,3.44,663631,291777496,0
2020-04-10,3.48,3.57,3.48,3.49,667378,298415344,0
2020-04-17,3.47,3.56,3.46,3.5,690816,308392562,0
2020-04-24,3.5,3.55,3.37,3.39,1019420,451820101,0
2020-05-01,3.39,3.41,3.27,3.38,716084,307511648,0
2020-05-08,3.36,3.41,3.33,3.39,684380,295928426,0
2020-05-15,3.39,3.41,3.28,3.29,846154,363229368,0
2020-05-22,3.29,3.32,3.13,3.15,882686,370283298,0
2020-05-29,3.15,3.17,3.08,3.08,960771,391284875,0
2020-06-05,3.08,3.23,3.07,3.17,1144750,470772788,0
2020-06-12,3.17,3.19,3.08,3.12,979783,401315181,0
2020-06-19,3.1,3.21,3.09,3.19,1084573,444986583,0
2020-06-26,3.19,3.21,3.14,3.17,519134,213721120,0
2020-07-03,3.16,3.42,3.12,3.38,1928468,811045907,0
2020-07-10,3.4,3.73,3.38,3.58,5153284,2333964848,0
2020-07-17,3.58,3.73,3.46,3.49,3247617,1480100069,0
2020-07-24,3.5,3.69,3.46,3.49,2277620,1005093331,0
2020-07-31,3.47,3.57,3.45,3.52,1383720,599523830,0
2020-08-07,3.54,3.63,3.48,3.51,1899328,831484068,0
2020-08-14,3.51,3.97,3.49,3.72,4860531,2229490218,0
2020-08-21,3.73,3.93,3.69,3.88,3306605,1529738518,0
2020-08-28,3.86,4.0,3.71,3.79,2279276,1062391975,0
2020-09-04,3.78,4.15,3.77,3.91,3488423,1657610962,0
2020-09-11,3.95,3.97,3.66,3.72,2191363,1017307754,0
2020-09-18,3.73,3.79,3.67,3.79,1091879,497725384,0
2020-09-25,3.79,3.8,3.54,3.56,1205537,539384873,0
2020-10-02,3.56,3.62,3.53,3.57,542553,239157914,0
2020-10-09,3.61,3.66,3.6,3.64,189338,84386962,0
2020-10-16,3.66,3.81,3.65,3.77,1336855,609183734,0
2020-10-23,3.75,3.79,3.63,3.65,1065381,480663112,0
2020-10-30,3.66,3.72,3.57,3.61,1273157,569145879,0
2020-11-06,3.63,3.84,3.62,3.84,2141979,983617449,0
2020-11-13,3.84,3.93,3.72,3.75,1618389,754520819,0
2020-11-20,3.77,3.91,3.76,3.86,1557423,729821945,0
2020-11-27,3.85,4.14,3.82,4.03,2938517,1404512025,0
2020-12-04,4.03,4.21,3.94,4.01,3121601,1528162711,0
2020-12-11,4.01,4.03,3.79,3.85,1603517,756704417,0
2020-12-18,3.87,4.1,3.79,4.03,1811843,861098059,0
2020-12-25,4.03,4.27,3.92,4.23,3563993,1752018328,0
2021-01-01,4.23,4.31,4.01,4.1,2805989,1390596087,0
2021-01-08,4.1,4.26,3.93,4.2,4067694,2008231456,0
2021-01-15,4.17,4.86,3.99,4.38,7279282,3791314608,0
2021-01-22,4.36,4.45,4.15,4.16,3450267,1767044066,0
2021-01-29,4.13,4.41,4.1,4.33,3662089,1860069616,0
2021-02-05,4.41,4.5,3.77,3.88,4203502,2087938254,0
2021-02-12,3.87,4.04,3.84,4.0,1036744,495787541,0
2021-02-19,4.06,4.21,4.02,4.21,970134,478134229,0
2021-02-26,4.21,4.5,4.21,4.35,3887000,2014160800,0
2021-03-05,4.35,4.52,4.23,4.4,3176766,1650605456,0
2021-03-12,4.55,4.95,4.38,4.78,6866901,3734944800,0
2021-03-19,4.75,4.95,4.56,4.67,6004648,3338947680,0
2021-03-26,4.73,4.92,4.53,4.66,5571140,3097077312,0
2021-04-02,4.62,4.76,4.49,4.5,3617380,1968560496,0
2021-04-09,4.5,4.62,4.44,4.46,1815636,969897217,0
2021-04-16,4.44,4.62,4.4,4.51,2608518,1382977433,0
2021-04-23,4.46,4.52,4.28,4.28,1818596,954043454,0
2021-04-30,4.28,4.44,4.22,4.4,1973929,1019702783,0
2021-05-07,4.35,4.57,4.35,4.54,1000386,530467295,0
2021-05-14,4.53,4.59,4.46,4.53,1755145,937209670,0
2021-05-21,4.52,4.82,4.39,4.43,2831233,1524761473,0
