datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,14.53,15.58,14.2,15.58,195388,819958368,0
2020-01-03,16.28,17.19,15.92,16.53,363928,1676572336,0
2020-01-06,16.59,18.24,16.59,18.24,246320,1217844192,0
2020-01-07,19.55,20.11,19.2,20.11,134199,739826048,0
2020-01-08,20.19,20.33,18.05,18.44,331130,1718855760,0
2020-01-09,18.62,18.91,17.86,18.38,217264,1103466224,0
2020-01-10,18.25,19.97,18.25,18.77,257325,1362383712,0
2020-01-13,17.95,20.07,17.88,19.81,243163,1298979872,0
2020-01-14,19.75,21.85,19.44,21.85,269199,1562401744,0
2020-01-15,21.58,23.09,20.88,22.68,244501,1468583984,0
2020-01-16,22.16,24.93,22.08,22.49,259305,1673227920,0
2020-01-17,22.9,23.94,22.4,23.9,232585,1490241216,0
2020-01-20,23.27,26.35,23.16,26.35,220401,1522943696,0
2020-01-21,26.3,28.93,25.93,28.2,231829,1735678320,0
2020-01-22,27.37,31.08,27.03,31.08,179437,1456874416,0
2020-01-23,29.57,32.37,27.96,29.56,269509,2225834896,0
2020-02-03,26.55,26.55,26.55,26.55,10559,76880079,0
2020-02-04,24.76,28.85,24.76,26.98,274506,2036052416,0
2020-02-05,26.98,29.74,26.5,29.74,278564,2139332112,0
2020-02-06,29.18,32.28,28.86,30.84,238665,2023588016,0
2020-02-07,30.53,31.83,29.6,31.33,195646,1658601184,0
2020-02-10,30.9,31.72,28.14,28.63,239426,1941593024,0
2020-02-11,28.48,31.55,28.15,31.55,234755,1951916352,0
2020-02-12,31.71,32.82,29.6,31.79,257892,2212430736,0
2020-02-13,31.09,34.99,30.97,33.24,261748,2362048816,0
2020-02-14,32.94,35.88,32.87,34.81,228024,2164480512,0
2020-02-17,34.81,38.34,34.81,38.34,211930,2136659424,0
2020-02-18,39.64,42.23,39.64,42.23,193654,2175857936,0
2020-02-19,41.28,43.66,38.53,40.69,253855,2858168576,0
2020-02-20,40.64,44.7,38.64,42.99,229734,2591280880,0
2020-02-21,42.98,47.34,42.22,47.34,203164,2509704640,0
2020-02-24,48.94,51.0,46.34,49.95,237748,3168176048,0
2020-02-25,48.2,50.43,45.04,48.57,250266,3281388928,0
2020-02-26,47.55,47.55,43.66,43.66,203052,2469247920,0
2020-02-27,42.99,44.06,39.24,39.24,266715,2917157024,0
2020-02-28,35.91,42.9,35.91,40.57,341463,3588293040,0
2020-03-02,42.29,42.62,39.52,40.39,229330,2578040224,0
2020-03-03,40.22,42.69,39.23,39.62,241366,2677107232,0
2020-03-04,38.03,38.41,35.63,36.77,238603,2408530240,0
2020-03-05,37.4,40.5,35.13,40.38,318231,3286819440,0
2020-03-06,38.64,39.74,37.31,37.55,202803,2132649232,0
2020-03-09,36.33,39.08,35.93,36.67,198318,2029246800,0
2020-03-10,38.53,40.39,37.79,40.39,290736,3152368368,0
2020-03-11,42.25,42.54,37.41,37.78,328314,3621551120,0
2020-03-12,35.45,37.9,35.44,36.7,209613,2075809488,0
2020-03-13,35.36,38.32,34.25,36.85,195088,1951121424,0
2020-03-16,36.84,36.84,33.11,33.11,200136,1894111264,0
2020-03-17,34.06,34.43,32.06,33.65,155311,1414435360,0
2020-03-18,34.06,34.76,31.42,31.76,183077,1663090432,0
2020-03-19,32.09,33.87,31.44,33.5,189118,1687733152,0
2020-03-20,34.06,34.24,31.22,32.3,165956,1470454896,0
2020-03-23,31.34,32.9,30.48,31.09,148433,1283507216,0
2020-03-24,32.02,33.2,29.97,32.83,181513,1568766640,0
2020-03-25,33.7,33.76,32.02,32.5,183609,1650644640,0
2020-03-26,31.47,32.42,31.09,31.17,123844,1066356736,0
2020-03-27,31.57,33.35,31.24,32.13,192470,1695015568,0
2020-03-30,30.78,33.51,29.97,33.24,187026,1638141008,0
2020-03-31,33.65,34.54,32.54,32.97,150921,1380168592,0
2020-04-01,32.35,34.8,32.35,33.69,174968,1622322608,0
2020-04-02,33.41,37.05,33.11,36.78,211796,2028691680,0
2020-04-03,36.02,36.25,34.86,35.19,174665,1691669008,0
2020-04-07,36.11,36.28,35.36,35.54,126544,1232071024,0
2020-04-08,35.08,36.1,34.82,35.04,107599,1037066960,0
2020-04-09,35.33,35.33,33.99,34.15,101309,951989888,0
2020-04-10,34.06,34.14,31.09,31.13,145838,1285704960,0
2020-04-13,30.34,30.35,28.7,29.23,126064,1017247408,0
2020-04-14,29.6,30.26,29.23,30.19,95507,776109392,0
2020-04-15,29.97,31.46,29.81,30.27,120265,1007925280,0
2020-04-16,29.6,30.59,29.27,30.26,79351,652035872,0
2020-04-17,31.01,32.15,30.61,30.74,141794,1215595520,0
2020-04-20,30.71,32.02,30.39,31.39,109322,932928224,0
2020-04-21,30.86,31.01,29.66,30.26,107524,887952992,0
2020-04-22,29.83,30.74,29.82,30.57,70564,587559728,0
2020-04-23,30.57,32.15,30.06,30.97,125023,1066364544,0
2020-04-24,30.89,31.31,29.52,30.07,84567,700827568,0
2020-04-27,30.1,30.84,28.86,30.59,84161,695552432,0
2020-04-28,31.09,33.7,30.85,33.7,166862,1475981136,0
2020-04-29,34.43,36.62,34.07,34.81,243548,2344027568,0
2020-04-30,35.71,38.15,35.16,37.22,223302,2236296640,0
2020-05-06,35.92,38.51,34.76,37.89,231279,2315525472,0
2020-05-07,37.77,39.1,37.22,37.73,156507,1618047760,0
2020-05-08,37.79,40.35,37.79,39.0,159931,1702949792,0
2020-05-11,39.35,39.41,37.28,37.78,138281,1437911024,0
2020-05-12,37.63,38.67,36.32,38.38,116937,1192518320,0
2020-05-13,38.34,38.51,36.96,37.5,102702,1051460208,0
2020-05-14,37.04,38.27,36.78,37.19,102881,1055736224,0
2020-05-15,37.42,40.23,36.85,38.86,172277,1814248960,0
2020-05-18,39.27,39.97,36.85,37.45,153909,1598742640,0
2020-05-19,38.03,40.44,37.09,40.03,157369,1201043472,0
2020-05-20,39.11,39.74,37.57,38.3,187780,1411896016,0
