datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,14.53,32.37,14.2,29.56,3895483,23073672704,0
2020-02-29,26.55,51.0,24.76,40.57,4611366,46262857663,0
2020-03-31,42.29,42.69,29.97,32.97,4513816,44325669072,0
2020-04-30,32.35,38.15,28.7,37.22,2820573,25445920432,0
2020-05-31,35.92,40.44,32.29,32.7,2560056,22350060976,0
2020-06-30,33.05,41.69,32.95,40.47,3412569,24110650752,0
2020-07-31,40.43,54.71,38.2,41.3,4496644,38619732048,0
2020-08-31,42.62,48.88,36.74,38.13,2456536,20343177760,0
2020-09-30,37.71,38.43,31.27,32.64,1319463,8796260916,0
2020-10-31,33.2,36.44,32.46,34.25,927742,6229283920,0
2020-11-30,34.2,40.58,33.8,36.9,2218700,15884488320,0
2020-12-31,36.48,37.89,31.53,33.02,1571992,10621594792,0
2021-01-31,33.15,47.35,32.54,36.53,3952988,31381364928,0
2021-02-28,36.54,39.4,32.63,34.21,1621332,11415529728,0
2021-03-31,34.87,37.02,27.0,30.4,1564759,9592159471,0
2021-04-30,30.66,35.53,30.23,32.92,1675918,10640407141,0
2021-05-31,32.38,33.19,29.09,32.21,1095371,6659338815,0
2021-06-30,31.9,37.05,29.09,36.64,3182088,18157770000,0
2021-07-31,36.19,37.06,31.09,36.87,4285682,23798271040,0
2021-08-31,37.29,39.31,29.72,31.02,3192057,17700589632,0
2021-09-30,30.87,31.25,25.88,26.1,1579058,7436719274,0
2021-10-31,26.47,28.68,25.14,25.49,1288586,5605437313,0
2021-11-30,25.55,38.18,25.25,36.73,4232969,22019154080,0
2021-12-31,36.98,39.81,32.17,34.05,3242039,18553896144,0
2022-01-31,33.95,33.99,25.69,26.02,2108138,9809629392,0
2022-02-28,26.56,28.37,24.22,27.02,1792731,7603719339,0
2022-03-31,27.03,27.57,22.25,22.76,2251717,9118732176,0
2022-04-30,22.77,23.05,16.5,18.21,1797800,5920981288,0
2022-05-31,17.81,20.5,16.51,19.75,2931241,7428915444,0
2022-06-30,19.68,30.0,19.21,28.19,8496984,19973459584,0
2022-07-31,27.88,29.3,23.47,23.55,8951527,23531336645,0
2022-08-31,23.38,31.0,22.63,23.45,10148746,27886734871,0
2022-09-30,23.7,25.05,18.7,18.71,3266837,7331212260,0
2022-10-31,18.71,21.28,17.52,19.99,2929709,5794225161,0
2022-11-30,19.98,22.37,19.58,20.32,4152048,8855094827,0
2022-12-31,20.5,22.4,18.23,18.35,4175984,8606944669,0
2023-01-31,18.34,20.8,18.27,19.98,2063937,4066609733,0
2023-02-28,19.98,22.28,19.93,20.28,3331411,7062675774,0
2023-03-31,20.28,26.35,20.17,24.48,10841175,26302696269,0
2023-04-30,24.69,29.45,21.84,22.35,11021368,29375133955,0
2023-05-31,22.05,23.8,21.1,22.72,5099489,11536269562,0
2023-06-30,21.8,21.8,19.27,20.0,3875793,8081651052,0
2023-07-31,20.08,25.65,19.81,22.37,7816099,17983395381,0
2023-08-31,22.26,22.55,17.85,21.21,4273182,8759889979,0
2023-09-30,21.84,25.53,20.97,21.47,11355783,25410635792,0
2023-10-31,21.34,24.71,20.24,23.61,10521384,24292258858,0
2023-11-30,23.47,26.75,22.37,23.22,9688890,23996055547,0
2023-12-31,23.17,23.7,20.51,21.83,3537818,7861459841,0
2024-01-31,21.8,21.83,15.96,15.99,3017242,5770742293,0
2024-02-29,15.87,18.7,13.31,18.39,4113111,6841570732,0
2024-03-31,18.57,19.65,16.98,17.66,5315656,10032303751,0
2024-04-30,17.76,18.16,15.31,17.58,2741983,4599771532,0
2024-05-31,17.87,19.12,16.63,18.55,5070279,9164301739,0
2024-06-30,18.49,22.99,17.8,20.3,10720807,21886965075,0
2024-07-31,20.31,24.05,18.63,20.98,13060866,27585008697,0
2024-08-31,20.98,21.58,17.14,18.4,5087385,9752857288,0
2024-09-30,18.47,21.84,16.99,21.84,4113574,7649563539,0
2024-10-31,24.03,29.04,21.22,28.02,12483824,30571499063,0
2024-11-30,27.92,36.69,25.48,27.35,18124448,54382717072,0
2024-12-31,27.35,30.72,26.37,28.17,10886329,31261883057,0
2025-01-31,27.99,29.48,23.92,27.92,7676731,20986928115,0
2025-02-28,28.37,38.12,28.15,33.57,11052441,37595263375,0
2025-03-31,33.92,36.5,29.58,30.63,4954702,16268202276,0
2025-04-30,30.86,31.4,23.74,28.57,5445648,15023894722,0
2025-05-31,28.62,30.18,25.95,26.12,3554901,10030931817,0
2025-06-30,25.95,28.58,25.28,28.31,5130580,13845384518,0
2025-07-31,28.31,29.46,26.98,28.38,5630350,15904559718,0
2025-08-31,28.38,33.42,27.8,32.98,9845334,30583180081,0
2025-09-30,33.5,33.78,29.01,32.35,9150981,28846697274,0
2025-10-31,32.99,33.98,27.94,29.39,6333944,19409811840,0
2025-11-30,29.4,29.4,26.02,27.02,3140017,8754343728,0
2025-12-31,27.18,28.18,26.45,27.66,2880447,7919463894,0
2026-01-31,27.79,29.22,27.78,29.01,1213454,3480459233,0
