datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,14.53,17.19,14.2,16.53,559316,2496530704,0
2020-01-10,16.59,20.33,16.59,18.77,1186238,6142375936,0
2020-01-17,17.95,24.93,17.88,23.9,1248753,7493434736,0
2020-01-24,23.27,32.37,23.16,29.56,901176,6941331328,0
2020-02-07,26.55,32.28,24.76,31.33,997940,7934453807,0
2020-02-14,30.9,35.88,28.14,34.81,1221845,10632469440,0
2020-02-21,34.81,47.34,34.81,47.34,1092337,12271671456,0
2020-02-28,48.94,51.0,35.91,40.57,1299244,15424262960,0
2020-03-06,42.29,42.69,35.13,37.55,1230333,13083146368,0
2020-03-13,36.33,42.54,34.25,36.85,1222069,12830097200,0
2020-03-20,36.84,36.84,31.22,32.3,893598,8129825104,0
2020-03-27,31.34,33.76,29.97,32.13,829869,7264290800,0
2020-04-03,30.78,37.05,29.97,35.19,899376,8360992896,0
2020-04-10,36.11,36.28,31.09,31.13,481290,4506832832,0
2020-04-17,30.34,32.15,28.7,30.74,562981,4668913472,0
2020-04-24,30.71,32.15,29.52,30.07,497000,4175633056,0
2020-05-01,30.1,38.15,28.86,37.22,717873,6751857776,0
2020-05-08,35.92,40.35,34.76,39.0,547717,5636523024,0
2020-05-15,39.35,40.23,36.32,38.86,633078,6551874736,0
2020-05-22,39.27,40.44,33.9,35.49,823097,6464864000,0
2020-05-29,35.02,36.21,32.29,32.7,556164,3696799216,0
2020-06-05,33.05,36.48,32.95,33.95,690672,4623234192,0
2020-06-12,34.45,37.99,34.01,36.98,990945,6957038384,0
2020-06-19,35.96,36.37,33.99,35.29,663941,4556996560,0
2020-06-26,35.44,38.7,35.44,38.52,598543,4325525968,0
2020-07-03,38.43,42.73,38.12,40.85,1104340,8741737856,0
2020-07-10,40.65,50.86,40.39,50.08,1382421,12190961184,0
2020-07-17,49.76,54.71,40.85,41.44,1211838,11237115648,0
2020-07-24,42.47,43.96,38.35,38.51,705137,5707095232,0
2020-07-31,38.81,41.79,38.2,41.3,561376,4390677776,0
2020-08-07,42.62,48.88,41.75,46.37,1011932,8981637200,0
2020-08-14,44.81,45.07,38.34,40.13,653467,5295781152,0
2020-08-21,40.02,41.42,38.3,39.46,362399,2827011376,0
2020-08-28,39.46,40.8,36.74,38.35,371279,2805721360,0
2020-09-04,38.82,39.16,35.61,37.08,336183,2443085008,0
2020-09-11,36.77,37.21,31.27,32.82,380285,2484272672,0
2020-09-18,33.15,34.75,32.43,34.45,313031,2044136384,0
2020-09-25,34.55,35.38,32.32,32.44,246867,1619713694,0
2020-10-02,32.31,33.25,31.69,32.64,100556,638079830,0
2020-10-09,33.2,34.03,33.2,34.01,54445,356983136,0
2020-10-16,34.34,35.7,34.07,35.24,294284,2004742224,0
2020-10-23,36.35,36.44,33.49,34.06,293916,1995356752,0
2020-10-30,33.67,35.18,32.46,34.25,285097,1872201808,0
2020-11-06,34.2,36.32,33.8,36.21,559958,3819299024,0
2020-11-13,36.97,40.58,35.2,36.47,722057,5348747440,0
2020-11-20,36.49,37.35,34.32,36.3,349284,2457913280,0
2020-11-27,35.96,38.28,35.69,37.78,457852,3313108080,0
2020-12-04,38.19,38.52,35.96,36.17,443039,3175725968,0
2020-12-11,36.79,37.89,34.41,34.78,433542,3058796816,0
2020-12-18,34.82,35.07,32.47,33.22,281300,1856622360,0
2020-12-25,32.89,34.19,32.12,32.64,307798,1988820848,0
2021-01-01,32.59,33.08,31.53,33.02,235862,1487049296,0
2021-01-08,33.15,38.74,32.54,37.05,789489,5568043792,0
2021-01-15,37.01,46.17,37.01,41.43,1191316,9625405792,0
2021-01-22,40.65,47.35,40.15,42.68,1193734,10277653392,0
2021-01-29,40.99,42.1,35.93,36.53,778449,5910261952,0
2021-02-05,36.54,39.4,32.63,33.82,742415,5189051568,0
2021-02-12,33.91,36.85,33.91,35.97,250431,1737362800,0
2021-02-19,36.68,38.93,36.68,38.62,237926,1760013968,0
2021-02-26,38.44,38.49,34.06,34.21,390560,2729101392,0
2021-03-05,34.87,37.02,34.44,35.42,326886,2273774640,0
2021-03-12,35.93,35.93,30.76,31.12,347689,2219116983,0
2021-03-19,30.66,30.66,27.0,28.41,418520,2337376752,0
2021-03-26,28.25,30.98,28.07,30.74,328506,1913051066,0
2021-04-02,31.12,34.7,29.66,34.4,396063,2470777166,0
2021-04-09,35.18,35.53,32.37,32.87,338718,2214717600,0
2021-04-16,32.16,33.07,30.88,31.8,310936,1932058432,0
2021-04-23,31.57,33.02,31.21,32.77,301736,1899929557,0
2021-04-30,33.14,33.92,30.23,32.92,471623,2971764416,0
2021-05-07,32.38,32.95,30.61,30.76,135435,837423456,0
2021-05-14,30.54,31.09,29.09,30.76,235824,1383342349,0
2021-05-21,31.03,31.71,29.5,29.66,221127,1325328435,0
2021-05-28,29.45,33.19,29.35,31.84,430020,2656941055,0
2021-06-04,32.3,33.04,31.1,32.18,442997,2770758848,0
2021-06-11,33.28,33.99,30.77,31.08,563569,3575659648,0
2021-06-18,31.36,33.22,29.09,32.8,621547,3145960192,0
2021-06-25,32.5,36.33,32.0,35.37,1001548,5556701344,0
2021-07-02,35.44,37.05,33.64,34.56,975400,5570685552,0
2021-07-09,35.05,36.42,32.05,36.02,931064,5164028128,0
2021-07-16,36.19,36.6,32.38,32.4,881559,4865915328,0
2021-07-23,32.02,34.15,31.09,32.65,666793,3517031552,0
2021-07-30,32.55,37.06,31.7,36.87,1456258,8245603968,0
2021-08-06,37.29,39.31,34.75,35.74,1200521,7083506976,0
2021-08-13,35.0,35.84,32.97,33.05,736533,4123848560,0
2021-08-20,32.92,33.6,31.37,32.29,541873,2828876592,0
2021-08-27,32.29,32.93,30.79,32.01,468062,2428894016,0
2021-09-03,31.94,32.6,29.5,29.9,522787,2585119520,0
2021-09-10,29.9,31.25,29.52,30.83,437325,2156883168,0
2021-09-17,30.75,30.97,27.52,27.74,380005,1798070656,0
2021-09-24,27.56,28.22,27.2,27.2,219475,986858520,0
2021-10-01,27.39,27.64,25.88,26.1,264534,1145250898,0
2021-10-08,26.47,26.97,26.25,26.62,58377,252023795,0
2021-10-15,26.63,28.68,26.19,28.33,420780,1863832132,0
2021-10-22,27.42,27.55,26.19,26.65,396399,1733330282,0
2021-10-29,26.75,27.42,25.14,25.49,413030,1756251104,0
2021-11-05,25.55,27.87,25.25,27.04,534036,2327605280,0
2021-11-12,26.87,28.39,26.01,27.81,550924,2453758592,0
2021-11-19,27.75,29.93,26.94,29.2,673472,3120735632,0
2021-11-26,29.15,38.18,29.04,36.42,2003791,11351182976,0
2021-12-03,35.94,39.81,35.12,38.9,1110947,6618863328,0
2021-12-10,38.36,38.78,34.1,34.55,775390,4504570768,0
2021-12-17,34.57,34.87,32.69,32.71,532322,2907087088,0
2021-12-24,32.69,37.01,32.17,35.16,870642,4927279472,0
2021-12-31,35.15,35.81,33.25,34.05,423484,2361967088,0
2022-01-07,33.95,33.99,29.63,29.63,403657,2053172960,0
2022-01-14,29.59,29.59,27.25,28.47,742440,3407900736,0
2022-01-21,28.47,30.12,27.09,27.31,538037,2505151904,0
2022-01-28,27.31,27.9,25.69,26.02,424004,1843403792,0
2022-02-11,26.56,26.64,24.59,25.06,472296,1948487712,0
2022-02-18,24.85,25.94,24.22,25.31,412273,1684675020,0
2022-02-25,25.31,28.37,24.67,27.27,803949,3514582847,0
2022-03-04,27.05,27.57,26.19,26.82,479553,2100911984,0
2022-03-11,26.37,26.37,24.31,25.32,551320,2260421312,0
2022-03-18,24.91,25.53,22.25,24.68,498952,1972188975,0
2022-03-25,24.69,25.5,23.94,24.25,507346,2034961232,0
2022-04-01,23.81,24.09,22.47,22.57,377146,1421631620,0
2022-04-08,22.57,22.58,20.8,21.62,251174,883544340,0
2022-04-15,22.37,22.52,20.19,20.55,467366,1598397338,0
2022-04-22,20.55,21.95,19.82,19.84,465413,1603805265,0
2022-04-29,19.3,19.3,16.5,18.21,555460,1619825158,0
2022-05-06,17.81,18.43,16.98,17.17,205872,592876224,0
2022-05-13,17.27,19.45,16.51,18.9,785960,2369201101,0
2022-05-20,19.14,20.5,18.43,20.38,740476,2116994656,0
2022-05-27,20.05,20.25,18.6,18.92,847838,1665397349,0
2022-06-03,18.96,20.0,18.76,19.92,752416,1481681474,0
2022-06-10,19.89,22.36,19.8,20.9,1818548,3871918544,0
2022-06-17,20.6,22.06,19.7,21.59,1481982,3145214464,0
2022-06-24,21.62,23.17,21.4,22.54,1564654,3524037392,0
2022-07-01,22.48,30.0,22.12,26.71,4050488,10871015648,0
2022-07-08,25.8,29.3,25.0,27.01,3239028,8870691584,0
2022-07-15,26.42,26.42,23.87,24.45,1720222,4336949353,0
2022-07-22,24.5,26.98,23.92,25.79,1935769,5010290776,0
2022-07-29,25.45,25.87,23.47,23.55,1236499,3077443108,0
2022-08-05,23.38,26.6,22.63,26.6,1784075,4417203177,0
