datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,21.48,21.95,21.29,21.62,73959,211934796,0
2020-01-03,21.93,22.2,21.29,21.35,72472,208782829,0
2020-01-06,21.17,21.58,20.78,21.1,66340,186785673,0
2020-01-07,21.1,21.43,20.89,21.22,56485,158209362,0
2020-01-08,21.16,21.16,20.6,20.64,55566,153606481,0
2020-01-09,20.9,21.2,20.66,21.16,55542,155044660,0
2020-01-10,21.15,21.7,21.07,21.15,59608,169247741,0
2020-01-13,20.7,21.31,20.68,21.15,47476,132734337,0
2020-01-14,21.25,21.45,20.62,20.68,60997,169440112,0
2020-01-15,20.65,20.82,20.26,20.53,43589,118766522,0
2020-01-16,20.59,20.79,20.3,20.41,33913,92560139,0
2020-01-17,20.46,20.8,20.39,20.48,35834,98036130,0
2020-01-20,20.62,21.08,20.33,21.08,61604,170196220,0
2020-01-21,20.94,21.04,20.63,20.66,36950,102190712,0
2020-01-22,20.38,20.96,20.25,20.66,43647,119422483,0
2020-01-23,20.24,20.59,19.17,19.85,58129,154600344,0
2020-02-03,17.82,17.82,17.82,17.82,10644,25290144,0
2020-02-04,17.21,18.01,17.14,17.74,67516,159337413,0
2020-02-05,18.01,19.56,17.98,19.56,68084,171409931,0
2020-02-06,20.08,21.56,19.7,21.56,166638,468331600,0
2020-02-07,21.67,23.76,21.67,23.76,195067,597890816,0
2020-02-10,24.93,26.18,22.82,24.51,230633,757317152,0
2020-02-11,24.61,26.03,23.7,24.55,158350,519683264,0
2020-02-12,24.27,27.05,24.02,27.05,164512,565690336,0
2020-02-13,27.85,27.85,26.33,26.73,134942,478848768,0
2020-02-14,26.55,27.05,25.78,26.16,95611,332346368,0
2020-02-17,27.14,28.75,27.14,27.86,165394,607237728,0
2020-02-18,27.69,28.39,26.97,27.99,146253,535009344,0
2020-02-19,27.93,28.08,26.85,26.85,100313,362181904,0
2020-02-20,26.61,27.88,26.51,27.47,90459,325571360,0
2020-02-21,27.23,29.45,27.18,29.27,132131,497412800,0
2020-02-24,29.93,31.85,28.8,30.84,134815,540294640,0
2020-02-25,30.13,31.84,27.93,31.38,138343,556648048,0
2020-02-26,30.31,31.07,28.2,28.2,112524,435158240,0
2020-02-27,28.62,29.12,27.44,28.18,86959,324853440,0
2020-02-28,26.43,27.24,25.79,25.93,111159,390606544,0
2020-03-02,26.62,28.57,26.56,28.39,123943,455930176,0
2020-03-03,29.55,29.93,27.58,27.71,125937,480049808,0
2020-03-04,27.74,29.17,27.06,28.48,90607,336960320,0
2020-03-05,29.8,30.22,28.45,29.08,99277,383127344,0
2020-03-06,28.51,29.41,28.38,28.48,65297,248279187,0
2020-03-09,27.68,29.28,27.53,27.66,75036,279671824,0
2020-03-10,27.66,29.76,26.7,29.7,104995,393710784,0
2020-03-11,29.95,30.61,27.89,27.9,116788,453160496,0
2020-03-12,27.01,27.61,26.21,26.58,93869,332439504,0
2020-03-13,24.93,27.35,24.78,26.76,64940,223242800,0
2020-03-16,26.89,27.08,24.04,24.16,88599,298419472,0
2020-03-17,24.94,25.18,23.15,24.39,64844,207686328,0
