datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,21.48,22.2,19.17,19.85,862111,2401558541,0
2020-02-29,17.82,31.85,17.14,25.93,2510347,8651119840,0
2020-03-31,26.62,30.61,21.94,23.01,1581139,5554863983,0
2020-04-30,23.05,31.01,22.9,28.46,1477393,5497194362,0
2020-05-31,28.77,32.85,24.93,26.01,1046785,4109349238,0
2020-06-30,26.62,30.14,26.39,29.72,998842,3753148226,0
2020-07-31,29.8,33.68,25.41,26.68,1376555,5337133033,0
2020-08-31,26.76,27.63,23.37,24.57,749471,2191835971,0
2020-09-30,24.37,24.93,19.1,19.83,660103,1436154654,0
2020-10-31,20.0,21.36,13.93,14.07,959709,1655726461,0
2020-11-30,14.05,16.23,13.87,15.82,1897263,2976954048,0
2020-12-31,15.6,15.8,11.77,13.85,1701084,2440066527,0
2021-01-31,13.57,14.15,10.35,10.47,1346266,1767880135,0
2021-02-28,9.73,12.1,9.73,11.94,893468,1038614809,0
2021-03-31,11.89,12.08,10.77,11.06,1120064,1329613049,0
2021-04-30,11.09,14.57,10.92,12.61,1737810,2252184536,0
2021-05-31,12.6,16.82,12.47,15.72,3456124,5184909326,0
2021-06-30,15.8,17.34,13.69,14.1,2173859,3395870879,0
2021-07-31,14.26,16.17,12.74,15.38,2194400,3238754142,0
2021-08-31,15.15,17.3,13.57,13.73,2440733,3857467976,0
2021-09-30,13.89,15.31,12.26,12.63,1221029,1772919297,0
2021-10-31,12.8,13.32,11.6,12.02,451795,586875653,0
2021-11-30,11.77,13.51,11.59,12.98,902518,1170822478,0
2021-12-31,12.93,13.37,12.05,12.81,1032700,1342322337,0
2022-01-31,12.81,14.17,11.85,12.57,1511628,2066420690,0
2022-02-28,12.74,15.82,12.48,14.83,1983933,2945456075,0
2022-03-31,14.83,15.03,12.25,12.92,1522210,2095794537,0
2022-04-30,12.85,12.93,8.3,8.74,876936,956054901,0
2022-05-31,8.57,9.95,8.38,9.59,872779,833098218,0
2022-06-30,9.61,10.88,9.15,9.72,1231217,1263847590,0
2022-07-31,9.72,10.22,9.23,9.96,664560,673623501,0
2022-08-31,9.96,11.31,9.35,10.46,965848,1042128511,0
2022-09-30,10.3,11.87,8.7,8.74,1594992,1729060267,0
2022-10-31,8.94,14.33,8.82,11.56,4160665,5464577147,0
2022-11-30,11.56,12.54,11.17,11.47,2511585,3083637054,0
2022-12-31,11.41,13.04,10.67,10.81,1315629,1589134503,0
2023-01-31,10.64,13.25,10.64,13.11,1000851,1246176553,0
2023-02-28,13.09,19.53,13.02,19.47,5416954,8886109718,0
2023-03-31,19.08,39.34,19.08,37.17,11899343,31716329766,0
2023-04-30,37.0,65.19,37.0,62.57,12310637,62963481220,0
2023-05-31,61.57,74.37,50.58,71.02,13751165,84107766365,0
2023-06-30,67.78,78.17,57.5,62.46,10871056,75542894642,0
2023-07-31,61.57,67.87,51.57,55.56,7629426,45883716856,0
2023-08-31,55.07,56.93,43.87,47.26,6330718,32004245198,0
2023-09-30,47.26,56.34,41.45,53.93,5832377,28459419058,0
2023-10-31,52.97,53.36,34.32,35.56,4971321,21560433427,0
2023-11-30,35.57,46.01,34.74,38.4,5953562,23912165201,0
2023-12-31,38.0,44.44,35.22,37.29,4727073,19107949818,0
2024-01-31,37.03,48.46,31.04,34.29,6567232,25871968772,0
2024-02-29,33.77,50.22,32.99,45.36,8163976,35417887562,0
2024-03-31,45.07,52.07,38.26,39.28,8078034,38462588110,0
2024-04-30,39.59,41.57,32.6,36.12,3295627,12187471843,0
2024-05-31,36.77,36.93,32.04,33.43,2309557,8058463661,0
2024-06-30,33.92,38.46,29.57,31.85,3286779,11281056847,0
2024-07-31,31.71,32.94,27.84,30.15,2021073,6210245422,0
2024-08-31,29.62,30.12,24.46,26.06,1540232,4234215664,0
2024-09-30,26.6,33.89,25.11,33.89,4180013,11954844258,0
2024-10-31,37.31,37.98,29.71,36.93,5243563,18420444538,0
2024-11-30,37.03,60.23,36.51,42.43,9618857,46362360761,0
2024-12-31,42.73,49.52,39.75,40.33,5602135,24710442965,0
2025-01-31,40.09,43.73,36.31,39.61,4459183,18020805364,0
2025-02-28,39.23,45.47,37.74,39.23,4288112,18386951469,0
2025-03-31,39.29,41.12,36.53,37.05,1630205,6442403343,0
2025-04-30,37.23,37.76,27.29,33.52,2028973,6623463819,0
2025-05-31,33.89,43.33,33.72,36.21,4745407,18541693881,0
2025-06-30,35.65,49.55,35.42,47.25,7384949,33364481530,0
2025-07-31,47.25,54.24,41.55,54.23,7833089,38195230526,0
2025-08-31,52.6,98.75,48.25,93.6,7506553,48387493450,0
2025-09-30,94.95,142.5,74.11,127.8,9323982,97358262377,0
2025-10-31,131.29,132.99,98.25,103.04,5809116,65064156839,0
2025-11-30,102.45,118.33,92.01,109.62,6566702,69975409857,0
2025-12-31,109.48,144.7,103.5,134.38,6931295,82640983615,0
2026-01-31,134.0,134.47,118.6,123.68,1219469,15346663986,0
