datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,21.48,22.2,21.29,21.35,146431,420717625,0
2020-01-10,21.17,21.7,20.6,21.15,293541,822893917,0
2020-01-17,20.7,21.45,20.26,20.48,221809,611537240,0
2020-01-24,20.62,21.08,19.17,19.85,200330,546409759,0
2020-02-07,17.82,23.76,17.14,23.76,507949,1422259904,0
2020-02-14,24.93,27.85,22.82,26.16,784048,2653885888,0
2020-02-21,27.14,29.45,26.51,29.27,634550,2327413136,0
2020-02-28,29.93,31.85,25.79,25.93,583800,2247560912,0
2020-03-06,26.62,30.22,26.56,28.48,505061,1904346835,0
2020-03-13,27.68,30.61,24.78,26.76,455628,1682225408,0
2020-03-20,26.89,27.08,23.15,24.2,320705,1039767989,0
2020-03-27,23.39,24.31,22.47,23.34,223147,696048763,0
2020-04-03,22.78,26.7,21.94,26.54,315945,1033537513,0
2020-04-10,27.66,31.01,26.81,27.79,409143,1573163936,0
2020-04-17,28.08,30.16,27.15,28.32,299972,1136749821,0
2020-04-24,28.62,30.43,27.15,27.44,280635,1068465791,0
2020-05-01,27.21,29.01,25.88,28.46,248296,917752289,0
2020-05-08,28.77,32.85,28.26,31.88,286858,1186526536,0
2020-05-15,31.71,32.62,30.54,31.15,282217,1167013594,0
2020-05-22,31.47,31.51,26.78,26.89,259133,996804284,0
2020-05-29,26.65,27.31,24.93,26.01,218577,759004824,0
2020-06-05,26.62,29.53,26.39,27.98,288785,1077914402,0
2020-06-12,28.29,28.76,26.62,27.15,174420,634950780,0
2020-06-19,26.99,29.77,26.98,29.15,302296,1138604361,0
2020-06-26,29.15,29.93,28.65,29.44,146399,563911152,0
2020-07-03,29.17,30.14,28.41,29.08,229648,884929053,0
2020-07-10,29.01,32.28,28.78,31.21,394057,1608472243,0
2020-07-17,31.85,33.68,26.91,28.31,400043,1611049259,0
2020-07-24,28.51,28.95,25.85,26.61,269816,979190209,0
2020-07-31,26.48,27.24,25.41,26.68,169933,591259800,0
2020-08-07,26.76,27.63,25.71,25.97,189730,671181628,0
2020-08-14,25.79,27.31,24.96,25.37,190827,591878608,0
2020-08-21,25.28,25.91,23.87,24.87,163226,415698227,0
2020-08-28,24.73,25.75,23.37,24.53,171910,428028810,0
2020-09-04,24.25,25.04,23.36,23.92,133183,329296446,0
2020-09-11,23.93,24.27,20.31,20.83,170614,386714023,0
2020-09-18,21.06,21.1,19.76,20.82,200080,416043664,0
2020-09-25,20.82,21.1,19.22,19.47,117376,243503866,0
2020-10-02,19.55,19.96,19.1,19.83,72628,145645353,0
2020-10-09,20.0,20.53,20.0,20.37,20099,41744444,0
2020-10-16,20.46,21.36,20.23,20.51,116458,248224727,0
2020-10-23,19.47,19.67,15.21,15.31,534318,927601295,0
2020-10-30,15.22,15.3,13.93,14.07,288834,438155995,0
2020-11-06,14.05,15.82,13.87,15.1,394380,605026794,0
2020-11-13,15.16,15.93,14.35,14.71,330107,517269739,0
2020-11-20,14.72,16.09,14.55,14.72,351457,547169854,0
2020-11-27,14.72,16.23,14.23,15.75,661097,1049315671,0
2020-12-04,15.67,16.15,15.17,15.44,506701,810399099,0
2020-12-11,15.42,15.75,13.72,13.96,318993,489879503,0
2020-12-18,13.94,13.95,12.22,12.97,383727,516086702,0
2020-12-25,12.92,13.26,12.21,12.33,192299,252029966,0
2021-01-01,12.27,14.25,11.77,13.85,459586,629843247,0
2021-01-08,13.57,14.15,12.88,13.11,478538,670880306,0
2021-01-15,12.87,13.15,11.84,12.6,365974,471257123,0
2021-01-22,12.61,13.02,12.13,12.13,273488,356498512,0
