datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,27.11,27.34,26.52,26.69,131897,358754192,0
2020-01-03,26.7,26.73,25.87,26.33,116705,310533680,0
2020-01-06,25.77,26.5,25.61,26.05,81195,214408721,0
2020-01-07,26.12,26.66,26.12,26.4,92572,247396071,0
2020-01-08,26.24,26.24,25.04,25.21,114512,296680416,0
2020-01-09,25.62,25.79,25.22,25.47,68667,176770033,0
2020-01-10,25.55,25.68,25.22,25.51,67270,173152558,0
2020-01-13,25.33,25.69,24.63,25.68,83894,213078129,0
2020-01-14,25.68,27.06,25.58,26.69,192262,514879040,0
2020-01-15,26.31,26.46,25.97,26.18,102288,271166080,0
2020-01-16,26.31,26.4,25.59,25.67,73754,192916990,0
2020-01-17,25.69,25.97,25.01,25.15,65964,170395324,0
2020-01-20,24.98,25.48,24.46,25.26,62633,157763649,0
2020-01-21,25.09,25.21,24.46,24.47,50725,127254610,0
2020-01-22,24.31,24.95,23.76,24.61,57377,141151330,0
2020-01-23,24.38,24.86,23.01,23.36,67000,162294316,0
2020-02-03,21.0,21.0,21.0,21.0,4522,9627338,0
2020-02-04,18.87,20.37,18.87,19.94,103978,208175603,0
2020-02-05,19.91,21.39,19.91,20.62,82879,173466796,0
2020-02-06,20.55,21.71,20.48,21.35,85522,182763841,0
2020-02-07,21.06,21.63,21.01,21.37,64613,139673163,0
2020-02-10,21.37,22.07,21.14,21.79,55935,122970926,0
2020-02-11,21.81,22.89,21.62,21.96,87064,196410905,0
2020-02-12,21.52,22.26,21.41,22.01,75555,166706271,0
2020-02-13,21.8,22.14,21.43,21.45,53068,116568349,0
2020-02-14,21.25,22.69,21.25,22.02,89681,200155833,0
2020-02-17,22.46,22.83,22.07,22.71,99001,225700433,0
2020-02-18,22.6,23.39,22.19,23.36,112465,257712009,0
2020-02-19,24.17,25.73,23.91,25.73,110655,281848816,0
2020-02-20,26.51,28.33,25.76,28.33,367157,1016708096,0
2020-02-21,29.0,30.21,27.71,28.89,416521,1217251536,0
2020-02-24,27.71,28.08,26.7,27.11,291839,807606096,0
2020-02-25,25.71,26.21,24.61,26.2,235125,608439392,0
2020-02-26,25.31,26.83,24.71,25.53,169320,446786480,0
2020-02-27,25.61,26.51,25.33,25.54,109783,286676656,0
2020-02-28,24.28,24.65,23.01,23.14,128098,309988992,0
2020-03-02,23.56,25.38,23.44,25.04,118778,292962320,0
2020-03-03,25.31,25.97,24.71,25.06,116775,299952224,0
2020-03-04,24.7,25.89,24.62,25.83,107463,275622656,0
2020-03-05,26.69,28.44,25.42,28.44,251694,685560272,0
2020-03-06,28.22,28.22,26.56,26.88,218117,601042640,0
2020-03-09,25.82,26.27,24.76,25.41,149634,388517200,0
2020-03-10,25.21,27.69,25.21,27.05,182984,488294768,0
2020-03-11,26.53,26.78,25.52,25.62,139188,368071424,0
2020-03-12,24.82,26.24,24.79,26.06,101980,264362011,0
2020-03-13,24.51,26.69,24.47,26.3,129029,337179840,0
2020-03-16,25.71,25.95,23.64,23.64,138121,345271600,0
2020-03-17,23.71,24.37,22.14,22.81,102491,238929021,0
2020-03-18,23.06,23.34,21.59,21.67,90162,206082291,0
2020-03-19,21.57,22.47,21.29,22.3,82113,182254667,0
2020-03-20,22.34,22.5,21.74,22.42,57334,129074283,0
2020-03-23,21.59,21.91,20.46,21.04,54728,118993603,0
2020-03-24,21.66,21.74,20.62,21.48,50452,109119892,0
2020-03-25,22.07,23.37,22.07,22.86,109745,252579030,0
2020-03-26,22.44,22.71,22.0,22.14,61065,138242420,0
2020-03-27,22.49,22.94,22.17,22.24,55225,125885230,0
2020-03-30,21.81,21.98,21.25,21.71,49017,106957434,0
2020-03-31,21.92,22.06,21.41,21.45,37736,83052760,0
2020-04-01,21.25,21.91,21.22,21.26,43266,94538019,0
2020-04-02,21.15,22.29,21.06,22.19,56736,124464092,0
2020-04-03,22.12,22.19,21.58,21.83,45982,102111066,0
2020-04-07,22.31,22.8,22.14,22.54,67641,153872791,0
2020-04-08,22.09,22.56,22.02,22.17,57950,130540054,0
2020-04-09,22.51,24.22,22.36,23.14,130105,307875712,0
2020-04-10,22.75,23.2,22.03,22.04,72513,165366910,0
2020-04-13,21.82,21.82,21.06,21.31,46687,100997594,0
2020-04-14,21.41,22.04,21.32,21.91,43387,95277082,0
2020-04-15,21.93,22.11,21.41,21.46,43047,94649277,0
2020-04-16,21.26,21.71,21.16,21.54,34889,76058875,0
2020-04-17,21.77,21.97,21.57,21.64,49604,109450322,0
2020-04-20,21.64,22.59,21.49,22.27,63716,142468533,0
2020-04-21,22.15,22.19,21.52,21.98,44471,98385656,0
2020-04-22,21.71,22.49,21.7,22.2,48695,109285276,0
2020-04-23,22.2,22.31,21.59,21.6,41963,92822218,0
2020-04-24,21.41,21.58,20.68,20.83,48070,102540801,0
2020-04-27,21.31,22.36,21.26,21.47,76909,170045517,0
2020-04-28,21.28,21.66,19.29,20.68,62251,130713892,0
2020-04-29,20.65,20.73,20.22,20.38,33744,70022667,0
2020-04-30,20.47,21.37,20.47,21.31,60590,128929650,0
2020-05-06,21.11,21.95,21.01,21.91,61134,133742772,0
2020-05-07,21.93,22.31,21.82,22.02,62263,139344687,0
2020-05-08,22.31,23.09,22.02,22.41,94883,216180949,0
2020-05-11,22.25,22.61,22.07,22.36,49640,112399312,0
2020-05-12,22.32,22.47,21.7,22.28,42072,94193663,0
2020-05-13,22.02,22.55,21.96,22.36,43962,99058439,0
2020-05-14,22.18,22.18,21.81,21.89,36408,81202360,0
2020-05-15,23.61,23.99,22.29,22.33,149159,348815328,0
2020-05-18,21.86,22.62,21.76,21.81,86949,195041009,0
2020-05-19,22.02,22.2,21.69,21.85,57661,127578114,0
2020-05-20,21.74,21.8,21.31,21.45,58926,128167030,0
2020-05-21,21.47,21.59,20.99,21.01,40058,86089867,0
2020-05-22,20.99,21.18,20.51,20.54,40444,85246279,0
2020-05-25,20.34,20.74,20.34,20.58,21015,43789278,0
2020-05-26,20.73,21.13,20.54,21.05,26865,56934941,0
2020-05-27,21.01,21.05,20.57,20.59,26872,56423960,0
2020-05-28,20.69,21.37,20.61,20.93,49536,105563065,0
2020-05-29,20.72,20.76,20.54,20.62,31991,66926888,0
2020-06-01,20.91,22.19,20.91,21.8,87414,190648274,0
2020-06-02,21.7,21.74,21.32,21.47,55642,121312478,0
2020-06-03,21.67,21.67,21.04,21.07,44974,96772874,0
2020-06-04,21.16,21.18,20.87,20.91,30516,64773076,0
2020-06-05,20.83,21.22,20.78,21.16,33673,71612852,0
2020-06-08,21.29,21.34,20.9,20.94,28765,61169671,0
2020-06-09,20.94,21.2,20.81,21.08,26922,57340777,0
2020-06-10,20.97,21.54,20.82,21.36,39999,85771893,0
2020-06-11,21.36,21.84,21.11,21.25,54992,119398338,0
2020-06-12,20.76,21.66,20.64,21.35,51937,111933821,0
2020-06-15,21.44,21.44,20.97,21.04,35664,76410752,0
2020-06-16,21.17,21.35,21.08,21.3,27742,59499051,0
2020-06-17,21.48,21.96,21.26,21.85,66690,145722450,0
2020-06-18,21.76,22.15,21.61,21.87,47671,105588994,0
2020-06-19,22.0,22.49,21.86,22.19,71442,160457846,0
2020-06-22,22.01,23.76,21.79,22.42,101087,231630919,0
2020-06-23,22.21,22.44,21.89,22.06,54834,122941591,0
2020-06-24,22.14,22.47,21.75,21.86,49278,109752067,0
2020-06-29,21.68,21.68,20.63,20.78,61460,129884777,0
2020-06-30,20.91,21.45,20.79,21.3,44178,94432145,0
2020-07-01,21.45,21.45,21.01,21.27,41943,89932883,0
2020-07-02,21.4,23.11,21.24,22.76,132757,298983472,0
2020-07-03,23.24,24.71,22.5,24.28,206584,492856784,0
2020-07-06,24.71,26.05,24.06,26.01,197347,503620304,0
2020-07-07,25.66,25.66,24.29,24.81,175494,443067520,0
2020-07-08,24.58,26.35,24.58,25.86,186822,481407344,0
2020-07-09,25.67,26.64,25.22,25.68,161703,418886048,0
2020-07-10,25.11,27.56,24.82,25.93,182874,475016192,0
2020-07-13,25.57,26.51,25.11,26.06,144905,376220928,0
2020-07-14,25.66,28.69,25.64,28.69,248351,687580800,0
2020-07-15,29.76,31.58,28.98,31.58,336735,1056677328,0
2020-07-16,31.9,32.56,28.4,28.4,255848,759213264,0
2020-07-17,27.2,27.44,25.54,25.54,161268,419965824,0
2020-07-20,24.66,26.5,24.27,25.66,184125,470198880,0
2020-07-21,25.42,25.63,24.6,24.98,125573,317611808,0
2020-07-22,24.91,25.89,24.91,25.11,124311,318309296,0
2020-07-23,24.81,25.31,23.88,24.59,108100,267141609,0
2020-07-24,24.36,24.63,22.82,22.84,104329,249053942,0
2020-07-27,22.96,23.25,22.6,23.23,62322,144647587,0
2020-07-28,23.44,23.76,23.11,23.42,53781,127498085,0
2020-07-29,23.37,24.31,23.09,24.21,81737,196997351,0
2020-07-30,24.03,24.14,23.61,23.62,71788,172793709,0
2020-07-31,23.64,24.53,23.6,23.94,83334,202452742,0
2020-08-03,24.08,25.09,23.95,25.06,112802,278361088,0
2020-08-04,25.1,27.55,24.57,26.14,194127,508560336,0
2020-08-05,25.66,27.04,25.26,26.72,151881,399003056,0
2020-08-06,26.37,27.03,26.09,26.62,108179,289472544,0
2020-08-07,26.18,26.44,25.02,25.27,99134,256057208,0
2020-08-10,24.87,25.36,24.29,24.85,61859,155280602,0
2020-08-11,24.75,25.18,23.66,23.8,67460,166398759,0
2020-08-12,23.8,24.25,23.37,24.18,56911,137048553,0
2020-08-13,24.2,24.42,23.76,23.82,40182,97355406,0
2020-08-14,23.82,24.09,23.58,24.09,33837,81603960,0
2020-08-17,24.25,25.85,24.16,25.55,104174,264535637,0
2020-08-18,25.46,25.57,24.96,25.14,60912,155136278,0
2020-08-19,24.89,25.36,24.38,24.52,51397,129023376,0
2020-08-20,24.5,24.58,23.95,24.02,34829,85126399,0
2020-08-21,24.12,24.44,23.78,24.21,31421,76682375,0
2020-08-24,24.28,24.42,23.79,24.1,25116,60970422,0
2020-08-25,24.1,24.5,23.86,24.07,33749,82583290,0
2020-08-26,23.77,24.04,22.47,22.53,73058,170329247,0
2020-08-27,22.26,22.56,22.04,22.37,33056,74527679,0
2020-08-28,22.16,22.34,21.38,22.25,61130,135649216,0
2020-08-31,22.19,22.72,22.13,22.32,56783,128845003,0
2020-09-01,22.16,22.52,21.84,22.51,47116,105618019,0
2020-09-02,22.62,22.62,22.07,22.26,37344,84177032,0
2020-09-03,22.06,22.46,22.06,22.06,29030,65154129,0
2020-09-04,21.76,21.91,21.57,21.81,28729,63252161,0
2020-09-07,21.83,21.97,21.27,21.3,29945,65546510,0
2020-09-08,21.35,21.53,20.97,21.47,28738,61851807,0
2020-09-09,21.25,21.29,20.71,20.71,37045,78487998,0
2020-09-10,20.92,21.05,20.11,20.18,27820,58136120,0
2020-09-11,20.23,20.52,20.03,20.5,24496,50279488,0
2020-09-14,20.5,21.23,20.5,21.14,38242,80872728,0
2020-09-15,21.01,21.29,20.77,20.92,22288,47281961,0
2020-09-16,20.95,21.04,20.52,20.71,19105,40184791,0
2020-09-17,20.67,21.09,20.51,20.78,21593,45314664,0
2020-09-18,20.79,21.61,20.73,21.44,65345,140286687,0
2020-09-21,21.71,21.74,21.05,21.13,44452,95728872,0
2020-09-22,20.81,21.34,20.64,20.75,38172,80842767,0
2020-09-23,20.82,20.96,20.54,20.6,26852,56156389,0
2020-09-24,20.4,20.53,20.06,20.1,26126,53592367,0
2020-09-25,20.16,20.32,20.02,20.28,23404,47809256,0
2020-09-28,20.16,20.38,20.03,20.03,17772,36346416,0
2020-09-29,20.16,20.24,19.96,19.96,20608,41953394,0
2020-09-30,19.97,20.12,19.61,19.61,25484,51110307,0
2020-10-09,19.93,20.12,19.79,20.05,21660,43861660,0
2020-10-12,20.49,21.01,20.37,20.92,39753,83637913,0
2020-10-13,20.77,20.86,20.58,20.76,23451,49107314,0
2020-10-14,20.87,20.88,20.42,20.48,21726,45221622,0
2020-10-15,20.68,20.93,20.46,20.53,21365,44705136,0
2020-10-16,20.53,20.62,20.31,20.54,15366,31811948,0
2020-10-19,20.95,20.97,20.48,20.53,22489,47121749,0
2020-10-20,20.53,20.53,20.18,20.39,18084,37228371,0
2020-10-21,20.44,20.45,20.09,20.24,16870,34485067,0
2020-10-22,20.26,20.39,20.09,20.3,14231,29174309,0
2020-10-23,20.14,20.36,19.86,19.86,18047,36725819,0
2020-10-26,20.0,20.0,19.44,19.55,19148,37978106,0
2020-10-27,19.65,19.65,19.46,19.54,11506,22771013,0
2020-10-28,19.54,19.7,19.28,19.68,15668,30846937,0
2020-10-29,19.46,19.62,19.25,19.51,16939,33290011,0
2020-10-30,19.56,19.71,18.56,18.59,25526,49349502,0
2020-11-02,18.62,18.72,17.63,17.76,34329,62782355,0
2020-11-03,17.76,18.54,17.76,18.48,26087,48284253,0
2020-11-04,18.48,18.56,18.06,18.22,15148,28115085,0
2020-11-05,18.36,18.61,18.31,18.46,15293,28592819,0
2020-11-06,18.53,18.82,18.23,18.44,22155,41561630,0
2020-11-09,18.46,19.51,18.46,19.19,34966,67489137,0
2020-11-10,19.26,19.4,18.93,19.03,23088,44781628,0
2020-11-11,18.87,19.55,18.86,19.32,26232,50789012,0
2020-11-12,19.09,19.46,18.95,19.31,27515,53478454,0
2020-11-13,19.1,19.19,18.56,18.78,23618,44948954,0
2020-11-16,18.57,19.05,18.57,18.89,13201,25248104,0
2020-11-17,18.87,19.11,18.65,18.78,12962,24669285,0
2020-11-18,18.73,19.18,18.73,19.02,21561,41469936,0
2020-11-19,18.8,19.42,18.76,19.18,30506,58710345,0
2020-11-20,18.88,19.04,18.81,18.88,23185,44372140,0
2020-11-23,18.89,19.78,18.84,19.48,58726,115094414,0
2020-11-24,19.24,19.47,19.06,19.1,30611,59627343,0
2020-11-25,19.19,19.39,18.9,18.9,25687,49824153,0
2020-11-26,18.84,18.95,18.59,18.62,22767,43149610,0
2020-11-27,18.57,18.87,18.47,18.84,19302,36442038,0
2020-11-30,18.87,19.82,18.87,19.29,76558,150634270,0
2020-12-01,19.07,19.96,18.87,19.77,85404,168258496,0
2020-12-02,19.76,20.83,19.61,20.61,148568,305802608,0
2020-12-03,20.26,20.55,19.89,20.46,90048,184052302,0
2020-12-04,20.14,22.53,19.94,21.27,154410,330389600,0
2020-12-07,20.98,21.65,20.79,20.85,97249,207779297,0
2020-12-08,20.76,20.93,20.1,20.14,76396,157774405,0
2020-12-09,20.26,20.62,19.64,19.71,68403,139888122,0
2020-12-10,19.7,20.27,19.56,20.23,56680,114492011,0
2020-12-11,20.26,21.94,20.06,20.81,111804,236380784,0
2020-12-14,20.86,21.12,20.06,20.33,70223,145231802,0
2020-12-15,20.16,20.86,19.92,20.74,68431,141885529,0
2020-12-16,20.66,21.5,20.36,21.31,130207,278782832,0
2020-12-17,21.13,21.61,20.75,21.45,110865,238847805,0
2020-12-18,21.18,21.36,20.41,20.5,86399,182522192,0
2020-12-21,20.44,20.78,20.15,20.66,68253,141655892,0
2020-12-22,20.36,20.56,18.76,18.84,108200,215166614,0
2020-12-23,18.64,19.04,18.35,18.42,64858,122139181,0
2020-12-24,18.27,18.56,17.56,17.61,61356,111693845,0
2020-12-25,17.5,18.1,17.5,17.73,40558,73318433,0
2020-12-28,17.74,17.95,16.88,16.97,46349,81409525,0
2020-12-29,17.05,17.47,16.98,17.32,37720,65668900,0
2020-12-30,17.24,17.53,17.04,17.45,33209,58335926,0
2020-12-31,17.45,18.27,17.44,18.15,57729,105348589,0
2021-01-04,18.16,18.26,17.86,18.04,41658,76211781,0
2021-01-05,18.06,18.16,17.69,18.02,34887,63385258,0
2021-01-06,17.95,18.05,17.29,17.32,45753,81402607,0
2021-01-07,17.32,17.45,15.76,16.21,77144,129153353,0
2021-01-08,16.19,16.52,15.77,16.29,40060,65831402,0
2021-01-11,16.26,16.36,15.4,15.4,49074,78778735,0
2021-01-12,15.4,16.12,15.37,15.86,50454,80652985,0
2021-01-13,16.46,17.1,16.32,16.56,81080,136896794,0
2021-01-14,16.14,16.43,15.57,15.81,54233,87411902,0
2021-01-15,15.76,16.14,15.68,15.92,30013,48427723,0
2021-01-18,15.91,16.1,15.81,16.06,33947,55181480,0
2021-01-19,16.05,16.21,15.85,15.95,34471,55973602,0
2021-01-20,15.96,16.31,15.89,16.12,34094,55686557,0
2021-01-21,16.12,16.28,15.84,16.13,39966,65175954,0
2021-01-22,16.08,16.11,15.59,15.65,34444,55129061,0
2021-01-25,15.76,15.91,15.41,15.44,32881,52242136,0
2021-01-26,15.34,15.6,15.17,15.19,22271,34635154,0
2021-01-27,15.21,15.41,15.17,15.27,17425,27007965,0
2021-01-28,15.4,15.57,15.28,15.34,33540,52639054,0
2021-01-29,15.36,15.54,14.49,14.71,35954,54443361,0
2021-02-01,14.54,14.84,14.24,14.76,33478,49457773,0
2021-02-02,14.69,14.91,14.57,14.81,21128,31663289,0
2021-02-03,14.76,14.85,14.41,14.48,21271,31562128,0
2021-02-04,14.49,14.62,13.88,14.37,32487,47292782,0
2021-02-05,14.34,14.44,13.91,13.91,20014,28889359,0
2021-02-08,13.91,13.98,13.57,13.57,25469,35540613,0
2021-02-09,13.65,14.27,13.51,14.11,32372,45874466,0
2021-02-10,14.2,14.21,13.94,13.94,18864,26920338,0
2021-02-18,14.13,14.59,14.13,14.44,28760,42015843,0
2021-02-19,14.41,15.12,14.35,15.12,36861,55596368,0
2021-02-22,15.36,15.87,15.02,15.25,55079,86721475,0
2021-02-23,15.14,15.53,15.06,15.11,30132,46683601,0
2021-02-24,14.98,15.49,14.98,15.3,31828,49447645,0
2021-02-25,15.47,15.83,15.24,15.33,40819,64178953,0
2021-02-26,14.92,15.35,14.79,15.14,29742,45802931,0
2021-03-01,15.27,15.34,14.98,15.23,24025,37096817,0
2021-03-02,15.23,15.42,15.07,15.1,24112,37260795,0
2021-03-03,15.1,15.36,15.04,15.33,27612,42831525,0
2021-03-04,15.29,15.41,15.08,15.12,20038,31004183,0
2021-03-05,15.13,15.49,15.07,15.34,32835,51142634,0
2021-03-08,15.53,15.61,15.12,15.21,26519,41370872,0
2021-03-09,15.16,15.32,14.46,14.6,29861,45031990,0
2021-03-10,14.74,14.84,14.43,14.46,20244,29988454,0
2021-03-11,14.56,14.91,14.29,14.89,23696,35127444,0
2021-03-12,14.86,14.96,14.56,14.75,19179,28756292,0
2021-03-15,14.78,14.86,14.58,14.66,14412,21552745,0
2021-03-16,14.72,15.28,14.69,15.07,27021,41114654,0
2021-03-17,15.16,15.76,14.98,15.45,45349,71028612,0
2021-03-18,15.38,15.42,15.16,15.25,28913,44812657,0
2021-03-19,15.11,15.3,15.07,15.23,16205,25034978,0
2021-03-22,15.14,15.44,15.07,15.3,22857,35435552,0
2021-03-23,15.31,15.38,15.08,15.31,23805,36834210,0
2021-03-24,15.27,15.68,15.11,15.36,34999,54927213,0
2021-03-25,15.24,15.68,15.24,15.48,29177,45929558,0
2021-03-26,15.37,16.21,15.33,15.74,52344,84627382,0
2021-03-29,15.71,15.97,15.47,15.69,35899,57020068,0
2021-03-30,15.58,15.64,15.09,15.14,28750,44617633,0
2021-03-31,14.97,15.13,14.81,15.0,18282,27780812,0
