datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,18.71,18.95,18.71,18.83,7676,14469400,0
2025-11-26 11:30:00,18.84,18.85,18.74,18.77,5066,9522247,0
2025-11-26 14:00:00,18.78,18.79,18.72,18.73,4443,8331804,0
2025-11-26 15:00:00,18.73,18.75,18.68,18.7,6417,12004997,0
2025-11-27 10:30:00,18.63,18.98,18.6,18.85,11867,22359405,0
2025-11-27 11:30:00,18.85,18.88,18.78,18.79,3664,6898360,0
2025-11-27 14:00:00,18.77,18.93,18.77,18.86,5650,10656373,0
2025-11-27 15:00:00,18.85,18.87,18.73,18.73,5491,10316309,0
2025-11-28 10:30:00,18.71,18.95,18.67,18.94,10889,20508020,0
2025-11-28 11:30:00,18.94,18.97,18.86,18.89,6610,12507185,0
2025-11-28 14:00:00,18.88,19.11,18.87,19.06,12488,23730053,0
2025-11-28 15:00:00,19.08,19.19,19.06,19.15,14928,28575277,0
2025-12-01 10:30:00,19.1,19.26,19.01,19.16,9869,18929486,0
2025-12-01 11:30:00,19.17,19.19,19.14,19.16,3602,6903105,0
2025-12-01 14:00:00,19.17,19.18,19.03,19.07,7623,14552764,0
2025-12-01 15:00:00,19.09,19.14,19.08,19.12,6106,11668244,0
2025-12-02 10:30:00,19.06,19.09,18.72,18.75,14491,27281719,0
2025-12-02 11:30:00,18.75,18.83,18.74,18.77,4729,8881069,0
2025-12-02 14:00:00,18.78,18.9,18.61,18.81,8457,15860419,0
2025-12-02 15:00:00,18.81,18.87,18.79,18.84,5012,9434030,0
2025-12-03 10:30:00,18.89,19.45,18.81,18.99,38583,73704581,0
2025-12-03 11:30:00,18.99,19.04,18.86,18.95,6427,12172648,0
2025-12-03 14:00:00,18.94,18.98,18.82,18.85,6789,12814178,0
2025-12-03 15:00:00,18.83,18.92,18.77,18.88,8038,15143135,0
2025-12-04 10:30:00,18.83,19.08,18.7,19.04,19984,37710606,0
2025-12-04 11:30:00,19.04,19.3,18.94,19.09,17579,33612413,0
2025-12-04 14:00:00,19.1,19.1,19.0,19.02,5683,10818752,0
2025-12-04 15:00:00,19.02,19.09,19.0,19.07,10762,20498947,0
2025-12-05 10:30:00,18.89,19.15,18.82,18.86,14999,28386552,0
2025-12-05 11:30:00,18.87,18.97,18.82,18.88,6521,12307299,0
2025-12-05 14:00:00,18.88,19.9,18.81,19.86,81435,159878311,0
2025-12-05 15:00:00,19.82,19.85,19.57,19.58,32521,64034334,0
2025-12-08 10:30:00,19.75,20.37,19.72,20.28,102996,207094175,0
2025-12-08 11:30:00,20.28,20.32,20.13,20.2,19321,39049178,0
2025-12-08 14:00:00,20.23,20.35,20.12,20.25,21755,44128702,0
2025-12-08 15:00:00,20.24,20.25,20.13,20.18,20865,42097163,0
2025-12-09 10:30:00,19.83,20.28,19.72,19.87,45454,90970781,0
2025-12-09 11:30:00,19.86,19.9,19.76,19.78,12045,23875595,0
2025-12-09 14:00:00,19.78,19.8,19.62,19.63,12221,24070307,0
2025-12-09 15:00:00,19.63,19.73,19.6,19.67,12223,24024412,0
2025-12-10 10:30:00,19.63,19.67,19.3,19.4,19835,38492250,0
2025-12-10 11:30:00,19.39,19.52,19.35,19.44,5418,10522989,0
2025-12-10 14:00:00,19.43,19.72,19.43,19.56,9034,17695633,0
2025-12-10 15:00:00,19.55,19.66,19.51,19.53,9517,18642357,0
2025-12-11 10:30:00,19.53,19.55,19.0,19.11,27068,51890759,0
2025-12-11 11:30:00,19.1,19.2,19.08,19.11,5814,11109312,0
2025-12-11 14:00:00,19.11,19.13,19.01,19.05,7004,13340802,0
2025-12-11 15:00:00,19.05,19.12,19.0,19.02,14388,27390297,0
2025-12-12 10:30:00,19.0,19.17,18.88,19.08,12799,24368225,0
2025-12-12 11:30:00,19.07,19.33,19.04,19.2,11424,21945401,0
2025-12-12 14:00:00,19.2,19.42,19.19,19.37,12469,24106728,0
2025-12-12 15:00:00,19.38,19.4,19.29,19.3,12482,24169563,0
2025-12-15 10:30:00,19.36,19.37,19.05,19.34,12859,24713473,0
2025-12-15 11:30:00,19.34,19.42,19.23,19.23,8864,17131932,0
2025-12-15 14:00:00,19.24,19.37,19.2,19.27,5552,10708230,0
2025-12-15 15:00:00,19.26,19.27,19.12,19.15,5227,10024252,0
2025-12-16 10:30:00,19.15,20.27,18.97,19.86,64553,126896938,0
2025-12-16 11:30:00,19.86,20.19,19.76,19.9,36122,72103709,0
2025-12-16 14:00:00,19.9,20.17,19.8,19.92,20056,40044915,0
2025-12-16 15:00:00,19.92,19.97,19.86,19.88,17931,35685736,0
2025-12-17 10:30:00,19.68,19.99,19.21,19.27,43992,85756243,0
2025-12-17 11:30:00,19.26,19.36,19.19,19.27,11733,22588931,0
2025-12-17 14:00:00,19.27,19.56,19.07,19.55,23836,45859932,0
2025-12-17 15:00:00,19.52,19.7,19.41,19.43,22331,43589665,0
2025-12-18 10:30:00,19.36,19.47,19.12,19.24,21200,40845655,0
2025-12-18 11:30:00,19.24,19.29,19.17,19.2,7258,13944519,0
2025-12-18 14:00:00,19.2,19.27,19.1,19.1,10489,20097472,0
2025-12-18 15:00:00,19.09,19.18,19.07,19.12,10580,20229640,0
2025-12-19 10:30:00,19.07,19.42,18.86,19.2,26256,50013143,0
2025-12-19 11:30:00,19.2,19.4,19.17,19.35,10269,19772818,0
2025-12-19 14:00:00,19.35,19.35,19.23,19.26,6652,12827130,0
2025-12-19 15:00:00,19.26,19.27,19.2,19.26,10302,19826169,0
2025-12-22 10:30:00,19.09,19.94,19.08,19.77,39270,76816304,0
2025-12-22 11:30:00,19.77,19.88,19.76,19.83,15131,29996865,0
2025-12-22 14:00:00,19.83,19.9,19.76,19.76,14794,29328098,0
2025-12-22 15:00:00,19.76,19.78,19.59,19.61,20016,39341538,0
2025-12-23 10:30:00,19.58,19.58,18.68,18.78,60099,114152242,0
2025-12-23 11:30:00,18.78,18.99,18.67,18.92,15391,28914984,0
2025-12-23 14:00:00,18.94,18.97,18.8,18.82,6619,12483851,0
2025-12-23 15:00:00,18.81,18.96,18.81,18.86,15466,29213749,0
2025-12-24 10:30:00,18.78,19.16,18.71,19.08,16738,31829270,0
2025-12-24 11:30:00,19.09,19.29,19.09,19.19,13734,26348534,0
2025-12-24 14:00:00,19.18,19.6,19.18,19.48,44326,86281689,0
2025-12-24 15:00:00,19.48,19.51,19.36,19.39,18771,36473680,0
2025-12-25 10:30:00,19.38,19.54,19.35,19.45,21671,42170871,0
2025-12-25 11:30:00,19.44,19.52,19.43,19.48,8305,16179275,0
2025-12-25 14:00:00,19.48,19.5,19.4,19.44,7598,14774614,0
2025-12-25 15:00:00,19.45,19.49,19.38,19.39,9208,17890626,0
2025-12-26 10:30:00,19.26,19.55,19.25,19.52,15969,31038407,0
2025-12-26 11:30:00,19.52,19.57,19.1,19.17,24795,48054958,0
2025-12-26 14:00:00,19.16,19.25,19.09,19.1,12037,23049934,0
2025-12-26 15:00:00,19.09,19.11,18.9,19.02,22722,43173107,0
2025-12-29 10:30:00,19.0,19.6,18.95,19.44,39600,76460000,0
2025-12-29 11:30:00,19.44,19.45,19.32,19.32,10300,19966168,0
2025-12-29 14:00:00,19.32,19.85,19.32,19.77,48961,96273658,0
2025-12-29 15:00:00,19.76,19.85,19.63,19.66,29721,58608845,0
2025-12-30 10:30:00,19.6,20.05,19.53,19.89,42928,84956387,0
2025-12-30 11:30:00,19.89,19.95,19.76,19.81,10631,21115339,0
2025-12-30 14:00:00,19.81,19.89,19.65,19.67,15652,30894148,0
2025-12-30 15:00:00,19.67,19.8,19.62,19.75,15459,30509448,0
2025-12-31 10:30:00,19.72,20.03,19.5,19.59,26982,53217897,0
2025-12-31 11:30:00,19.58,19.67,19.5,19.51,9366,18315702,0
2025-12-31 14:00:00,19.51,19.65,19.43,19.5,10394,20330528,0
2025-12-31 15:00:00,19.5,19.57,19.47,19.49,11305,22055520,0
2026-01-05 10:30:00,19.51,19.74,19.26,19.68,20445,39861331,0
2026-01-05 11:30:00,19.69,19.72,19.49,19.53,12488,24447129,0
2026-01-05 14:00:00,19.53,19.61,19.48,19.53,8042,15721424,0
2026-01-05 15:00:00,19.53,19.7,19.52,19.67,15342,30128583,0
2026-01-06 10:30:00,19.67,20.05,19.63,19.95,34024,67827166,0
2026-01-06 11:30:00,19.95,20.57,19.83,20.36,65754,133365613,0
2026-01-06 14:00:00,20.37,20.4,20.2,20.27,18773,38071135,0
2026-01-06 15:00:00,20.28,20.47,20.24,20.39,27030,55109587,0
2026-01-07 10:30:00,20.3,20.5,20.1,20.27,40968,83382821,0
2026-01-07 11:30:00,20.27,20.3,20.21,20.25,12308,24928674,0
2026-01-07 14:00:00,20.25,20.25,19.93,20.02,21828,43820505,0
2026-01-07 15:00:00,20.02,20.05,19.92,20.0,19794,39516366,0
2026-01-08 10:30:00,19.81,19.89,19.68,19.78,25900,51224283,0
2026-01-08 11:30:00,19.78,19.94,19.76,19.88,10690,21218993,0
2026-01-08 14:00:00,19.88,19.97,19.8,19.85,7840,15582248,0
2026-01-08 15:00:00,19.85,19.87,19.66,19.75,21656,42696874,0
2026-01-09 10:30:00,19.7,20.1,19.69,19.93,25525,50974543,0
2026-01-09 11:30:00,19.92,19.99,19.7,19.75,15387,30586469,0
2026-01-09 14:00:00,19.76,19.78,19.65,19.74,14162,27920229,0
2026-01-09 15:00:00,19.74,19.85,19.73,19.84,15090,29880516,0
