datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,27.11,27.34,23.01,23.36,1428715,3728595139,0
2020-02-29,21.0,30.21,18.87,23.14,2742781,6975237531,0
2020-03-31,23.56,28.44,20.46,21.45,2403831,6038007586,0
2020-04-30,21.25,24.22,19.29,21.31,1172216,2600416004,0
2020-05-31,21.11,23.99,20.34,20.62,979838,2176697941,0
2020-06-30,20.91,23.76,20.63,21.3,1014880,2217054646,0
2020-07-31,21.45,32.56,21.01,23.94,3432031,8970133700,0
2020-08-31,24.08,27.55,21.38,22.32,1491997,3732550434,0
2020-09-30,22.16,22.62,19.61,19.61,679706,1449983863,0
2020-10-31,19.93,21.01,18.56,18.59,321829,657316477,0
2020-11-30,18.62,19.82,17.63,19.29,583497,1120064965,0
2020-12-31,19.07,22.53,16.88,18.15,1873319,3806824690,0
2021-01-31,18.16,18.26,14.49,14.71,823349,1356266864,0
2021-02-28,14.54,15.87,13.51,15.14,458304,687647564,0
2021-03-31,15.27,16.21,14.29,15.0,626134,970327080,0
2021-04-30,15.35,17.49,14.36,14.53,1153942,1877506622,0
2021-05-31,14.5,16.22,13.75,15.48,845679,1278224838,0
2021-06-30,15.44,15.74,14.22,14.36,695330,1054524190,0
2021-07-31,14.41,14.54,12.54,12.85,386823,541965856,0
2021-08-31,12.8,14.26,12.71,13.53,673509,918204010,0
2021-09-30,13.59,15.06,12.26,12.46,939825,1330545854,0
2021-10-31,12.56,13.15,11.53,11.74,754831,952729606,0
2021-11-30,11.7,12.64,11.58,12.4,649763,809304401,0
2021-12-31,12.38,14.17,12.36,13.34,2146578,2903046997,0
2022-01-31,13.32,14.31,11.88,12.12,1377550,1868846959,0
2022-02-28,12.38,13.07,12.13,12.83,491852,632591646,0
2022-03-31,12.95,14.23,11.73,13.63,1508076,2005958731,0
2022-04-30,13.46,13.9,9.41,9.86,908711,1126133998,0
2022-05-31,9.8,10.02,9.12,9.88,783209,769043758,0
2022-06-30,9.89,11.65,9.75,10.39,1178301,1261688303,0
2022-07-31,10.34,10.45,9.58,10.22,564885,575372737,0
2022-08-31,10.16,10.77,9.5,10.09,947931,983080880,0
2022-09-30,10.05,10.44,8.45,8.48,761306,737725135,0
2022-10-31,8.57,9.75,8.18,8.84,601263,549785208,0
2022-11-30,8.84,9.72,8.81,9.5,603009,573589404,0
2022-12-31,9.51,10.06,8.76,8.91,496930,477409166,0
2023-01-31,8.85,10.95,8.8,10.01,930271,952771792,0
2023-02-28,10.06,12.35,9.86,11.72,1463210,1623789330,0
2023-03-31,11.6,12.73,11.16,11.7,1874854,2264806521,0
2023-04-30,11.72,12.47,11.28,12.25,1144126,1381927368,0
2023-05-31,11.95,12.25,10.04,10.36,936502,1033477343,0
2023-06-30,10.41,11.19,10.11,10.75,558548,602703567,0
2023-07-31,10.75,14.3,10.71,13.59,1870766,2341960122,0
2023-08-31,13.54,15.24,12.71,12.74,1952012,2730709047,0
2023-09-30,12.95,13.22,12.19,12.86,866750,1118689670,0
2023-10-31,12.83,13.14,11.94,12.18,907396,1147540601,0
2023-11-30,12.19,13.28,12.04,12.97,1073668,1360305622,0
2023-12-31,12.91,12.91,11.18,11.86,871840,1057729180,0
2024-01-31,11.88,13.76,9.87,10.62,2541067,2960051356,0
2024-02-29,10.37,11.13,8.2,10.71,1881086,1872352704,0
2024-03-31,10.79,11.12,9.68,10.05,1366612,1457722527,0
2024-04-30,10.12,10.85,9.27,10.72,994616,1024488289,0
2024-05-31,10.82,10.97,9.97,10.08,651419,693616953,0
2024-06-30,10.11,10.12,8.42,8.58,690421,633946350,0
2024-07-31,8.6,9.77,8.16,9.53,1004863,890982216,0
2024-08-31,9.57,9.83,8.76,9.58,1086187,1014856008,0
2024-09-30,9.48,13.14,9.13,13.14,2375449,2593705638,0
2024-10-31,14.46,14.46,11.87,12.56,2395739,3073405283,0
2024-11-30,12.5,13.8,11.57,12.12,1774062,2256726423,0
2024-12-31,12.14,13.12,11.78,11.82,1130229,1402535153,0
2025-01-31,11.79,12.38,10.52,11.61,981766,1133946312,0
2025-02-28,11.69,12.77,11.45,12.15,851946,1049152476,0
2025-03-31,12.16,14.19,11.84,13.56,2243974,2987548980,0
2025-04-30,13.5,13.77,10.3,11.79,2072077,2551338502,0
2025-05-31,11.91,13.71,11.85,13.01,1667210,2139898026,0
2025-06-30,13.24,24.5,13.13,22.33,10352632,20743413417,0
2025-07-31,22.59,28.69,19.26,22.82,9383863,22461884946,0
2025-08-31,22.89,27.15,21.21,23.36,5589876,13210525134,0
2025-09-30,23.29,23.39,20.1,21.41,2587005,5593601980,0
2025-10-31,21.02,22.5,20.05,20.82,1672204,3531901112,0
2025-11-30,20.82,20.82,18.23,19.15,939319,1833568372,0
2025-12-31,19.1,20.37,18.61,19.49,1753363,3416453959,0
2026-01-31,19.51,20.57,19.26,19.84,433046,866264489,0
