datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,27.11,27.34,25.87,26.33,248602,669287872,0
2020-01-10,25.77,26.66,25.04,25.51,424216,1108407799,0
2020-01-17,25.33,27.06,24.63,25.15,518162,1362435563,0
2020-01-24,24.98,25.48,23.01,23.36,237735,588463905,0
2020-02-07,21.0,21.71,18.87,21.37,341514,713706741,0
2020-02-14,21.37,22.89,21.14,22.02,361303,802812284,0
2020-02-21,22.46,30.21,22.07,28.89,1105799,2999220890,0
2020-02-28,27.71,28.08,23.01,23.14,934165,2459497616,0
2020-03-06,23.56,28.44,23.44,26.88,812827,2155140112,0
2020-03-13,25.82,27.69,24.47,26.3,702815,1846425243,0
2020-03-20,25.71,25.95,21.29,22.42,470221,1101611862,0
2020-03-27,21.59,23.37,20.46,22.24,331215,744820175,0
2020-04-03,21.81,22.29,21.06,21.83,232737,511123371,0
2020-04-10,22.31,24.22,22.02,22.04,328209,757655467,0
2020-04-17,21.82,22.11,21.06,21.64,217614,476433150,0
2020-04-24,21.64,22.59,20.68,20.83,246915,545502484,0
2020-05-01,21.31,22.36,19.29,21.31,233494,499711726,0
2020-05-08,21.11,23.09,21.01,22.41,218280,489268408,0
2020-05-15,22.25,23.99,21.7,22.33,321241,735669102,0
2020-05-22,21.86,22.62,20.51,20.54,284038,622122299,0
2020-05-29,20.34,21.37,20.34,20.62,156279,329638132,0
2020-06-05,20.91,22.19,20.78,21.16,252219,545119554,0
2020-06-12,21.29,21.84,20.64,21.35,202615,435614500,0
2020-06-19,21.44,22.49,20.97,22.19,249209,547679093,0
2020-06-26,22.01,23.76,21.75,21.86,205199,464324577,0
2020-07-03,21.68,24.71,20.63,24.28,486922,1106090061,0
2020-07-10,24.71,27.56,24.06,25.93,904240,2321997408,0
2020-07-17,25.57,32.56,25.11,25.54,1147107,3299658144,0
2020-07-24,24.66,26.5,22.82,22.84,646438,1622315535,0
2020-07-31,22.96,24.53,22.6,23.94,352962,844389474,0
2020-08-07,24.08,27.55,23.95,25.27,666123,1731454232,0
2020-08-14,24.87,25.36,23.37,24.09,260249,637687280,0
2020-08-21,24.25,25.85,23.78,24.21,282733,710504065,0
2020-08-28,24.28,24.5,21.38,22.25,226109,524059854,0
2020-09-04,22.19,22.72,21.57,21.81,199002,447046344,0
2020-09-11,21.83,21.97,20.03,20.5,148044,314301923,0
2020-09-18,20.5,21.61,20.5,21.44,166573,353940831,0
2020-09-25,21.71,21.74,20.02,20.28,159006,334129651,0
2020-10-02,20.16,20.38,19.61,19.61,63864,129410117,0
2020-10-09,19.93,20.12,19.79,20.05,21660,43861660,0
2020-10-16,20.49,21.01,20.31,20.54,121661,254483933,0
2020-10-23,20.95,20.97,19.86,19.86,89721,184735315,0
2020-10-30,20.0,20.0,18.56,18.59,88787,174235569,0
2020-11-06,18.62,18.82,17.63,18.44,113012,209336142,0
2020-11-13,18.46,19.55,18.46,18.78,135419,261487185,0
2020-11-20,18.57,19.42,18.57,18.88,101415,194469810,0
2020-11-27,18.89,19.78,18.47,18.84,157093,304137558,0
2020-12-04,18.87,22.53,18.87,21.27,554988,1139137276,0
2020-12-11,20.98,21.94,19.56,20.81,410532,856314619,0
2020-12-18,20.86,21.61,19.92,20.5,466125,987270160,0
2020-12-25,20.44,20.78,17.5,17.73,343225,663973965,0
2021-01-01,17.74,18.27,16.88,18.15,175007,310762940,0
2021-01-08,18.16,18.26,15.76,16.29,239502,415984401,0
2021-01-15,16.26,17.1,15.37,15.92,264854,432168139,0
2021-01-22,15.91,16.31,15.59,15.65,176922,287146654,0
