datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,41.93,42.75,41.86,42.75,7083,39704886,0
2020-01-03,42.84,43.03,42.2,42.66,5569,31369725,0
2020-01-06,42.54,42.9,42.03,42.2,6089,34069270,0
2020-01-07,42.37,44.18,42.18,43.92,11157,63600337,0
2020-01-08,43.1,44.45,43.1,43.27,7607,43753697,0
2020-01-09,43.3,45.03,43.3,44.82,7176,41916010,0
2020-01-10,44.72,47.16,44.7,46.2,7512,45537285,0
2020-01-13,45.71,48.6,45.47,47.61,10532,65686511,0
2020-01-14,47.53,48.5,46.1,47.3,8225,50418430,0
2020-01-15,46.95,46.95,45.86,46.04,6082,36816617,0
2020-01-16,46.25,46.53,45.59,46.0,4569,27575123,0
2020-01-17,46.1,46.52,45.36,45.37,3995,24004746,0
2020-01-20,45.28,46.51,44.71,44.8,5333,31532677,0
2020-01-21,45.25,45.26,44.35,45.03,5002,29389295,0
2020-01-22,44.7,44.84,43.22,43.6,7817,45177913,0
2020-01-23,43.2,45.14,42.72,43.55,11140,64505601,0
2020-02-03,38.77,42.17,38.77,40.56,7021,37630850,0
2020-02-04,41.01,42.25,40.45,41.65,5055,27861968,0
2020-02-05,42.36,42.36,40.75,41.04,7067,38758204,0
2020-02-06,40.95,41.22,39.2,41.14,9800,52429913,0
2020-02-07,41.19,44.0,40.54,43.32,9670,54386863,0
2020-02-10,43.84,43.84,41.95,42.26,6338,35541843,0
2020-02-11,42.26,42.46,41.9,41.92,4289,23910425,0
2020-02-12,41.97,42.17,41.15,41.69,4407,24250095,0
2020-02-13,41.36,41.92,40.7,41.24,5236,28689489,0
2020-02-14,40.95,41.49,40.76,40.85,3598,19594734,0
2020-02-17,41.07,42.75,40.88,42.5,8921,49365297,0
2020-02-18,42.87,42.87,41.45,42.0,5722,31698630,0
2020-02-19,41.68,42.17,41.6,41.7,5380,29815960,0
2020-02-20,41.73,42.08,41.3,41.95,6236,34388746,0
2020-02-21,41.95,42.79,41.54,42.45,7779,43381723,0
