datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,18.85,19.03,18.57,18.83,9704,18339040,0
2025-11-26 11:30:00,18.83,18.86,18.69,18.76,2620,4916906,0
2025-11-26 14:00:00,18.81,18.81,18.7,18.75,3362,6300653,0
2025-11-26 15:00:00,18.76,18.77,18.64,18.68,3004,5612613,0
2025-11-27 10:30:00,18.64,18.99,18.56,18.82,7609,14312523,0
2025-11-27 11:30:00,18.85,18.98,18.78,18.81,4616,8715177,0
2025-11-27 14:00:00,18.82,18.86,18.75,18.86,2687,5054253,0
2025-11-27 15:00:00,18.86,18.89,18.79,18.8,4136,7790481,0
2025-11-28 10:30:00,18.77,19.2,18.68,18.99,15415,29359155,0
2025-11-28 11:30:00,19.0,19.08,18.97,19.04,2841,5404211,0
2025-11-28 14:00:00,19.04,19.06,19.0,19.02,2144,4078955,0
2025-11-28 15:00:00,19.0,19.11,18.96,19.08,4772,9088099,0
2025-12-01 10:30:00,19.08,19.2,18.9,19.01,9449,18018211,0
2025-12-01 11:30:00,19.02,19.09,18.93,18.94,3433,6520677,0
2025-12-01 14:00:00,18.93,18.97,18.77,18.88,8961,16891611,0
2025-12-01 15:00:00,18.87,18.96,18.79,18.95,4347,8206984,0
2025-12-02 10:30:00,18.91,18.95,18.51,18.54,10085,18789468,0
2025-12-02 11:30:00,18.53,18.66,18.52,18.56,3031,5629592,0
2025-12-02 14:00:00,18.55,18.65,18.54,18.57,3010,5591961,0
2025-12-02 15:00:00,18.57,18.65,18.57,18.59,3309,6157478,0
2025-12-03 10:30:00,18.58,18.67,18.22,18.24,7921,14560007,0
2025-12-03 11:30:00,18.24,18.43,18.22,18.32,3649,6686888,0
2025-12-03 14:00:00,18.32,18.43,18.28,18.28,1886,3453789,0
2025-12-03 15:00:00,18.28,18.41,18.25,18.41,3087,5659283,0
2025-12-04 10:30:00,18.32,18.41,17.79,17.93,8456,15231231,0
2025-12-04 11:30:00,17.92,18.09,17.92,18.01,2562,4608842,0
2025-12-04 14:00:00,17.99,18.02,17.82,17.86,2701,4837547,0
2025-12-04 15:00:00,17.84,17.92,17.8,17.8,4870,8691026,0
2025-12-05 10:30:00,17.86,17.92,17.58,17.85,10400,18400162,0
2025-12-05 11:30:00,17.85,18.0,17.76,17.85,2418,4319714,0
2025-12-05 14:00:00,17.85,18.0,17.84,17.95,3043,5450656,0
2025-12-05 15:00:00,17.96,18.08,17.94,18.02,4970,8946146,0
2025-12-08 10:30:00,18.02,18.18,17.81,17.93,7525,13505194,0
2025-12-08 11:30:00,17.93,18.0,17.88,17.88,2913,5226025,0
2025-12-08 14:00:00,17.89,18.02,17.77,17.9,6979,12474998,0
2025-12-08 15:00:00,17.9,17.97,17.88,17.93,4666,8365228,0
2025-12-09 10:30:00,17.98,18.14,17.9,18.12,7029,12683020,0
2025-12-09 11:30:00,18.13,18.28,18.13,18.2,5262,9588192,0
2025-12-09 14:00:00,18.2,18.25,18.14,18.22,2669,4853358,0
2025-12-09 15:00:00,18.22,18.24,18.02,18.03,2849,5151777,0
2025-12-10 10:30:00,17.97,18.17,17.94,18.08,4836,8732156,0
2025-12-10 11:30:00,18.07,18.07,17.81,17.84,4067,7287277,0
2025-12-10 14:00:00,17.83,17.95,17.82,17.82,2550,4558440,0
2025-12-10 15:00:00,17.82,17.94,17.82,17.87,3439,6144955,0
2025-12-11 10:30:00,17.83,17.92,17.58,17.67,8062,14254857,0
2025-12-11 11:30:00,17.64,17.64,17.55,17.58,2212,3891009,0
2025-12-11 14:00:00,17.56,17.61,17.43,17.44,3742,6547120,0
2025-12-11 15:00:00,17.44,17.47,17.36,17.4,3699,6442890,0
2025-12-12 10:30:00,17.42,17.54,17.28,17.45,4854,8440263,0
2025-12-12 11:30:00,17.46,17.46,17.29,17.3,2306,4003288,0
2025-12-12 14:00:00,17.32,17.33,17.15,17.24,5051,8700971,0
2025-12-12 15:00:00,17.26,17.26,17.04,17.09,5392,9232408,0
2025-12-15 10:30:00,17.0,17.18,16.82,17.13,7059,11991500,0
2025-12-15 11:30:00,17.13,17.14,17.01,17.06,2800,4777311,0
2025-12-15 14:00:00,17.06,17.14,17.04,17.08,2388,4082809,0
2025-12-15 15:00:00,17.1,17.19,17.0,17.09,3146,5384028,0
2025-12-16 10:30:00,17.0,17.08,16.86,16.97,4657,7891672,0
2025-12-16 11:30:00,16.97,17.05,16.9,16.98,1394,2366374,0
2025-12-16 14:00:00,16.97,17.03,16.89,16.92,1556,2636142,0
2025-12-16 15:00:00,16.9,16.94,16.86,16.92,2245,3793726,0
2025-12-17 10:30:00,16.85,16.99,16.68,16.85,4611,7754059,0
2025-12-17 11:30:00,16.84,16.89,16.76,16.87,1641,2761689,0
2025-12-17 14:00:00,16.87,16.91,16.75,16.91,2271,3820690,0
2025-12-17 15:00:00,16.9,17.05,16.89,16.99,3508,5951560,0
2025-12-18 10:30:00,17.04,17.97,17.04,17.81,16282,28597631,0
2025-12-18 11:30:00,17.81,17.89,17.66,17.81,4891,8701183,0
2025-12-18 14:00:00,17.81,17.81,17.61,17.63,2236,3964674,0
2025-12-18 15:00:00,17.63,17.76,17.61,17.61,5324,9410098,0
2025-12-19 10:30:00,17.65,17.81,17.41,17.58,7989,14008209,0
2025-12-19 11:30:00,17.6,17.77,17.47,17.77,2861,5049575,0
2025-12-19 14:00:00,17.77,17.95,17.74,17.8,4034,7188991,0
2025-12-19 15:00:00,17.79,17.83,17.75,17.77,2158,3837997,0
2025-12-22 10:30:00,17.89,17.89,17.59,17.67,5870,10380022,0
2025-12-22 11:30:00,17.67,17.72,17.57,17.58,3515,6199000,0
2025-12-22 14:00:00,17.58,17.69,17.57,17.62,2593,4567851,0
2025-12-22 15:00:00,17.59,17.63,17.55,17.55,2600,4570016,0
2025-12-23 10:30:00,17.53,17.72,17.43,17.5,4137,7250624,0
2025-12-23 11:30:00,17.5,17.64,17.48,17.61,2123,3730537,0
2025-12-23 14:00:00,17.61,17.71,17.6,17.61,1862,3288250,0
2025-12-23 15:00:00,17.63,17.68,17.57,17.68,1883,3320370,0
2025-12-24 10:30:00,17.64,17.68,17.5,17.55,2869,5041014,0
2025-12-24 11:30:00,17.52,17.59,17.52,17.56,2665,4679412,0
2025-12-24 14:00:00,17.56,17.58,17.51,17.52,2157,3782641,0
2025-12-24 15:00:00,17.52,17.55,17.49,17.52,2515,4405796,0
2025-12-25 10:30:00,17.58,17.62,17.45,17.48,3602,6311760,0
2025-12-25 11:30:00,17.48,17.55,17.45,17.47,2063,3609477,0
2025-12-25 14:00:00,17.48,17.58,17.46,17.56,1940,3395094,0
2025-12-25 15:00:00,17.56,17.58,17.46,17.55,4507,7900263,0
2025-12-26 10:30:00,17.51,17.64,17.48,17.53,4147,7278212,0
2025-12-26 11:30:00,17.54,17.59,17.35,17.42,2378,4159669,0
2025-12-26 14:00:00,17.41,17.55,17.4,17.54,1900,3319971,0
2025-12-26 15:00:00,17.51,17.54,17.4,17.45,1907,3325260,0
2025-12-29 10:30:00,17.54,17.55,17.34,17.42,2711,4723131,0
2025-12-29 11:30:00,17.42,17.45,17.3,17.37,2323,4038234,0
2025-12-29 14:00:00,17.35,17.43,17.33,17.35,3191,5538551,0
2025-12-29 15:00:00,17.35,17.42,17.34,17.4,2940,5107789,0
2025-12-30 10:30:00,17.43,17.47,17.26,17.47,3197,5552462,0
2025-12-30 11:30:00,17.46,17.52,17.43,17.47,1527,2668956,0
2025-12-30 14:00:00,17.47,17.47,17.32,17.32,1478,2569510,0
