datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,41.93,48.6,41.86,43.55,114888,675058123,0
2020-02-29,38.77,44.0,38.77,38.93,123372,676186836,0
2020-03-31,38.65,41.93,36.25,38.66,119533,622885910,0
2020-04-30,38.4,44.18,36.94,43.63,76920,407228688,0
2020-05-31,43.61,52.11,43.03,45.4,147813,922457159,0
2020-06-30,45.15,48.35,42.67,45.51,120513,700488877,0
2020-07-31,45.5,55.4,44.3,47.15,194054,1219621036,0
2020-08-31,47.27,49.05,42.42,43.52,87816,520143599,0
2020-09-30,43.24,43.24,36.68,37.54,148630,768968134,0
2020-10-31,37.58,39.4,31.68,32.08,65085,311556965,0
2020-11-30,32.09,37.53,29.8,32.48,259068,1147446363,0
2020-12-31,32.42,41.95,32.4,39.66,337277,1703191109,0
2021-01-31,39.65,39.66,31.32,32.31,168190,765589991,0
2021-02-28,32.31,34.68,30.07,32.48,82746,357541416,0
2021-03-31,31.99,40.77,31.99,40.24,110067,531861883,0
2021-04-30,40.4,40.66,33.82,34.63,74595,368320738,0
2021-05-31,34.64,35.21,31.75,32.71,43408,191907395,0
2021-06-30,32.5,34.6,29.73,30.13,87227,319449256,0
2021-07-31,29.91,30.63,24.65,26.52,84599,265930344,0
2021-08-31,26.91,28.62,23.18,23.32,96210,278021778,0
2021-09-30,22.97,25.1,21.83,22.75,60271,160375885,0
2021-10-31,23.13,24.95,22.65,24.24,77781,210767756,0
2021-11-30,24.01,25.94,22.58,22.77,173778,474792641,0
2021-12-31,22.7,26.85,22.17,26.45,253659,690126449,0
2022-01-31,26.44,33.57,21.11,21.47,555435,1693261045,0
2022-02-28,21.75,22.63,19.94,20.95,175529,436164563,0
2022-03-31,20.93,21.43,16.7,17.87,197515,432230232,0
2022-04-30,17.87,18.94,11.95,13.96,178505,335560636,0
2022-05-31,14.03,15.43,13.55,15.29,162779,286353035,0
2022-06-30,15.31,17.54,14.29,16.0,372887,697986417,0
2022-07-31,15.94,16.81,15.28,15.71,182951,338475436,0
2022-08-31,15.71,22.84,14.23,19.92,599418,1259094122,0
2022-09-30,19.19,21.34,14.31,14.31,857999,1726879062,0
2022-10-31,14.22,15.61,12.81,15.4,280358,476377446,0
2022-11-30,15.4,18.01,15.15,16.88,322382,608295291,0
2022-12-31,16.93,17.9,16.1,17.43,244091,476827309,0
2023-01-31,17.55,18.2,16.6,17.94,246903,488954726,0
2023-02-28,18.14,19.44,17.71,17.99,312966,653303273,0
2023-03-31,18.04,22.3,17.95,20.23,576921,1271106551,0
2023-04-30,20.23,25.62,18.27,21.51,1663891,4046782284,0
2023-05-31,21.46,23.99,17.0,18.67,1397185,3298031129,0
2023-06-30,18.65,21.35,17.65,18.71,790042,1743597670,0
2023-07-31,18.7,19.01,17.72,18.21,425829,856883094,0
2023-08-31,18.16,18.87,16.68,18.23,717324,1386302975,0
2023-09-30,18.34,18.38,15.54,16.46,517969,945168691,0
2023-10-31,16.37,16.6,14.56,16.05,262584,455721551,0
2023-11-30,16.1,18.81,16.02,17.75,589088,1133339630,0
2023-12-31,17.8,20.23,17.04,18.03,630125,1292086020,0
2024-01-31,18.09,18.93,14.43,14.54,426066,787706599,0
2024-02-29,14.45,15.88,10.49,15.03,704419,1061806256,0
2024-03-31,15.12,18.23,14.87,17.61,698715,1258869276,0
2024-04-30,17.35,17.83,13.41,16.65,647960,1119391149,0
2024-05-31,16.8,17.82,16.07,16.98,329667,614320372,0
2024-06-30,17.22,17.31,15.0,16.1,336173,578346732,0
2024-07-31,16.1,16.87,14.4,15.42,260149,427980189,0
2024-08-31,15.38,15.62,14.07,14.62,235853,368870723,0
2024-09-30,14.61,17.39,13.6,17.28,198644,311846781,0
2024-10-31,19.09,19.09,15.82,16.53,423566,751772394,0
2024-11-30,16.55,21.56,15.93,21.56,854606,1612065015,0
2024-12-31,20.72,23.9,18.04,18.15,1721696,3688968471,0
2025-01-31,18.15,21.1,17.38,19.0,702925,1428365815,0
2025-02-28,19.15,21.2,18.04,18.1,557645,1151590002,0
2025-03-31,18.15,18.9,17.77,18.52,484229,926234038,0
2025-04-30,18.47,19.28,15.28,16.76,445221,812885881,0
2025-05-31,16.88,17.54,16.39,17.13,295102,524986136,0
2025-06-30,17.01,21.45,17.0,19.06,1059301,2029383880,0
2025-07-31,19.02,19.28,18.28,18.74,578521,1084622256,0
2025-08-31,18.9,19.6,18.0,18.32,637559,1213611686,0
2025-09-30,18.33,18.58,17.0,17.67,346729,623538074,0
2025-10-31,17.67,18.46,17.34,18.27,241605,435007010,0
2025-11-30,18.36,19.2,17.9,19.08,364055,682651334,0
2025-12-31,19.08,19.2,16.68,17.42,361017,641721280,0
2026-01-31,17.42,18.11,17.37,18.05,79297,139923764,0
