datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,41.93,43.03,41.86,42.66,12652,71074611,0
2020-01-10,42.54,47.16,42.03,46.2,39541,228876599,0
2020-01-17,45.71,48.6,45.36,45.37,33403,204501427,0
2020-01-24,45.28,46.51,42.72,43.55,29292,170605486,0
2020-02-07,38.77,44.0,38.77,43.32,38613,211067798,0
2020-02-14,43.84,43.84,40.7,40.85,23868,131986586,0
2020-02-21,41.07,42.87,40.88,42.45,34038,188650356,0
2020-02-28,42.22,42.86,38.79,38.93,26853,144482096,0
2020-03-06,38.65,40.2,38.65,39.28,24181,126934699,0
2020-03-13,38.78,40.36,36.25,40.18,46685,240028078,0
2020-03-20,41.2,41.93,37.62,39.37,33325,176554058,0
2020-03-27,38.82,39.75,37.87,39.2,12030,62247212,0
2020-04-03,39.1,39.36,37.62,39.09,8144,42088542,0
2020-04-10,40.0,40.11,39.07,39.28,6718,35502280,0
2020-04-17,38.52,39.53,37.19,37.45,10885,54931677,0
2020-04-24,37.77,39.23,36.94,37.59,20090,101805500,0
2020-05-01,38.21,44.18,37.42,43.63,34395,190022552,0
2020-05-08,43.61,48.5,43.03,48.5,32507,198348547,0
2020-05-15,49.03,51.5,45.95,48.38,48375,305490426,0
2020-05-22,48.95,52.11,46.72,47.94,44415,282910851,0
2020-05-29,48.15,48.2,44.2,45.4,22516,135707335,0
2020-06-05,45.15,48.35,43.15,43.82,28563,166363391,0
2020-06-12,43.82,45.9,42.67,43.95,25341,145112667,0
2020-06-19,43.95,47.96,43.49,45.4,36915,217601873,0
2020-06-26,45.4,46.39,43.4,43.65,15750,90979502,0
2020-07-03,43.66,47.28,42.73,45.07,30950,180850560,0
2020-07-10,45.07,49.73,45.07,47.99,63349,392710316,0
2020-07-17,47.99,55.4,45.5,49.26,57365,369325227,0
2020-07-24,49.47,53.97,47.32,47.88,34051,220477697,0
2020-07-31,47.87,49.05,46.25,47.15,22283,136688680,0
2020-08-07,47.27,49.05,43.86,45.34,26314,159182949,0
2020-08-14,45.28,47.09,44.08,46.82,16404,97375838,0
2020-08-21,46.84,47.74,45.64,46.61,14571,88391899,0
2020-08-28,47.15,47.57,42.42,43.44,26808,154130997,0
2020-09-04,43.45,44.14,39.89,40.95,41555,225951293,0
2020-09-11,41.01,41.14,37.49,39.25,58892,303382156,0
2020-09-18,39.35,39.55,38.0,39.22,21951,111921362,0
2020-09-25,39.22,39.22,36.68,37.86,20123,100208130,0
2020-10-02,37.81,38.45,36.87,37.54,9828,48567109,0
2020-10-09,37.58,38.74,37.58,38.62,4378,22090190,0
2020-10-16,38.62,39.4,37.0,37.66,17282,87002823,0
2020-10-23,37.86,37.87,35.3,35.3,21306,102616588,0
2020-10-30,35.31,35.45,31.68,32.08,22119,99847364,0
2020-11-06,32.09,32.2,29.8,31.0,64791,267751250,0
2020-11-13,31.15,34.14,30.75,33.81,60349,261424638,0
2020-11-20,33.49,37.05,32.19,35.94,75125,344512773,0
2020-11-27,35.76,37.53,33.64,34.03,48214,226665461,0
2020-12-04,34.0,41.31,32.4,40.49,122105,594273151,0
2020-12-11,39.9,41.95,37.66,38.27,69385,361582901,0
2020-12-18,38.78,41.05,37.29,40.51,54556,279675823,0
2020-12-25,40.48,41.15,35.21,35.85,49984,247675586,0
2021-01-01,35.89,40.64,35.65,39.66,51836,267075889,0
2021-01-08,39.65,39.66,33.4,33.8,70606,334309537,0
2021-01-15,33.83,34.35,31.32,33.95,39510,171928978,0
2021-01-22,33.7,35.2,32.65,33.32,28497,129536839,0
2021-01-29,33.07,34.84,31.74,32.31,29577,129814637,0
2021-02-05,32.31,33.35,30.07,30.28,24879,105687374,0
2021-02-12,30.42,32.57,30.1,32.22,10018,42176525,0
2021-02-19,32.28,32.83,30.92,32.65,12135,51927498,0
2021-02-26,32.71,34.68,31.8,32.48,35714,157750019,0
2021-03-05,31.99,34.86,31.99,34.5,22122,98169799,0
2021-03-12,34.33,37.92,33.4,36.87,26399,124641915,0
2021-03-19,37.32,38.95,35.66,36.51,17562,86363303,0
2021-03-26,36.14,40.2,35.74,37.65,29931,149909064,0
2021-04-02,37.66,40.77,37.15,38.95,20873,107731582,0
2021-04-09,38.86,40.66,37.57,39.57,11217,57814826,0
2021-04-16,40.32,40.48,37.05,39.71,13856,70534724,0
2021-04-23,39.43,40.57,36.5,36.65,15318,78389641,0
2021-04-30,36.65,37.21,33.82,34.63,27384,126627767,0
2021-05-07,34.64,35.21,32.99,33.03,6969,31220994,0
2021-05-14,33.02,34.5,31.75,34.2,16045,70518192,0
2021-05-21,34.07,34.67,32.82,33.15,8347,37298087,0
2021-05-28,32.86,33.54,32.55,32.95,10535,46264169,0
2021-06-04,33.05,33.4,32.24,32.61,12566,54890879,0
2021-06-11,32.6,34.6,30.45,31.73,20520,84067956,0
2021-06-18,31.9,32.05,30.36,30.65,13879,47261047,0
2021-06-25,30.35,31.54,29.73,30.28,27910,93348881,0
2021-07-02,30.3,31.35,29.45,29.74,20265,67471596,0
2021-07-09,29.75,30.01,28.07,29.14,25049,80271633,0
2021-07-16,29.14,29.76,28.54,29.02,15149,48715271,0
2021-07-23,29.13,30.63,28.45,28.46,16102,52035868,0
2021-07-30,28.55,28.64,24.65,26.52,21898,63922422,0
2021-08-06,26.91,28.34,24.95,27.25,27631,83278335,0
2021-08-13,27.87,28.62,26.65,27.47,16058,49276949,0
2021-08-20,27.01,28.13,23.34,24.33,28855,80812302,0
2021-08-27,24.3,25.17,23.95,24.32,18297,50341386,0
2021-09-03,24.32,24.62,22.97,24.34,13357,35924062,0
2021-09-10,24.15,25.1,23.99,24.28,13806,38066153,0
2021-09-17,24.3,24.88,21.95,22.29,19567,51854705,0
2021-09-24,22.12,23.58,21.96,23.25,11653,30284913,0
2021-10-01,23.17,23.24,21.83,22.75,7257,18558858,0
2021-10-08,23.13,23.4,22.65,23.38,3034,7944261,0
2021-10-15,23.38,24.95,23.11,24.41,31117,85001941,0
2021-10-22,24.22,24.95,23.55,24.14,23885,65269673,0
2021-10-29,24.12,24.24,22.95,24.24,19745,52551881,0
2021-11-05,24.01,24.81,23.34,23.83,32283,87325426,0
2021-11-12,23.75,24.6,23.08,23.95,37667,101507827,0
2021-11-19,23.88,25.94,23.56,24.75,60434,169090782,0
2021-11-26,24.65,24.74,23.4,23.51,32047,87502884,0
2021-12-03,23.27,23.33,22.17,22.7,30286,77928566,0
2021-12-10,22.71,23.43,22.46,23.39,22996,59942835,0
2021-12-17,23.34,24.58,23.13,23.97,61979,167573391,0
2021-12-24,23.97,25.15,23.14,23.18,57233,155447475,0
2021-12-31,23.1,26.85,22.98,26.45,92512,258599904,0
2022-01-07,26.44,33.57,25.99,28.47,218464,717614028,0
2022-01-14,28.45,29.31,26.13,26.51,147676,447740652,0
2022-01-21,26.51,27.6,24.75,24.99,116254,339748375,0
2022-01-28,24.85,25.13,21.11,21.47,73041,188157990,0
2022-02-11,21.75,22.55,21.23,21.75,56841,142157210,0
2022-02-18,21.58,22.2,20.97,21.93,37094,92458530,0
2022-02-25,21.9,22.63,19.94,21.26,70812,176058078,0
2022-03-04,21.15,21.43,20.25,20.63,39183,93610203,0
2022-03-11,20.51,20.63,17.45,18.92,60690,135684265,0
2022-03-18,18.91,18.92,16.7,18.35,40560,85048457,0
2022-03-25,18.32,18.65,17.93,18.2,34091,72708834,0
2022-04-01,18.2,18.43,17.36,18.05,43644,91382673,0
2022-04-08,17.94,18.94,16.85,16.97,27854,58232844,0
2022-04-15,16.9,16.96,15.6,15.84,45725,88676085,0
2022-04-22,15.84,16.73,15.28,15.88,35301,67286093,0
2022-04-29,15.66,15.66,11.95,13.96,59754,100652159,0
2022-05-06,14.03,14.31,13.55,13.91,21785,37035921,0
2022-05-13,13.91,14.75,13.87,14.4,30653,53286253,0
2022-05-20,14.4,14.75,13.86,14.65,35523,62101215,0
2022-05-27,14.95,15.42,13.89,14.94,51310,91094223,0
2022-06-03,14.96,15.59,14.8,15.43,36842,67444580,0
2022-06-10,15.63,15.88,14.55,15.23,51256,94270620,0
2022-06-17,15.3,17.54,14.29,16.34,123527,236221997,0
2022-06-24,16.34,16.55,15.16,15.63,120524,224395845,0
2022-07-01,15.63,16.81,15.63,16.33,81541,151006051,0
2022-07-08,16.33,16.8,15.76,15.99,57307,106892717,0
2022-07-15,16.02,16.07,15.33,15.38,35312,64076516,0
2022-07-22,15.28,16.55,15.28,15.93,40485,75008870,0
2022-07-29,15.99,16.3,15.65,15.71,32552,59980080,0
2022-08-05,15.71,15.81,14.23,15.39,38205,66574783,0
2022-08-12,15.53,16.16,15.25,15.98,33521,60898598,0
2022-08-19,16.01,16.14,15.61,15.71,29091,53257875,0
2022-08-26,15.66,19.4,15.49,19.4,166852,339146496,0
2022-09-02,19.07,22.84,17.95,20.28,523593,1171810258,0
2022-09-09,19.85,19.93,16.96,17.04,342094,704375950,0
2022-09-16,17.1,17.14,15.66,15.66,123098,233677327,0
2022-09-23,15.66,15.95,14.96,15.21,109364,196465633,0
2022-09-30,15.1,15.58,14.31,14.31,91599,159766264,0
2022-10-14,14.22,14.42,13.25,14.3,71509,116588290,0
2022-10-21,14.05,15.35,12.81,15.13,94639,163028286,0
2022-10-28,15.22,15.25,14.05,14.33,81103,138218675,0
2022-11-04,14.37,16.27,14.28,15.92,107735,194002888,0
2022-11-11,15.89,16.9,15.78,16.22,70383,131951704,0
2022-11-18,16.44,18.01,16.13,17.1,75673,147449364,0
2022-11-25,17.09,17.14,16.0,16.43,67775,128661580,0
2022-12-02,16.2,17.35,15.81,17.16,53480,103085688,0
2022-12-09,17.2,17.5,16.68,17.17,57429,112835391,0
2022-12-16,17.17,17.9,16.68,17.4,68591,136308119,0
2022-12-23,17.4,17.48,16.43,16.94,49987,96619351,0
2022-12-30,16.92,17.53,16.1,17.43,48527,92750710,0
2023-01-06,17.55,18.19,17.18,17.32,64451,129736269,0
2023-01-13,17.38,18.0,16.64,17.48,61226,119958843,0
2023-01-20,17.38,17.39,16.6,17.1,69794,135384882,0
2023-02-03,17.3,18.96,17.04,18.07,104177,212630960,0
2023-02-10,18.05,19.21,17.85,18.89,81898,171616198,0
2023-02-17,18.84,19.44,18.06,18.1,81614,172775626,0
2023-02-24,18.11,18.95,17.94,18.24,71658,148971951,0
2023-03-03,18.25,19.0,17.71,18.93,72664,151347574,0
2023-03-10,18.88,19.35,18.25,18.72,78992,168802748,0
2023-03-17,18.79,19.25,18.14,18.85,96804,206007568,0
2023-03-24,18.92,20.09,18.37,20.05,107589,234069295,0
2023-03-31,20.08,22.3,19.16,20.23,245923,562062636,0
2023-04-07,20.23,20.73,18.27,19.21,161252,356601325,0
2023-04-14,19.15,25.62,18.42,22.44,641860,1610100702,0
2023-04-21,22.94,23.26,21.13,21.45,449722,1113556791,0
2023-04-28,21.23,22.47,19.28,21.51,411057,966523466,0
2023-05-05,21.46,23.67,21.43,23.5,246472,622502522,0
2023-05-12,22.86,23.99,21.17,22.23,463445,1157276353,0
2023-05-19,22.25,23.94,19.06,19.26,373130,877619426,0
2023-05-26,19.3,19.35,17.0,17.56,190396,386997236,0
2023-06-02,17.6,20.35,17.26,19.86,249922,532966688,0
2023-06-09,19.77,21.12,19.75,20.49,246289,564695220,0
2023-06-16,20.7,21.35,20.0,20.64,185247,416846693,0
2023-06-23,20.66,20.98,19.06,19.09,84577,184684480,0
2023-06-30,19.1,19.5,17.65,18.71,147749,298040181,0
2023-07-07,18.7,18.87,17.83,18.28,120549,242403969,0
2023-07-14,18.31,19.01,18.08,18.85,104671,210891897,0
2023-07-21,18.92,18.99,18.3,18.48,88067,178698527,0
2023-07-28,18.44,18.98,17.81,17.88,90342,181221669,0
2023-08-04,17.92,18.32,17.63,17.99,92825,182076142,0
2023-08-11,17.76,18.87,17.37,17.93,170444,336405379,0
2023-08-18,17.77,18.12,16.68,16.87,189237,358539358,0
2023-08-25,16.87,17.79,16.77,17.15,156619,296690026,0
2023-09-01,18.06,18.45,17.23,18.1,154402,303525919,0
2023-09-08,18.08,18.25,16.25,16.32,184929,348337153,0
2023-09-15,16.33,16.54,15.54,15.86,149576,265476735,0
2023-09-22,15.9,16.34,15.61,16.34,97575,172941965,0
2023-09-29,16.32,16.54,16.03,16.46,61886,111146021,0
2023-10-13,16.37,16.6,15.95,16.05,70816,126493469,0
2023-10-20,16.1,16.14,14.9,14.99,69711,119013167,0
2023-10-27,14.86,15.71,14.56,15.66,71223,120117787,0
2023-11-03,15.65,16.87,15.58,16.61,141274,254149048,0
2023-11-10,16.62,17.83,16.62,17.31,155046,295323068,0
2023-11-17,17.35,18.51,17.05,18.21,131192,255314626,0
2023-11-24,18.06,18.81,17.65,18.07,139304,275798408,0
2023-12-01,18.07,18.59,17.55,18.37,95904,188176258,0
2023-12-08,18.4,19.35,18.05,18.59,143568,293461417,0
2023-12-15,18.55,20.23,18.5,19.9,176174,375566416,0
2023-12-22,19.92,20.21,17.99,18.06,147763,308789381,0
2023-12-29,18.2,18.65,17.04,18.03,139822,268944156,0
2024-01-05,18.09,18.93,17.91,18.1,85994,172869198,0
2024-01-12,17.89,18.36,17.27,17.31,86437,168238307,0
2024-01-19,17.21,17.48,16.26,16.68,81584,151358663,0
2024-01-26,16.6,16.79,14.6,16.38,114810,198133557,0
2024-02-02,16.41,16.43,12.91,13.34,114359,185848150,0
2024-02-09,12.99,13.0,10.49,12.55,239595,320570104,0
2024-02-23,12.32,15.19,12.32,15.15,257974,400661917,0
2024-03-01,14.98,16.17,14.21,15.76,188661,318336793,0
2024-03-08,15.47,16.4,15.22,15.7,157320,273755032,0
2024-03-15,15.72,16.84,15.39,16.15,101796,181145817,0
2024-03-22,16.17,18.23,16.04,17.92,169902,320841615,0
2024-03-29,17.71,17.85,15.39,17.61,230768,416622978,0
2024-04-05,17.35,17.83,15.93,16.32,218835,401136019,0
2024-04-12,16.15,16.33,14.64,14.81,143628,244805026,0
2024-04-19,14.87,15.15,13.41,14.78,150795,240819003,0
2024-04-26,14.53,15.3,14.53,15.22,71119,118241678,0
2024-05-03,15.65,16.97,15.63,16.65,63583,114389423,0
2024-05-10,16.8,17.24,16.55,16.84,79668,147584152,0
2024-05-17,16.67,17.44,16.35,16.88,72661,135921786,0
2024-05-24,17.13,17.82,16.44,16.58,98049,185222746,0
2024-05-31,16.63,17.11,16.07,16.98,79289,145591688,0
2024-06-07,17.22,17.31,15.15,15.78,106912,188854546,0
