datetime,open,high,low,close,volume,turnover,open_interest
2020-02-06,16.68,21.43,16.68,21.43,9238,78770580,0
2020-02-07,24.27,24.27,24.27,24.27,2603,24507743,0
2020-02-10,27.41,27.41,27.41,27.41,2439,25262908,0
2020-02-11,30.86,30.86,30.86,30.86,2729,31101513,0
2020-02-12,34.65,34.65,34.65,34.65,9874,123771593,0
2020-02-13,38.83,38.83,38.83,38.83,9374,129255880,0
2020-02-14,43.42,43.42,43.42,43.42,16871,255894626,0
2020-02-17,43.19,48.47,40.53,48.47,354988,5521970176,0
2020-02-18,54.02,54.02,52.05,54.02,160419,2938579712,0
2020-02-19,53.47,54.67,50.77,52.81,209361,3780453984,0
2020-02-20,54.15,57.5,52.88,53.91,211999,3917616944,0
2020-02-21,54.11,55.51,52.51,54.5,168871,3092958080,0
2020-02-24,52.48,53.61,51.04,51.04,140598,2504705072,0
2020-02-25,49.51,52.94,49.08,52.8,107704,1896451600,0
2020-02-26,51.84,52.38,48.85,49.95,89718,1557886608,0
2020-02-27,49.85,52.58,49.51,51.49,74426,1308535856,0
2020-02-28,48.85,51.73,48.85,50.13,71502,1234377328,0
2020-03-02,51.34,54.77,49.08,53.21,91414,1616057024,0
2020-03-03,53.18,55.58,52.11,52.39,83581,1525865376,0
2020-03-04,51.66,51.68,49.52,50.79,55622,964825856,0
2020-03-05,51.18,53.97,50.68,53.92,78455,1397859760,0
2020-03-06,52.84,53.17,51.27,51.51,54076,965742928,0
2020-03-09,49.85,51.35,46.22,46.85,82525,1385320736,0
2020-03-10,46.95,48.91,46.95,48.28,52790,871680992,0
2020-03-11,48.37,48.38,46.02,46.22,47846,776829264,0
2020-03-12,44.85,48.14,44.19,47.56,58130,930441232,0
2020-03-13,44.9,47.32,44.75,46.02,30893,492430208,0
2020-03-16,45.52,47.71,44.85,44.93,33925,544487568,0
2020-03-17,46.19,46.52,44.19,46.01,32368,512762736,0
2020-03-18,46.22,47.05,44.26,44.28,32607,516779456,0
2020-03-19,44.01,44.72,41.36,43.07,44072,662222688,0
