datetime,open,high,low,close,volume,turnover,open_interest
2020-02-29,16.68,57.5,16.68,50.13,1642714,28422100203,0
2020-03-31,51.34,55.58,38.2,44.51,1009721,16630326245,0
2020-04-30,44.02,47.98,40.73,42.95,503407,7781976219,0
2020-05-31,42.62,54.57,42.18,53.65,523954,8877429760,0
2020-06-30,54.07,54.11,46.45,47.67,397039,6616046678,0
2020-07-31,47.7,54.11,42.1,44.6,626434,10161446330,0
2020-08-31,44.92,51.78,44.32,47.41,371405,5973568998,0
2020-09-30,47.41,51.32,43.72,44.46,262764,4154105384,0
2020-10-31,45.25,63.26,44.69,60.28,385384,6854328585,0
2020-11-30,61.15,64.43,54.31,56.43,388083,7659599768,0
2020-12-31,56.34,65.09,54.77,62.53,377220,7450319744,0
2021-01-31,62.76,80.7,61.1,66.62,497950,11337475488,0
2021-02-28,65.76,74.63,56.44,57.11,386854,8501498544,0
2021-03-31,57.9,60.51,49.52,53.67,390431,7051807251,0
2021-04-30,53.67,60.75,50.57,59.39,299398,5514382238,0
2021-05-31,59.39,63.72,51.45,62.61,355295,6909429019,0
2021-06-30,62.53,64.59,54.77,62.1,329446,6397747449,0
2021-07-31,62.1,71.38,54.37,56.4,440842,9288798702,0
2021-08-31,56.44,58.51,52.06,53.55,497701,9076744749,0
2021-09-30,52.95,54.27,45.82,49.2,323971,5397166979,0
2021-10-31,49.2,53.3,46.46,47.32,266620,4384306886,0
2021-11-30,46.92,50.78,44.38,47.29,352555,5604733504,0
2021-12-31,47.12,52.54,45.83,50.55,336203,5544903843,0
2022-01-31,50.1,51.78,45.09,46.51,175441,2854052685,0
2022-02-28,46.79,47.3,43.26,44.23,103245,1541430515,0
2022-03-31,44.12,44.59,35.76,37.61,151675,2035214141,0
2022-04-30,37.3,42.76,36.25,42.58,114907,1524936105,0
2022-05-31,42.58,44.54,40.56,44.18,115989,1654675584,0
2022-06-30,44.09,47.42,41.96,46.56,140405,2057640631,0
2022-07-31,46.89,48.67,44.26,44.41,97164,1487067002,0
2022-08-31,44.88,48.18,42.09,45.35,147837,2192872528,0
2022-09-30,45.35,47.27,42.18,42.42,130568,1927938969,0
2022-10-31,42.42,42.96,35.23,35.49,116517,1505641265,0
2022-11-30,35.54,43.71,34.84,41.08,219479,2921920502,0
2022-12-31,41.59,45.07,41.22,43.34,131504,1878536508,0
2023-01-31,43.34,47.21,42.19,46.06,93180,1381683068,0
2023-02-28,45.9,52.43,44.42,49.88,144503,2291479470,0
2023-03-31,50.05,53.9,46.15,48.24,179058,2895665653,0
2023-04-30,48.25,49.43,44.0,44.99,148390,2254915197,0
2023-05-31,45.04,48.42,44.16,46.05,126471,1917377926,0
2023-06-30,45.89,48.8,43.32,44.08,250982,2780183939,0
2023-07-31,43.8,47.88,42.21,46.76,186779,1805300709,0
2023-08-31,46.8,50.53,45.53,48.98,336756,3492204722,0
2023-09-30,48.27,50.31,46.54,47.85,209010,2189707478,0
2023-10-31,47.85,50.05,45.03,48.85,146934,1509593280,0
2023-11-30,49.14,49.14,43.47,44.92,257201,2552864831,0
2023-12-31,44.92,45.12,40.85,43.88,173502,1625704392,0
2024-01-31,43.95,44.12,40.0,42.53,238352,2195684423,0
2024-02-29,42.33,47.47,42.12,47.0,268800,2648207951,0
2024-03-31,46.76,48.48,46.07,47.62,216794,2221988394,0
2024-04-30,47.76,56.31,47.0,55.63,325355,3576118644,0
2024-05-31,56.27,61.58,55.14,56.38,336298,4207199323,0
2024-06-30,56.38,59.59,52.79,53.37,441350,3793021978,0
2024-07-31,52.99,53.59,45.51,48.37,480783,3503542288,0
2024-08-31,48.37,49.56,44.86,46.69,432217,2946500551,0
2024-09-30,46.15,58.12,41.86,57.76,581337,3987571709,0
2024-10-31,63.68,63.68,48.86,50.31,836826,6445625138,0
2024-11-30,50.19,54.56,47.53,49.11,590614,4354272725,0
2024-12-31,49.0,52.54,48.26,48.46,463517,3365721241,0
2025-01-31,48.31,49.33,45.77,49.16,345676,2387882388,0
2025-02-28,49.23,53.49,48.29,51.84,468856,3478992670,0
2025-03-31,51.85,54.1,49.4,49.72,357624,2670447826,0
2025-04-30,49.89,50.57,44.65,49.16,471434,3317846114,0
2025-05-31,49.2,51.18,48.64,48.86,319950,2309547692,0
2025-06-30,49.0,51.22,47.0,48.25,576086,3028339177,0
2025-07-31,48.25,48.88,46.68,47.16,844893,4023808907,0
2025-08-31,47.04,49.9,46.7,47.14,1124619,5391160662,0
2025-09-30,47.1,47.29,43.74,44.66,951369,4364492318,0
2025-10-31,44.67,45.86,43.15,43.67,558848,2477129209,0
2025-11-30,43.68,44.62,42.53,42.85,643462,2800243531,0
2025-12-31,42.85,43.78,40.8,40.83,661497,2799984878,0
2026-01-31,40.85,41.59,40.85,41.55,135109,557669029,0
