datetime,open,high,low,close,volume,turnover,open_interest
2020-02-07,16.68,24.27,16.68,24.27,11841,103278323,0
2020-02-14,27.41,43.42,27.41,43.42,41287,565286520,0
2020-02-21,43.19,57.5,40.53,54.5,1105638,19251578896,0
2020-02-28,52.48,53.61,48.85,50.13,483948,8501956464,0
2020-03-06,51.34,55.58,49.08,51.51,363148,6470350944,0
2020-03-13,49.85,51.35,44.19,46.02,272184,4456702432,0
2020-03-20,45.52,47.71,41.36,43.76,169560,2638732320,0
2020-03-27,42.23,46.85,38.2,44.46,172778,2578919568,0
2020-04-03,43.58,45.42,41.61,43.03,78465,1197851580,0
2020-04-10,44.0,47.38,43.23,45.98,98124,1536421158,0
2020-04-17,45.19,47.98,42.91,43.25,123242,1926539808,0
2020-04-24,43.29,47.01,40.73,46.18,118222,1816638590,0
2020-05-01,44.85,45.92,41.96,42.95,117405,1790146064,0
2020-05-08,42.62,45.72,42.18,45.08,75891,1170760976,0
2020-05-15,45.52,50.45,45.25,48.22,166390,2768763632,0
2020-05-22,47.52,53.38,47.12,50.89,154025,2659810128,0
2020-05-29,49.95,54.57,48.52,53.65,127648,2278095024,0
2020-06-05,54.07,54.11,50.35,51.74,110905,1921247322,0
2020-06-12,51.87,52.02,48.01,48.74,67926,1137362664,0
2020-06-19,48.45,50.36,47.78,49.22,103409,1700871108,0
2020-06-26,49.44,49.65,47.91,48.35,70925,1159449120,0
2020-07-03,48.04,49.7,46.45,49.17,116210,1876522528,0
2020-07-10,49.67,54.11,48.78,49.9,209488,3562408016,0
2020-07-17,49.83,51.01,44.36,44.63,155971,2557820992,0
2020-07-24,45.19,47.15,43.02,43.09,106460,1638096477,0
2020-07-31,43.1,45.05,42.1,44.6,82179,1223714781,0
2020-08-07,44.92,47.65,44.32,46.45,104670,1625954836,0
2020-08-14,46.41,48.49,45.79,46.55,77375,1231710861,0
2020-08-21,46.34,51.78,46.12,49.59,120225,1995759122,0
2020-08-28,49.78,50.11,47.12,48.11,58098,942184152,0
2020-09-04,47.95,51.32,46.32,49.08,77024,1270625091,0
2020-09-11,49.12,50.71,43.79,44.44,65236,1029241925,0
2020-09-18,44.52,45.64,43.72,44.92,47708,721861846,0
2020-09-25,45.05,48.55,44.75,44.98,59605,943438567,0
2020-10-02,45.05,45.48,44.27,44.46,24228,366897982,0
2020-10-09,45.25,45.44,44.69,44.85,10163,154960922,0
2020-10-16,45.12,51.18,45.12,49.78,97295,1596919105,0
2020-10-23,50.78,54.52,48.85,51.28,111796,1944979134,0
2020-10-30,50.82,63.26,49.9,60.28,166130,3157469424,0
2020-11-06,61.15,64.42,60.58,61.98,119541,2445040144,0
2020-11-13,62.16,64.43,57.69,60.17,103041,2062948644,0
2020-11-20,60.27,61.36,55.37,58.44,94004,1811710048,0
2020-11-27,58.43,58.94,54.31,55.54,54631,1027906116,0
2020-12-04,56.09,57.39,54.35,57.15,77934,1449773428,0
2020-12-11,57.41,59.63,56.23,56.23,77331,1487542376,0
2020-12-18,56.35,62.59,55.84,60.57,80048,1589706580,0
2020-12-25,60.47,65.09,58.87,63.73,94696,1923837376,0
2021-01-01,63.76,64.81,60.76,62.53,64077,1311454800,0
2021-01-08,62.76,76.09,61.1,74.96,126789,2831774000,0
2021-01-15,74.91,80.7,67.09,69.09,146658,3516141248,0
2021-01-22,68.09,72.92,65.09,72.59,120022,2685080864,0
2021-01-29,71.75,73.61,63.05,66.62,104481,2304479376,0
2021-02-05,65.76,73.04,64.12,69.32,110306,2468864208,0
2021-02-12,69.92,74.63,67.09,72.52,89475,2082716160,0
2021-02-19,73.08,74.37,64.96,66.89,70105,1571045568,0
2021-02-26,66.26,67.53,56.44,57.11,116968,2378872608,0
2021-03-05,57.9,60.51,54.21,55.71,118821,2259160800,0
2021-03-12,55.84,56.44,50.07,54.23,95585,1706888612,0
2021-03-19,53.97,54.34,50.55,52.06,64203,1118718590,0
2021-03-26,52.11,54.37,49.52,52.42,56876,987533563,0
2021-04-02,52.42,55.96,50.95,55.47,77729,1393582843,0
2021-04-09,55.48,57.1,53.99,54.99,43081,794635427,0
2021-04-16,54.78,55.27,50.57,53.43,56663,992902835,0
2021-04-23,53.05,56.19,52.48,55.37,56338,1028270629,0
2021-04-30,55.46,60.75,52.28,59.39,120533,2284496190,0
2021-05-07,59.39,63.72,59.39,60.37,62248,1267650528,0
2021-05-14,60.67,61.06,51.45,54.81,122810,2270070448,0
2021-05-21,54.44,61.59,53.77,59.04,88065,1707101698,0
2021-05-28,58.98,63.65,58.25,62.4,71152,1439161267,0
2021-06-04,62.58,64.59,59.1,59.22,70407,1415852106,0
2021-06-11,59.22,63.51,59.22,59.88,70500,1408823864,0
2021-06-18,59.76,61.09,55.27,55.56,69010,1298783281,0
2021-06-25,55.54,59.08,54.77,58.99,71785,1342725932,0
2021-07-02,59.0,67.87,58.16,65.87,111235,2262044208,0
2021-07-09,65.72,70.97,65.09,70.08,118222,2612190192,0
2021-07-16,70.95,71.38,65.75,65.89,83777,1863697104,0
2021-07-23,65.42,67.95,62.1,63.32,73035,1550880510,0
2021-07-30,63.19,63.43,54.37,56.4,113337,2156994032,0
2021-08-06,56.44,58.51,52.97,54.24,148478,2748873616,0
2021-08-13,53.48,57.39,53.38,54.11,97517,1778413132,0
2021-08-20,54.18,56.65,52.74,53.89,118142,2117315425,0
2021-08-27,53.89,57.66,53.75,56.02,96947,1784344752,0
2021-09-03,55.61,55.94,51.78,52.16,81470,1425297171,0
2021-09-10,52.11,54.27,51.78,52.84,66864,1168899032,0
2021-09-17,52.64,52.8,46.28,48.06,93800,1530163772,0
2021-09-24,47.38,49.07,45.82,48.63,41950,665443616,0
2021-10-01,48.63,51.08,47.78,49.2,76504,1255161212,0
2021-10-08,49.2,50.76,49.2,50.67,17686,293872624,0
2021-10-15,50.66,51.95,48.0,48.86,53435,880143286,0
2021-10-22,48.45,53.3,47.12,52.92,96046,1599899055,0
2021-10-29,52.58,52.76,46.46,47.32,99453,1610391921,0
2021-11-05,46.92,48.38,46.49,47.32,67286,1061082245,0
2021-11-12,47.44,48.08,44.38,46.79,98120,1514290303,0
2021-11-19,46.71,49.97,46.45,48.48,92540,1495175020,0
2021-11-26,48.45,50.78,47.55,48.81,73138,1193237717,0
2021-12-03,47.95,48.47,45.83,46.42,46799,735109661,0
2021-12-10,46.55,52.54,46.42,51.05,111415,1839845627,0
2021-12-17,50.64,51.47,48.8,49.75,63137,1044206947,0
2021-12-24,49.66,50.45,47.45,48.62,52174,845850489,0
2021-12-31,48.58,52.44,48.41,50.55,84149,1420839338,0
2022-01-07,50.1,51.78,49.36,50.6,45265,754775767,0
2022-01-14,50.68,51.27,48.08,48.88,45727,752821123,0
2022-01-21,48.65,49.74,47.53,49.08,46023,743734384,0
2022-01-28,48.45,49.19,45.09,46.51,38426,602721411,0
2022-02-11,46.79,47.3,43.34,44.78,44764,673893637,0
2022-02-18,44.78,44.78,43.35,44.43,24970,369324872,0
2022-02-25,44.42,45.29,43.62,43.96,27688,412673002,0
2022-03-04,44.06,44.59,42.32,42.66,25042,365433025,0
2022-03-11,42.33,42.65,38.51,40.51,40725,555403973,0
2022-03-18,40.79,40.79,35.76,39.36,51898,685274823,0
2022-03-25,39.41,39.64,37.39,37.52,21204,278527525,0
2022-04-01,37.19,38.62,36.18,38.23,23859,304067222,0
2022-04-08,38.08,39.08,37.8,38.03,10820,141505040,0
2022-04-15,37.87,40.03,37.04,39.77,31490,414733749,0
2022-04-22,39.48,40.24,37.47,38.49,23046,306191715,0
2022-04-29,37.73,42.76,36.25,42.58,44321,594552178,0
2022-05-06,42.58,43.4,41.29,42.21,13670,194795628,0
2022-05-13,41.96,43.96,40.56,43.22,36362,521598207,0
2022-05-20,43.42,43.62,41.83,42.59,21591,307175684,0
2022-05-27,42.38,43.52,41.36,42.95,28494,400859390,0
2022-06-03,42.96,45.25,42.96,44.34,26856,392270524,0
2022-06-10,44.33,45.14,42.62,43.0,40754,587543886,0
2022-06-17,42.76,44.63,41.96,44.09,30795,440384329,0
2022-06-24,44.47,45.92,43.76,45.91,32659,482261073,0
2022-07-01,46.18,47.6,45.95,47.43,34587,530823942,0
2022-07-08,47.26,48.67,46.42,47.19,29243,457286757,0
2022-07-15,47.28,47.68,45.69,45.79,22890,349271733,0
2022-07-22,45.59,46.98,45.26,45.88,16443,249077808,0
2022-07-29,45.88,46.07,44.26,44.41,19214,286034256,0
2022-08-05,44.88,44.88,42.93,43.8,22485,324320703,0
2022-08-12,43.66,44.07,42.42,43.26,22452,322058293,0
2022-08-19,43.41,47.84,42.09,47.08,50419,755783648,0
2022-08-26,47.08,48.18,44.42,44.99,37147,562718754,0
2022-09-02,45.2,46.87,43.99,45.25,25075,374694903,0
