datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,20.98,22.61,20.98,22.3,84291,208212571,0
2020-01-03,22.26,23.18,22.25,22.77,97667,248374796,0
2020-01-06,22.42,23.8,22.0,23.31,90481,234749750,0
2020-01-07,23.12,24.55,22.8,24.32,121148,322116032,0
2020-01-08,23.8,24.19,23.32,23.4,81841,216143205,0
2020-01-09,23.8,23.89,22.93,23.71,66122,172732398,0
2020-01-10,23.58,23.66,23.07,23.37,40910,106512059,0
2020-01-13,23.39,24.03,23.25,23.95,59048,155684009,0
2020-01-14,24.18,24.36,23.3,23.3,50711,134406273,0
2020-01-15,23.25,23.82,23.13,23.31,36707,95974344,0
2020-01-16,23.31,23.63,22.81,23.37,39799,103320211,0
2020-01-17,23.42,23.6,22.86,23.0,32433,83753185,0
2020-01-20,23.68,24.85,23.5,24.4,97405,261821264,0
2020-01-21,23.74,23.89,22.85,22.92,76858,199924299,0
2020-01-22,22.8,23.71,22.3,23.63,47632,123247297,0
2020-01-23,23.56,26.26,23.23,26.26,184253,524531952,0
2020-02-03,26.6,29.16,26.4,27.15,260439,803249456,0
2020-02-04,25.49,30.06,25.49,29.65,241593,747221040,0
2020-02-05,28.31,32.18,28.31,30.9,229326,751157904,0
2020-02-06,30.1,32.82,29.73,31.16,190742,650489568,0
2020-02-07,30.31,31.86,28.82,30.1,165542,547247072,0
2020-02-10,30.1,31.08,29.39,30.3,118465,389071376,0
2020-02-11,30.4,30.4,28.4,28.65,92239,292709856,0
2020-02-12,28.69,29.68,28.65,29.15,76765,244371964,0
2020-02-13,29.1,30.3,27.46,29.98,113491,358088160,0
2020-02-14,29.96,30.14,28.81,29.07,86687,277595216,0
2020-02-17,29.3,30.1,29.05,29.92,68693,222743999,0
2020-02-18,30.0,32.79,29.61,31.68,102734,351990800,0
2020-02-19,31.72,31.74,29.7,29.7,80780,269709664,0
2020-02-20,29.7,29.9,28.46,29.29,69359,220735981,0
2020-02-21,29.59,31.49,29.33,30.69,85048,283796400,0
2020-02-24,30.65,31.64,30.19,30.88,86763,292755984,0
2020-02-25,29.9,30.32,28.5,29.89,81440,263403420,0
2020-02-26,29.45,31.88,29.33,31.16,112850,377825328,0
2020-02-27,31.9,34.55,29.82,34.55,170161,607845920,0
2020-02-28,33.31,36.85,31.8,31.96,176474,658107360,0
2020-03-02,32.11,33.59,30.02,32.53,116925,404121520,0
2020-03-03,32.72,34.44,32.13,33.91,111477,402245152,0
2020-03-04,33.39,34.61,32.5,33.41,76734,278653104,0
2020-03-05,33.31,33.8,32.18,32.47,74372,263680692,0
2020-03-06,31.8,32.08,31.18,31.21,55834,190783200,0
2020-03-09,30.3,30.3,27.82,27.82,84797,265950205,0
2020-03-10,27.3,28.73,25.8,28.69,79006,238043639,0
2020-03-11,28.69,28.99,27.82,28.2,48792,151486352,0
2020-03-12,28.13,28.65,27.35,27.9,33235,101810518,0
2020-03-13,26.29,27.42,25.83,26.82,39976,117067933,0
2020-03-16,27.17,27.8,25.4,25.65,42490,125215007,0
2020-03-17,26.21,26.47,23.9,25.65,39455,110364023,0
2020-03-18,25.89,26.24,24.7,24.77,38102,107881213,0
2020-03-19,24.88,26.13,24.48,25.97,43735,122668763,0
2020-03-20,26.1,26.6,25.8,26.15,29574,85375124,0
2020-03-23,25.31,26.06,24.69,25.13,24704,69345084,0
2020-03-24,25.8,25.9,24.6,25.47,24232,67900887,0
2020-03-25,25.91,27.23,25.7,26.86,41840,122033627,0
2020-03-26,26.62,27.44,26.35,26.85,31197,92513451,0
2020-03-27,27.03,27.05,26.05,26.41,24528,71572535,0
2020-03-30,25.8,25.99,25.1,25.6,20218,57047376,0
2020-03-31,25.39,26.22,24.98,25.91,26008,73620412,0
2020-04-01,25.87,26.77,25.7,26.11,24495,71249424,0
2020-04-02,25.88,26.95,25.8,26.95,21699,62847674,0
2020-04-03,26.96,26.96,25.91,26.07,20979,60890788,0
2020-04-07,26.31,26.81,26.31,26.64,22556,66066507,0
2020-04-08,26.7,27.4,26.5,27.25,33490,99979437,0
