datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,20.98,26.26,20.98,26.26,1207306,3191503645,0
2020-02-29,26.6,36.85,25.49,31.96,2609591,8610116468,0
2020-03-31,32.11,34.61,23.9,25.91,1107231,3519379817,0
2020-04-30,25.87,34.8,25.5,30.43,1043255,3428755890,0
2020-05-31,30.23,38.32,29.9,36.46,1040472,3852611993,0
2020-06-30,36.77,53.06,35.53,53.06,1487649,6856777224,0
2020-07-31,53.39,62.3,48.95,50.13,1668641,9603703352,0
2020-08-31,51.0,51.1,41.7,45.38,1126689,5410027591,0
2020-09-30,45.48,45.5,35.51,36.85,822407,3485329121,0
2020-10-31,37.25,41.91,36.85,37.37,617374,2564868851,0
2020-11-30,37.32,37.45,29.18,30.07,641993,2232435796,0
2020-12-31,30.21,32.95,26.34,29.22,624554,1998115757,0
2021-01-31,29.13,34.49,25.57,32.86,1010473,3138326036,0
2021-02-28,32.24,32.24,24.5,26.05,811764,2471184737,0
2021-03-31,26.11,28.63,24.35,24.71,535170,1514461571,0
2021-04-30,24.75,25.66,24.1,24.5,329729,896122269,0
2021-05-31,24.25,26.33,21.55,24.6,369816,948876091,0
2021-06-30,24.45,25.15,22.66,23.34,375388,994531555,0
2021-07-31,23.36,24.25,21.06,21.3,289648,718836131,0
2021-08-31,21.27,21.87,17.7,17.74,380141,816222071,0
2021-09-30,17.74,24.41,17.74,19.95,691160,1628751512,0
2021-10-31,20.2,21.56,19.22,21.56,171584,390274898,0
2021-11-30,22.21,30.4,21.62,25.58,1440061,3991519852,0
2021-12-31,25.51,29.43,23.95,27.91,974538,2814483048,0
2022-01-31,27.9,30.91,22.54,23.07,1111616,3341390776,0
2022-02-28,23.45,26.01,22.81,23.48,328927,871331025,0
2022-03-31,23.55,24.0,19.51,23.2,467651,1139968836,0
2022-04-30,23.11,26.77,17.87,19.54,750191,1880522416,0
2022-05-31,19.41,20.07,16.57,18.4,379968,754156723,0
2022-06-30,18.41,19.81,17.74,18.99,503157,1048322179,0
2022-07-31,19.02,20.1,17.74,18.67,311103,621975427,0
2022-08-31,18.68,21.34,17.88,20.04,385638,792646965,0
2022-09-30,19.84,20.51,16.86,18.57,386114,780931787,0
2022-10-31,18.57,19.03,17.28,18.69,194937,379353255,0
2022-11-30,18.7,22.3,18.55,19.49,595153,1270789900,0
2022-12-31,19.56,20.87,18.91,20.61,390648,822753777,0
2023-01-31,20.61,22.29,20.34,21.66,333069,750900347,0
2023-02-28,21.66,26.04,21.64,23.73,568543,1433859251,0
2023-03-31,23.62,27.6,23.04,27.19,683172,1825423898,0
2023-04-30,27.2,56.4,26.9,47.64,2619412,11055467202,0
2023-05-31,48.23,50.12,39.86,48.48,2915907,13430770297,0
2023-06-30,47.59,55.68,41.06,42.07,2344310,11428498309,0
2023-07-31,41.77,42.18,32.43,33.81,1289217,4670228948,0
2023-08-31,33.54,35.68,29.94,32.75,1135780,3733451999,0
2023-09-30,32.42,40.24,27.05,27.15,2949941,9817086151,0
2023-10-31,27.06,27.08,22.84,23.71,804947,2026997674,0
2023-11-30,23.71,27.48,23.53,23.95,1381493,3581907610,0
2023-12-31,23.99,27.81,20.3,22.54,1752088,4424992166,0
2024-01-31,22.67,23.56,17.79,17.8,895849,1928634436,0
2024-02-29,17.66,21.72,13.27,19.76,1929328,3541321152,0
2024-03-31,19.76,22.47,18.55,18.87,2039526,4253307077,0
2024-04-30,18.94,19.85,15.1,18.1,1162795,2076383363,0
2024-05-31,18.56,19.34,16.99,17.52,736710,1358517622,0
2024-06-30,17.64,17.65,14.93,15.92,530016,880070688,0
2024-07-31,15.95,16.72,14.39,15.79,1020412,1603250204,0
2024-08-31,15.75,16.52,14.45,15.49,1216088,1920220616,0
2024-09-30,15.45,19.91,15.3,19.81,1394685,2347562294,0
2024-10-31,21.79,22.0,17.37,20.54,1643298,3237037674,0
2024-11-30,20.46,24.68,19.56,21.7,1418141,3119537847,0
2024-12-31,21.71,25.19,19.8,19.89,1433422,3225696067,0
2025-01-31,19.88,22.1,18.25,21.7,700994,1420789069,0
2025-02-28,22.0,28.61,21.76,23.55,2271496,5719255794,0
2025-03-31,23.65,27.33,21.16,21.72,1605293,3956862199,0
2025-04-30,21.71,22.78,17.02,20.74,1101329,2200202015,0
2025-05-31,20.98,21.77,19.2,20.63,1021966,2115925477,0
2025-06-30,20.46,25.49,20.42,25.1,2987154,6967124213,0
2025-07-31,24.72,26.16,22.01,22.55,1727794,4092974902,0
2025-08-31,22.69,24.45,21.77,22.42,1334581,3098763585,0
2025-09-30,22.29,22.88,20.2,21.05,948429,2034917697,0
2025-10-31,21.1,21.14,19.0,19.7,445121,878034374,0
2025-11-30,19.68,20.47,19.28,19.98,579057,1151815692,0
2025-12-31,19.98,20.4,17.68,18.51,437239,818645110,0
2026-01-31,18.56,19.33,18.46,19.33,179345,340151584,0
