datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,80.81,81.49,79.69,79.83,19884,159912040,0
2025-11-26 11:30:00,79.84,80.05,79.7,79.79,7962,63590234,0
2025-11-26 14:00:00,79.73,80.52,79.61,80.37,6050,48504169,0
2025-11-26 15:00:00,80.38,80.67,80.04,80.38,7461,59927180,0
2025-11-27 10:30:00,80.22,81.3,79.62,81.23,16106,129386140,0
2025-11-27 11:30:00,81.2,81.6,80.11,80.43,9993,80688815,0
2025-11-27 14:00:00,80.48,80.48,79.72,80.0,7060,56478425,0
2025-11-27 15:00:00,80.02,80.1,79.74,79.78,7698,61490770,0
2025-11-28 10:30:00,79.7,81.66,79.0,80.88,29537,238820167,0
2025-11-28 11:30:00,80.88,81.65,80.86,81.58,12262,99691755,0
2025-11-28 14:00:00,81.59,82.73,81.51,81.51,19179,157235622,0
2025-11-28 15:00:00,81.51,81.7,81.02,81.45,15302,124384271,0
2025-12-01 10:30:00,82.69,84.98,82.0,83.52,45910,385381376,0
2025-12-01 11:30:00,83.53,84.0,83.32,83.59,9128,76385079,0
2025-12-01 14:00:00,83.6,84.27,83.48,84.06,12469,104539224,0
2025-12-01 15:00:00,84.06,84.27,83.55,83.85,11132,93335361,0
2025-12-02 10:30:00,84.0,85.13,83.16,83.35,19813,166146077,0
2025-12-02 11:30:00,83.39,84.1,83.25,83.87,7495,62704462,0
2025-12-02 14:00:00,83.87,84.51,83.68,83.83,11531,97011846,0
2025-12-02 15:00:00,83.82,84.05,83.57,83.75,10351,86725291,0
2025-12-03 10:30:00,83.76,84.0,81.7,81.91,21374,176334466,0
2025-12-03 11:30:00,81.91,82.18,81.52,81.8,7070,57858905,0
2025-12-03 14:00:00,81.8,81.98,81.5,81.53,6340,51798432,0
2025-12-03 15:00:00,81.53,81.9,81.28,81.49,9526,77666492,0
2025-12-04 10:30:00,81.11,82.2,80.05,80.38,20480,165442671,0
2025-12-04 11:30:00,80.36,80.96,80.12,80.65,6464,52067533,0
2025-12-04 14:00:00,80.68,80.8,80.18,80.24,5180,41662082,0
2025-12-04 15:00:00,80.23,80.32,79.96,80.07,8806,70548085,0
2025-12-05 10:30:00,80.3,80.47,79.42,80.0,13566,108413293,0
2025-12-05 11:30:00,80.0,80.18,79.73,80.02,3943,31536869,0
2025-12-05 14:00:00,80.07,80.37,79.55,80.36,8469,67769208,0
2025-12-05 15:00:00,80.37,80.64,79.94,80.04,11281,90470133,0
2025-12-08 10:30:00,80.5,80.75,78.68,80.31,21202,168954217,0
2025-12-08 11:30:00,80.28,80.5,80.1,80.22,5434,43629798,0
2025-12-08 14:00:00,80.28,80.86,79.97,80.59,7505,60289050,0
2025-12-08 15:00:00,80.59,80.93,80.33,80.45,8309,66948654,0
2025-12-09 10:30:00,80.21,80.21,79.11,80.12,16088,127818063,0
2025-12-09 11:30:00,80.12,80.8,79.82,79.86,8754,70251184,0
2025-12-09 14:00:00,79.87,80.1,79.67,79.79,4426,35338996,0
2025-12-09 15:00:00,79.79,79.99,79.52,79.78,7377,58831828,0
2025-12-10 10:30:00,80.39,81.35,79.53,79.63,30333,244097764,0
2025-12-10 11:30:00,79.63,79.7,79.38,79.4,8061,64156262,0
2025-12-10 14:00:00,79.4,79.57,79.18,79.3,4935,39168079,0
2025-12-10 15:00:00,79.3,79.63,79.28,79.5,7577,60191679,0
2025-12-11 10:30:00,78.65,79.3,77.51,79.07,25805,202445679,0
2025-12-11 11:30:00,79.06,79.09,78.55,78.73,4874,38407884,0
2025-12-11 14:00:00,78.7,79.38,78.5,79.16,6692,52737712,0
2025-12-11 15:00:00,79.17,79.38,78.08,78.1,10147,79694687,0
2025-12-12 10:30:00,78.5,80.09,77.62,79.18,20789,164662575,0
2025-12-12 11:30:00,79.18,79.45,78.7,79.09,6255,49471938,0
2025-12-12 14:00:00,79.09,79.42,78.53,79.36,6558,51819854,0
2025-12-12 15:00:00,79.37,79.5,78.78,79.38,8944,70812271,0
2025-12-15 10:30:00,79.69,79.9,78.71,79.13,12043,95465077,0
2025-12-15 11:30:00,79.18,79.42,79.0,79.12,6003,47564236,0
2025-12-15 14:00:00,79.0,79.07,78.38,78.54,6546,51501505,0
2025-12-15 15:00:00,78.54,79.07,78.53,78.75,8128,64041706,0
2025-12-16 10:30:00,79.03,80.49,78.62,79.56,23814,190216086,0
2025-12-16 11:30:00,79.56,80.08,79.25,79.55,9540,76049030,0
2025-12-16 14:00:00,79.55,80.2,79.37,80.13,9416,75196663,0
2025-12-16 15:00:00,80.15,80.35,79.85,79.99,10303,82503347,0
2025-12-17 10:30:00,79.93,83.3,79.5,82.5,50800,416698862,0
2025-12-17 11:30:00,82.49,82.74,82.09,82.16,7715,63588008,0
2025-12-17 14:00:00,82.15,82.32,81.66,82.1,10315,84544416,0
2025-12-17 15:00:00,82.12,82.49,81.95,82.2,14207,116830769,0
2025-12-18 10:30:00,81.55,82.84,81.54,82.27,14054,115548470,0
2025-12-18 11:30:00,82.27,82.27,81.74,81.87,5634,46161884,0
2025-12-18 14:00:00,81.84,82.43,81.51,82.19,8882,72862114,0
2025-12-18 15:00:00,82.16,82.35,81.8,81.83,8773,72012548,0
2025-12-19 10:30:00,82.4,82.96,80.7,82.66,21375,174605077,0
2025-12-19 11:30:00,82.73,83.65,82.61,83.23,18909,157131810,0
2025-12-19 14:00:00,83.24,84.0,83.17,83.22,9659,80657928,0
2025-12-19 15:00:00,83.23,83.38,83.0,83.21,8012,66678737,0
2025-12-22 10:30:00,82.78,83.95,82.08,82.5,18656,153968715,0
2025-12-22 11:30:00,82.52,82.78,82.39,82.6,5122,42285167,0
2025-12-22 14:00:00,82.64,82.82,82.0,82.11,8513,70055086,0
2025-12-22 15:00:00,82.11,83.03,82.1,82.96,15719,130018260,0
