datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,49.43,51.55,43.18,43.53,401967,2344725625,0
2020-02-29,38.15,73.67,38.15,63.67,498905,3079583106,0
2020-03-31,63.66,77.56,60.63,75.5,500164,3941805583,0
2020-04-30,75.5,91.29,71.89,83.48,429504,3997388376,0
2020-05-31,82.68,107.96,81.73,106.91,323500,3466495241,0
2020-06-30,108.5,112.25,96.22,108.16,329096,3758091574,0
2020-07-31,109.82,147.3,105.16,135.04,465303,6066367445,0
2020-08-31,133.66,170.23,129.66,166.74,353094,5665319498,0
2020-09-30,163.16,190.19,150.66,162.33,345390,6086229334,0
2020-10-31,165.16,177.29,148.74,166.3,252462,4431974601,0
2020-11-30,167.16,171.4,148.16,153.84,342690,5819366586,0
2020-12-31,151.99,188.96,150.69,183.03,378869,6988493720,0
2021-01-31,183.03,242.16,169.78,236.96,539989,11091641040,0
2021-02-28,230.19,274.15,202.16,212.23,367113,9473080592,0
2021-03-31,213.72,218.24,177.29,198.72,459129,9325994330,0
2021-04-30,197.83,246.48,194.36,242.16,361774,8324931299,0
2021-05-31,236.03,253.1,204.67,236.66,322877,7737044848,0
2021-06-30,239.15,245.66,210.16,244.18,389053,9194413291,0
2021-07-31,244.2,244.5,148.36,152.55,628541,12007418922,0
2021-08-31,151.9,184.4,138.26,147.15,527598,8959292501,0
2021-09-30,145.97,190.84,142.91,182.89,319887,5569837806,0
2021-10-31,182.17,197.58,147.9,193.54,363042,6480124526,0
2021-11-30,184.3,197.79,161.92,164.6,433759,8053576228,0
2021-12-31,164.53,192.38,157.23,161.68,387192,7082359942,0
2022-01-31,161.7,163.0,123.6,124.48,505400,7614757789,0
2022-02-28,126.4,132.52,113.7,114.36,391531,5171055427,0
2022-03-31,114.5,117.75,93.17,101.2,541171,6126206895,0
2022-04-30,99.48,122.18,92.9,120.32,812838,9665021600,0
2022-05-31,120.3,126.99,111.9,122.35,541558,7008423626,0
2022-06-30,122.38,163.6,119.0,159.47,533370,7786639027,0
2022-07-31,158.59,160.93,136.61,138.64,455850,7049626572,0
2022-08-31,138.6,156.6,129.62,146.72,468509,7019056440,0
2022-09-30,144.49,155.15,128.05,146.88,650728,9543753543,0
2022-10-31,148.25,157.39,122.92,125.93,413415,6137880812,0
2022-11-30,126.6,159.2,124.5,149.6,705646,10880121289,0
2022-12-31,157.5,163.74,148.07,153.48,605215,9910611170,0
2023-01-31,153.56,163.71,146.1,150.87,492275,7972991273,0
2023-02-28,151.19,168.14,146.6,155.08,596711,9826372313,0
2023-03-31,154.72,161.37,146.3,155.23,558976,9056204619,0
2023-04-30,155.28,165.5,137.25,161.48,692273,11084317186,0
2023-05-31,159.78,162.9,145.37,145.73,480162,7761438521,0
2023-06-30,146.9,155.73,135.89,139.53,543812,8435611138,0
2023-07-31,138.43,154.06,130.72,146.93,552767,8178264347,0
2023-08-31,149.73,150.02,117.74,123.23,617394,8553351153,0
2023-09-30,123.27,133.23,115.23,116.73,456017,6010123691,0
2023-10-31,116.95,124.42,105.48,122.69,431946,5217100423,0
2023-11-30,123.92,124.47,102.0,107.76,542178,6421701003,0
2023-12-31,107.03,107.46,89.06,98.09,613747,6317220223,0
2024-01-31,97.78,98.88,67.59,67.79,1141055,9821852289,0
2024-02-29,67.72,82.72,62.05,80.78,930579,7345918842,0
2024-03-31,80.78,86.98,75.41,76.13,716689,6298064450,0
2024-04-30,76.23,86.38,74.48,85.76,659888,5678559920,0
2024-05-31,87.61,96.48,84.38,84.62,666208,6424220828,0
2024-06-30,85.02,87.35,67.35,69.56,907212,7287728127,0
2024-07-31,69.54,76.74,65.36,74.6,766299,5741175801,0
2024-08-31,74.06,79.55,63.98,71.55,678195,5163717618,0
2024-09-30,71.25,95.96,63.45,95.96,820586,6494253963,0
2024-10-31,105.89,105.89,80.62,82.24,1347905,12467464502,0
2024-11-30,81.69,95.15,77.38,84.4,1043759,9315682993,0
2024-12-31,84.0,93.02,77.33,78.1,1317354,11417286809,0
2025-01-31,77.84,79.89,70.06,72.77,590820,4569907820,0
2025-02-28,73.22,81.58,70.79,77.38,825294,6349932929,0
2025-03-31,77.38,84.23,74.46,77.37,912049,7410006530,0
2025-04-30,77.57,80.03,69.07,73.87,821668,6442929331,0
2025-05-31,74.15,83.47,73.25,81.37,665815,5424280232,0
2025-06-30,80.88,82.82,73.97,79.0,612113,4882551525,0
2025-07-31,78.2,78.58,71.49,72.38,1051223,7905303645,0
2025-08-31,72.29,76.03,71.74,72.88,1425604,10636649508,0
2025-09-30,72.89,74.88,69.6,70.51,1201953,8833450355,0
2025-10-31,70.01,74.54,69.51,73.89,870401,6217223998,0
2025-11-30,73.5,84.5,73.25,81.45,1496031,11834392126,0
2025-12-31,82.69,85.13,77.51,79.28,1012538,8220639465,0
2026-01-31,79.28,88.1,79.19,86.15,258743,2161750025,0
