datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,222.17,236.1,216.6,233.83,16772,519451504,0
2020-01-03,232.44,235.49,225.87,226.88,8659,267267270,0
2020-01-06,226.8,257.52,226.8,257.52,27138,894974752,0
2020-01-07,257.53,285.49,251.67,284.04,22965,806308624,0
2020-01-08,276.9,286.85,275.49,277.51,12585,452830384,0
2020-01-09,282.23,289.04,268.48,279.24,11087,396010304,0
2020-01-10,280.37,287.86,273.52,283.27,8579,311417808,0
2020-01-13,284.09,293.48,280.69,288.49,7489,274063824,0
2020-01-14,287.55,299.23,285.67,289.54,10000,371690944,0
2020-01-15,289.54,296.31,286.51,290.46,7306,270479856,0
2020-01-16,290.49,293.48,285.5,285.94,6524,239669059,0
2020-01-17,286.82,295.44,284.51,287.49,6368,234680709,0
2020-01-20,289.79,297.47,285.59,292.71,7733,287508272,0
2020-01-21,293.49,297.49,286.69,290.49,5758,213266698,0
2020-01-22,287.6,293.47,282.49,288.97,9094,334481152,0
2020-01-23,287.39,313.68,287.39,292.99,14706,557780096,0
2020-02-03,256.55,306.39,256.55,272.99,14675,535724944,0
2020-02-04,279.2,299.29,279.2,291.56,11399,420459920,0
2020-02-05,293.6,297.49,280.49,290.85,14335,530373904,0
2020-02-06,291.49,327.37,287.15,326.37,15130,591082224,0
2020-02-07,324.56,339.13,313.5,334.33,14227,582545328,0
2020-02-10,331.47,346.48,326.49,330.71,10431,434149632,0
2020-02-11,333.47,337.66,323.88,329.99,8089,330250976,0
2020-02-12,330.29,343.59,326.5,339.49,8663,361165536,0
2020-02-13,338.49,342.49,327.7,335.91,7558,312867040,0
2020-02-14,332.19,358.99,331.49,343.44,10101,430164304,0
2020-02-17,349.49,360.47,339.51,353.99,9027,389490320,0
2020-02-18,352.49,356.98,344.49,351.42,8444,362336256,0
2020-02-19,349.69,351.4,328.49,330.49,15113,628175472,0
2020-02-20,334.29,343.49,329.49,336.99,10773,447129280,0
2020-02-21,340.33,372.99,337.51,366.48,15745,689630160,0
2020-02-24,361.42,364.46,352.29,356.69,14204,620100208,0
2020-02-25,349.38,354.49,330.99,343.51,13206,556174816,0
2020-02-26,337.86,344.49,318.49,320.99,13755,559328224,0
2020-02-27,325.99,348.49,325.49,343.37,16807,704470864,0
2020-02-28,335.22,352.49,324.15,338.69,12685,526752960,0
2020-03-02,338.64,343.98,320.49,336.37,14891,615046896,0
2020-03-03,338.48,363.8,337.49,346.61,17040,731934480,0
2020-03-04,341.61,341.61,326.72,338.39,9960,411519072,0
2020-03-05,340.99,342.49,328.14,333.76,8641,355830960,0
2020-03-06,331.45,342.37,325.49,336.87,8127,336948992,0
2020-03-09,329.49,335.44,320.49,320.49,8480,344011040,0
2020-03-10,312.49,326.29,305.11,322.79,13307,529512864,0
2020-03-11,321.69,331.63,309.61,311.79,10095,399642352,0
2020-03-12,309.4,311.78,297.78,303.07,8277,318140432,0
2020-03-13,282.75,308.85,282.75,304.26,9512,357015024,0
2020-03-16,312.14,313.17,285.52,285.6,12987,488833152,0
2020-03-17,287.23,292.49,261.51,288.89,11580,418346576,0
2020-03-18,289.49,303.48,282.69,291.56,13831,518802576,0
2020-03-19,291.49,299.29,284.49,297.73,8877,329881504,0
2020-03-20,301.49,331.69,300.32,325.82,15659,623737888,0
2020-03-23,317.49,331.47,307.35,315.17,11781,468092800,0
2020-03-24,317.96,322.77,300.49,312.67,8774,343943744,0
2020-03-25,316.87,328.89,312.49,322.88,9018,361805440,0
2020-03-26,320.49,335.17,316.51,331.84,8365,340927728,0
2020-03-27,335.92,339.37,322.49,328.49,6369,260933468,0
2020-03-30,324.38,324.38,310.49,315.37,7174,283362560,0
2020-03-31,317.75,332.49,316.54,330.88,8101,328781104,0
2020-04-01,331.1,339.78,326.99,334.14,6458,266905507,0
2020-04-02,331.46,336.27,320.66,328.5,8569,349566640,0
2020-04-03,327.97,333.47,313.49,315.53,9566,383108560,0
2020-04-07,321.04,340.38,321.04,339.15,13422,552841728,0
2020-04-08,339.16,344.14,332.83,343.49,8950,375503536,0
2020-04-09,319.39,323.04,301.19,317.99,24349,955533600,0
2020-04-10,313.4,317.56,284.69,287.29,18916,711313616,0
2020-04-13,297.49,300.49,282.3,285.46,14554,540989744,0
2020-04-14,291.49,300.49,275.93,298.19,21424,791838848,0
2020-04-15,298.19,307.37,294.3,302.3,12067,459967120,0
2020-04-16,300.02,312.3,296.55,311.26,11353,437375632,0
2020-04-17,311.28,319.36,310.28,312.99,7499,295207824,0
2020-04-20,310.99,316.49,293.37,296.3,21669,818916704,0
2020-04-21,295.37,300.09,290.54,296.49,11302,422743776,0
2020-04-22,298.07,300.08,290.69,295.94,12672,474459776,0
2020-04-23,297.49,303.16,291.67,293.64,11640,437956928,0
2020-04-24,295.66,302.6,293.17,298.4,11251,424635952,0
2020-04-27,299.5,307.82,297.71,300.71,9231,353186864,0
2020-04-28,303.36,307.47,290.49,305.34,10507,399720752,0
2020-04-29,304.47,307.46,295.84,300.93,8589,326687904,0
2020-04-30,303.49,305.09,296.62,299.26,11611,440604208,0
2020-05-06,302.35,310.48,294.29,309.47,19244,740584800,0
2020-05-07,310.59,332.15,308.04,328.29,17354,699495792,0
2020-05-08,330.49,339.15,328.49,335.99,10772,446579072,0
2020-05-11,334.6,341.48,331.23,336.98,9951,414466928,0
2020-05-12,341.49,350.37,336.99,345.49,10487,443710224,0
2020-05-13,348.49,356.39,345.48,355.37,9120,393638896,0
2020-05-14,355.49,359.98,352.49,354.06,7438,324039968,0
2020-05-15,356.32,360.29,354.19,358.26,7359,321716208,0
2020-05-18,357.99,357.99,340.5,348.43,12036,517368544,0
2020-05-19,351.44,351.48,341.62,347.29,10342,441436592,0
2020-05-20,350.29,350.52,338.38,340.32,9440,395711920,0
2020-05-21,345.49,348.29,337.07,341.58,9245,386698176,0
2020-05-22,341.58,341.58,323.49,329.23,10254,415666464,0
2020-05-25,332.29,335.49,320.41,331.49,8534,345265328,0
2020-05-26,335.49,336.49,327.6,333.75,5955,242690636,0
2020-05-27,335.17,335.59,319.59,320.51,7982,319679184,0
