datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,222.17,313.68,216.6,292.99,182763,6431881256,0
2020-02-29,256.55,372.99,256.55,338.69,244367,10012372368,0
2020-03-31,338.64,363.8,261.51,330.88,230846,9167050652,0
2020-04-30,331.1,344.14,275.93,299.26,265599,10219065219,0
2020-05-31,302.35,360.29,294.29,329.49,180916,7464181363,0
2020-06-30,334.49,480.37,315.49,474.5,208897,9329292016,0
2020-07-31,475.02,575.49,452.15,545.49,330632,19644777280,0
2020-08-31,552.48,597.09,467.99,544.72,240274,14602163088,0
2020-09-30,550.97,577.46,471.49,548.39,142872,8553328435,0
2020-10-31,547.39,566.49,353.49,395.74,183920,9654739008,0
2020-11-30,392.24,408.47,281.49,301.3,222503,9406498336,0
2020-12-31,299.65,365.54,296.49,351.49,264844,10867716523,0
2021-01-31,356.29,374.49,221.83,268.5,482749,16495376800,0
2021-02-28,264.04,305.42,232.35,237.55,302294,10451442192,0
2021-03-31,237.09,322.11,236.09,297.68,335212,11848763110,0
2021-04-30,300.39,390.13,288.5,383.49,229907,9356337857,0
2021-05-31,382.99,433.49,357.57,427.96,175783,8025346980,0
2021-06-30,428.49,526.49,417.49,467.49,248298,13555481088,0
2021-07-31,465.22,474.49,358.99,378.21,239893,11873441616,0
2021-08-31,374.55,397.97,304.1,304.1,237456,9846353582,0
2021-09-30,307.49,376.49,305.71,328.77,214806,8612745038,0
2021-10-31,335.43,346.48,271.31,279.93,186303,6632128235,0
2021-11-30,279.39,346.29,279.29,313.35,270933,10182605603,0
2021-12-31,313.39,365.73,287.09,359.34,244797,9399109829,0
2022-01-31,359.79,386.04,279.49,289.07,226816,8967561818,0
2022-02-28,293.49,313.48,276.37,287.25,109735,3916284087,0
2022-03-31,287.65,300.19,229.69,297.99,160339,5402254369,0
2022-04-30,297.27,325.49,245.49,275.49,179757,6249256958,0
2022-05-31,271.49,282.18,248.49,276.8,94860,3089532839,0
2022-06-30,275.49,353.29,273.49,341.49,127332,4616140242,0
2022-07-31,344.49,347.37,303.04,308.49,86761,3207868456,0
2022-08-31,306.49,313.96,225.56,238.84,173598,5327170787,0
2022-09-30,238.89,249.18,190.15,202.0,155431,4165127824,0
2022-10-31,201.99,225.49,185.0,208.14,103419,2591335888,0
2022-11-30,208.14,309.0,207.5,278.89,179099,5503201869,0
2022-12-31,276.89,300.86,265.5,280.33,97534,3201589916,0
2023-01-31,280.49,338.3,278.11,320.99,110779,3927787099,0
2023-02-28,320.99,364.47,312.99,320.49,138645,5109348724,0
2023-03-31,317.79,444.25,316.2,444.25,216762,8809242849,0
2023-04-30,442.49,557.49,439.48,491.38,413535,21924599049,0
2023-05-31,491.81,540.49,413.67,530.36,313790,15371038574,0
2023-06-30,519.16,547.08,456.49,461.6,257836,13635473467,0
2023-07-31,460.49,460.49,365.53,401.69,199047,8622022832,0
2023-08-31,400.46,442.57,346.55,388.19,222022,9326331566,0
2023-09-30,386.49,393.47,324.49,343.11,146436,5551247031,0
2023-10-31,342.49,348.48,233.49,243.49,161546,4938441097,0
2023-11-30,241.42,288.49,233.49,233.8,233044,6586151616,0
2023-12-31,233.8,266.49,199.8,222.61,327523,8451636545,0
2024-01-31,225.69,228.99,158.49,158.52,329077,6985700060,0
2024-02-29,157.57,207.86,141.5,194.08,320521,6339548421,0
2024-03-31,193.49,207.29,162.49,168.26,400116,8429587296,0
2024-04-30,168.3,177.43,144.69,173.14,351594,6333430302,0
2024-05-31,176.59,179.23,156.87,162.49,226788,4362286415,0
2024-06-30,163.08,172.9,153.49,155.5,188341,3488923839,0
2024-07-31,154.54,156.56,130.72,143.84,194030,3153413494,0
2024-08-31,143.86,182.35,139.49,170.89,424271,7830833900,0
2024-09-30,171.08,226.17,167.52,226.17,270325,5553760232,0
2024-10-31,250.59,250.59,183.88,185.87,386170,8847854741,0
2024-11-30,184.22,208.25,175.39,191.19,442026,9242219947,0
2024-12-31,189.76,218.72,185.66,202.8,348376,7699613870,0
2025-01-31,202.05,202.94,185.98,190.46,165750,3463562152,0
2025-02-28,192.43,238.08,187.29,197.99,313652,7226426363,0
2025-03-31,199.26,223.76,196.15,206.95,238178,5352206684,0
2025-04-30,207.02,223.56,182.17,222.96,232878,5122570890,0
2025-05-31,223.46,242.65,218.46,238.99,169577,4093752573,0
2025-06-30,241.95,289.4,240.65,289.4,364696,10239356723,0
2025-07-31,295.44,339.44,290.45,327.3,390588,12605235065,0
2025-08-31,323.46,467.44,314.06,446.69,404460,16667318626,0
2025-09-30,447.25,662.02,426.3,562.02,449226,23799973455,0
2025-10-31,559.02,563.28,440.92,467.0,426846,20629021884,0
2025-11-30,470.02,481.6,414.98,429.18,303647,13625884924,0
2025-12-31,431.0,489.28,421.8,423.85,384957,17181511522,0
2026-01-31,426.9,467.95,424.0,467.21,100811,4507939221,0
