datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,222.17,236.1,216.6,226.88,25431,786718774,0
2020-01-10,226.8,289.04,226.8,283.27,82354,2861541872,0
2020-01-17,284.09,299.23,280.69,287.49,37687,1390584392,0
2020-01-24,289.79,313.68,282.49,292.99,37291,1393036218,0
2020-02-07,256.55,339.13,256.55,334.33,69766,2660186320,0
2020-02-14,331.47,358.99,323.88,343.44,44842,1868597488,0
2020-02-21,349.49,372.99,328.49,366.48,59102,2516761488,0
2020-02-28,361.42,364.46,318.49,338.69,70657,2966827072,0
2020-03-06,338.64,363.8,320.49,336.87,58659,2451280400,0
2020-03-13,329.49,335.44,282.75,304.26,49671,1948321712,0
2020-03-20,312.14,331.69,261.51,325.82,62934,2379601696,0
2020-03-27,317.49,339.37,300.49,328.49,44307,1775703180,0
2020-04-03,324.38,339.78,310.49,315.53,39868,1611724371,0
2020-04-10,321.04,344.14,284.69,287.29,65637,2595192480,0
2020-04-17,297.49,319.36,275.93,312.99,66897,2525379168,0
2020-04-24,310.99,316.49,290.54,298.4,68534,2578713136,0
2020-05-01,299.5,307.82,290.49,299.26,39938,1520199728,0
2020-05-08,302.35,339.15,294.29,335.99,47370,1886659664,0
2020-05-15,334.6,360.29,331.23,358.26,44355,1897572224,0
2020-05-22,357.99,357.99,323.49,329.23,51317,2156881696,0
2020-05-29,332.29,336.49,310.61,329.49,37874,1523067779,0
2020-06-05,334.49,349.48,315.49,325.45,47615,1914870480,0
2020-06-12,327.59,357.37,316.75,354.49,48442,2004239888,0
2020-06-19,358.29,380.48,351.49,379.39,49123,2178275248,0
2020-06-26,379.49,449.82,375.59,449.82,35762,1745155392,0
2020-07-03,450.49,494.28,444.46,467.41,71463,3870816400,0
2020-07-10,465.49,573.49,453.49,559.75,90185,5275237104,0
2020-07-17,559.75,575.49,509.49,528.69,73963,4590084128,0
2020-07-24,544.49,545.49,495.51,499.47,61175,3643483888,0
2020-07-31,499.59,551.12,495.49,545.49,61801,3751906768,0
2020-08-07,552.48,597.09,528.08,539.26,60378,3808454960,0
2020-08-14,542.1,547.47,499.5,527.92,37445,2238330272,0
2020-08-21,527.47,558.49,467.99,556.44,88505,5161174000,0
2020-08-28,554.99,573.99,522.45,571.49,45357,2849169936,0
2020-09-04,576.29,580.27,525.69,529.49,36484,2282021008,0
2020-09-11,531.62,534.49,471.49,492.28,39681,2264462528,0
2020-09-18,496.12,547.3,487.49,543.36,36333,2136717056,0
2020-09-25,543.49,565.49,518.51,552.29,26383,1633121344,0
2020-10-02,555.85,556.35,539.8,548.39,12580,782040419,0
2020-10-09,547.39,563.16,547.39,561.76,4633,292889216,0
2020-10-16,565.49,566.49,504.38,512.48,52742,3121602144,0
2020-10-23,513.49,518.48,382.66,382.66,72237,3732986080,0
2020-10-30,375.46,404.14,353.49,395.74,54308,2507261568,0
2020-11-06,392.24,408.47,370.67,382.99,43012,2004283888,0
2020-11-13,388.47,401.29,354.43,360.35,57133,2582501200,0
2020-11-20,358.12,360.49,321.73,334.14,48298,1996560880,0
2020-11-27,336.14,337.49,287.6,292.18,57166,2193834240,0
2020-12-04,293.49,336.45,281.49,327.29,74541,2929669552,0
2020-12-11,326.97,342.36,314.51,321.7,48001,1938992560,0
2020-12-18,321.49,362.49,311.49,331.49,57727,2390021072,0
2020-12-25,331.49,365.54,331.03,338.46,44059,1874373835,0
2021-01-01,340.66,358.49,311.24,351.49,57410,2363977632,0
2021-01-08,356.29,374.49,282.49,292.67,113998,4599809392,0
2021-01-15,293.52,293.59,221.83,231.8,159198,5015344368,0
2021-01-22,232.5,244.77,228.82,237.38,83407,2594668800,0
2021-01-29,237.59,288.06,235.54,268.5,126146,4285554240,0
2021-02-05,264.04,305.42,259.15,259.49,107724,3832642736,0
2021-02-12,261.62,267.09,250.09,255.62,41171,1373824256,0
2021-02-19,262.49,287.96,256.57,284.36,42434,1468087184,0
2021-02-26,286.49,294.85,232.35,237.55,110965,3776888016,0
2021-03-05,237.09,307.42,236.09,301.57,92792,3285137808,0
2021-03-12,305.5,322.11,272.99,282.28,83065,3049198512,0
2021-03-19,275.14,280.29,246.6,266.5,72804,2452410512,0
2021-03-26,267.65,286.49,261.28,269.68,45904,1596978406,0
2021-04-02,270.75,304.49,267.09,298.14,60795,2212339536,0
2021-04-09,298.14,310.37,289.37,295.79,36914,1383104176,0
2021-04-16,294.49,314.19,288.5,300.89,40337,1524261275,0
2021-04-23,299.84,364.5,291.49,364.5,66836,2739621334,0
2021-04-30,370.49,390.13,361.43,383.49,65672,2962049408,0
2021-05-07,382.99,385.37,357.72,362.11,28693,1278260304,0
2021-05-14,362.49,373.49,357.57,362.81,39625,1740558880,0
2021-05-21,365.42,400.38,363.0,375.5,43993,2001997268,0
2021-05-28,378.65,405.49,375.49,389.2,46022,2151507680,0
2021-06-04,392.49,504.99,390.49,504.6,82159,4337054960,0
2021-06-11,525.49,526.49,475.69,485.49,62409,3505998976,0
2021-06-18,489.49,516.47,470.19,474.49,43416,2394337168,0
2021-06-25,471.59,497.49,461.5,477.49,41401,2239603872,0
2021-07-02,485.49,490.21,448.01,455.26,51778,2742975728,0
2021-07-09,457.49,468.07,434.82,456.37,50428,2591434624,0
2021-07-16,452.49,474.49,415.39,457.98,74725,3796158768,0
2021-07-23,454.48,465.49,419.09,425.1,42210,2142910352,0
2021-07-30,413.46,414.23,358.99,378.21,57115,2531471104,0
2021-08-06,374.55,383.28,335.49,349.4,65872,2792939680,0
2021-08-13,344.2,375.87,341.32,363.03,45199,1919056032,0
2021-08-20,365.33,397.97,329.09,344.71,56886,2374053113,0
2021-08-27,347.48,357.37,333.48,337.49,37232,1521886789,0
2021-09-03,335.26,354.49,304.1,328.94,74898,2942884480,0
2021-09-10,331.12,376.49,318.29,346.64,64061,2637661821,0
2021-09-17,346.37,355.49,328.22,329.97,36357,1463845040,0
2021-09-24,326.15,339.37,318.83,334.29,18092,709262977,0
2021-10-01,333.29,362.63,306.5,328.77,53665,2097508688,0
2021-10-08,335.43,336.99,322.51,330.63,7920,310158384,0
2021-10-15,330.63,346.48,288.49,301.76,59037,2237339330,0
2021-10-22,300.49,300.49,271.31,283.49,61282,2104882233,0
2021-10-29,283.98,286.49,271.49,279.93,58064,1979748288,0
2021-11-05,279.39,309.99,279.29,299.09,62418,2222643952,0
2021-11-12,302.96,312.14,293.07,307.39,56251,2051607952,0
2021-11-19,310.36,346.29,310.24,329.52,91332,3578678496,0
2021-11-26,328.0,335.44,311.89,313.77,43679,1683312794,0
2021-12-03,308.49,317.5,289.59,295.49,50654,1853639792,0
2021-12-10,295.47,315.07,287.09,313.47,43050,1561296242,0
2021-12-17,314.49,331.1,312.44,312.44,51388,1976258302,0
2021-12-24,313.45,351.47,305.5,346.48,63284,2482316366,0
2021-12-31,346.19,365.73,320.62,359.34,53674,2171961536,0
2022-01-07,359.79,386.04,354.49,357.16,57801,2484655152,0
2022-01-14,355.49,357.22,312.49,333.26,57487,2289545584,0
2022-01-21,334.47,343.37,307.49,309.08,62590,2440620144,0
2022-01-28,304.54,313.47,279.49,289.07,48938,1752740938,0
2022-02-11,293.49,310.99,280.6,302.98,37162,1331535197,0
2022-02-18,301.53,312.35,289.49,309.77,26172,949858337,0
2022-02-25,308.5,313.48,276.37,289.28,40863,1441599252,0
2022-03-04,289.19,290.68,279.82,286.48,23009,800875677,0
2022-03-11,284.59,285.33,235.57,261.41,41412,1344865912,0
2022-03-18,258.88,288.19,229.69,282.23,43210,1402510626,0
2022-03-25,289.16,296.12,281.58,284.82,31650,1112616760,0
2022-04-01,280.35,323.49,277.49,321.61,40657,1466349911,0
2022-04-08,319.99,325.49,297.49,302.19,25787,962689110,0
2022-04-15,299.43,325.25,274.5,279.48,66474,2337031200,0
2022-04-22,277.23,287.28,266.57,280.3,33070,1120088673,0
2022-04-29,267.49,284.15,245.49,275.49,40365,1297774759,0
2022-05-06,271.49,271.49,254.51,259.43,12263,400440764,0
2022-05-13,258.49,273.09,248.49,269.29,26700,868730628,0
2022-05-20,270.49,282.18,265.78,271.79,28263,940661738,0
2022-05-27,273.38,279.35,263.49,274.22,20085,637484416,0
2022-06-03,274.6,281.39,270.67,280.49,16573,535004538,0
2022-06-10,279.49,315.49,279.27,309.49,36884,1285858310,0
2022-06-17,304.56,325.13,299.08,322.09,28801,1035444250,0
2022-06-24,322.09,337.25,319.06,336.73,29308,1102712049,0
2022-07-01,337.49,353.29,326.96,342.99,26029,1005216832,0
2022-07-08,343.39,343.5,318.37,320.29,25196,946745278,0
2022-07-15,318.49,323.97,305.29,310.99,19125,691776606,0
2022-07-22,309.94,334.76,303.04,328.47,22369,823841069,0
2022-07-29,326.39,334.47,305.75,308.49,17357,639625059,0
2022-08-05,306.49,313.96,288.82,300.09,21511,742741586,0
2022-08-12,303.49,308.85,278.49,287.49,23894,799471221,0
2022-08-19,284.7,296.65,248.7,252.43,58214,1806230365,0
2022-08-26,250.49,250.49,225.56,232.28,48689,1381612947,0
2022-09-02,228.49,240.34,226.69,237.26,31025,873427909,0
2022-09-09,237.85,237.85,222.5,227.09,29598,809912571,0
2022-09-16,228.21,249.18,227.24,238.49,43792,1240733738,0
2022-09-23,238.62,241.49,193.38,195.99,45319,1166161034,0
2022-09-30,193.09,210.89,190.15,202.0,26987,672007240,0
2022-10-14,201.99,211.06,185.11,209.53,29399,717456952,0
2022-10-21,206.97,212.37,196.5,197.57,24515,611706956,0
2022-10-28,196.88,225.49,185.0,213.49,41892,1066962043,0
2022-11-04,214.49,239.27,205.99,238.49,46767,1269908911,0
2022-11-11,235.51,257.89,232.5,251.61,36306,1066624251,0
2022-11-18,247.83,309.0,247.83,286.93,54126,1777528028,0
2022-11-25,283.26,289.37,262.77,269.9,33804,1083115041,0
2022-12-02,265.65,289.99,259.59,286.47,25335,819955959,0
2022-12-09,288.55,299.59,286.49,290.56,22293,756971062,0
2022-12-16,289.51,300.86,284.99,289.95,15714,531250272,0
2022-12-23,291.45,293.46,270.56,275.48,16478,538601129,0
2022-12-30,275.85,295.49,265.5,280.33,33423,1056047069,0
2023-01-06,280.49,332.49,278.11,322.09,33760,1156224785,0
2023-01-13,321.87,337.08,321.87,331.98,38026,1374962487,0
2023-01-20,333.49,338.3,319.17,326.99,30099,1079514774,0
2023-02-03,329.49,333.05,312.99,323.14,25104,886627896,0
2023-02-10,323.63,343.99,319.83,336.3,32823,1203356299,0
2023-02-17,336.25,357.99,330.1,334.48,34184,1281000191,0
2023-02-24,334.63,364.47,326.09,332.39,41346,1558251176,0
2023-03-03,331.54,346.54,314.79,343.49,33179,1198049176,0
2023-03-10,343.69,345.23,323.49,325.1,18773,692740699,0
2023-03-17,324.69,352.49,318.49,350.33,33406,1234681735,0
2023-03-24,367.49,407.48,356.29,401.83,83276,3413347743,0
2023-03-31,398.49,444.25,394.49,444.25,62210,2767621711,0
2023-04-07,442.49,555.89,439.48,550.18,72903,3899962015,0
2023-04-14,557.49,557.49,485.49,497.48,96637,5276726863,0
2023-04-21,493.54,534.49,447.3,501.66,126067,6510654884,0
2023-04-28,499.49,532.49,455.49,491.38,117928,6237255287,0
2023-05-05,491.81,520.47,467.49,472.1,37985,1972142996,0
2023-05-12,469.49,479.59,437.5,438.49,68363,3327196695,0
2023-05-19,441.88,458.49,418.96,434.05,67560,3107474210,0
2023-05-26,430.04,465.49,413.67,463.67,81571,3840591920,0
2023-06-02,469.49,547.08,469.49,523.42,86587,4697400969,0
2023-06-09,517.86,528.58,471.87,495.49,62249,3276660375,0
2023-06-16,494.93,519.99,488.61,498.93,54076,2881890838,0
2023-06-23,500.4,542.49,485.52,493.18,55918,3026103877,0
2023-06-30,487.69,494.98,456.49,461.6,57317,2877050161,0
2023-07-07,460.49,460.49,399.69,414.29,55083,2525400015,0
2023-07-14,414.97,418.39,393.26,404.67,57162,2489371701,0
2023-07-21,403.84,403.84,376.5,381.95,29564,1242388261,0
2023-07-28,381.47,388.49,365.53,376.42,40620,1656688910,0
2023-08-04,376.46,416.49,373.53,412.76,51356,2220929708,0
2023-08-11,412.76,442.57,409.49,415.06,40667,1848171033,0
2023-08-18,409.59,416.59,359.49,360.49,53697,2222003645,0
2023-08-25,360.49,389.37,346.55,368.49,52253,2065748796,0
2023-09-01,386.49,397.29,364.89,381.98,47480,1960259477,0
2023-09-08,380.73,385.01,341.6,351.29,37130,1469129769,0
2023-09-15,352.06,366.49,331.51,334.64,36517,1379134944,0
2023-09-22,335.49,346.49,324.49,344.17,38284,1393026628,0
2023-09-29,342.35,351.49,337.21,343.11,27692,1027348542,0
2023-10-13,342.49,348.48,323.49,327.29,34854,1247831267,0
2023-10-20,326.5,327.47,308.5,309.3,32318,1101180567,0
2023-10-27,307.49,309.49,233.49,241.49,65180,1817571604,0
2023-11-03,239.49,263.05,234.49,256.78,77849,2121486404,0
2023-11-10,258.87,288.49,258.2,271.29,66693,1994026918,0
2023-11-17,274.49,275.29,256.95,259.49,40801,1176864719,0
2023-11-24,259.99,260.93,242.94,244.19,43416,1191348846,0
2023-12-01,243.29,250.06,233.49,246.12,50867,1335159416,0
2023-12-08,246.29,250.89,227.49,245.57,76733,2036881759,0
2023-12-15,244.99,266.49,243.07,251.82,69535,1946761735,0
2023-12-22,251.78,254.16,218.32,218.32,50735,1341768114,0
