datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,16.1,16.43,15.97,16.31,23491,100676340,0
2020-01-03,16.36,16.48,16.1,16.16,20854,89129235,0
2020-01-06,16.1,16.1,15.72,15.81,27940,116899377,0
2020-01-07,15.81,15.87,15.61,15.82,20832,86585154,0
2020-01-08,15.71,15.89,15.63,15.67,12099,50426580,0
2020-01-09,15.7,15.87,15.5,15.59,31490,130084271,0
2020-01-10,15.57,15.65,15.38,15.47,32280,132690293,0
2020-01-13,15.3,15.44,14.7,15.41,54529,220517580,0
2020-01-14,15.46,15.7,15.04,15.12,50567,205004437,0
2020-01-15,15.13,15.2,14.9,14.96,33019,131785608,0
2020-01-16,15.03,15.1,14.71,14.98,27741,109965966,0
2020-01-17,15.11,15.24,14.92,14.99,29653,118705085,0
2020-01-20,15.01,15.18,14.53,14.66,43177,169699377,0
2020-01-21,14.75,14.78,14.4,14.69,36045,140256186,0
2020-01-22,14.64,14.66,14.36,14.48,40119,154929877,0
2020-01-23,14.32,14.41,13.79,14.33,57180,215168424,0
2020-02-03,12.7,13.88,12.7,13.6,42610,154847409,0
2020-02-04,13.73,14.09,13.62,13.88,28568,105958619,0
2020-02-05,13.91,14.54,13.86,14.48,38137,145358173,0
2020-02-06,14.25,14.87,14.25,14.74,33305,130421060,0
2020-02-07,14.62,14.95,14.51,14.87,25845,101809676,0
2020-02-10,14.84,15.04,14.69,14.84,26397,104416578,0
2020-02-11,14.58,15.03,14.45,14.98,38315,151580049,0
2020-02-12,14.85,15.32,14.8,14.92,27319,109212924,0
2020-02-13,14.97,14.97,14.53,14.55,18474,72157914,0
2020-02-14,14.57,14.72,14.24,14.32,21962,84811917,0
2020-02-17,14.32,14.5,14.14,14.29,31559,120723565,0
2020-02-18,14.31,14.33,14.07,14.2,26095,99063189,0
2020-02-19,14.18,14.36,14.1,14.15,21919,83426598,0
2020-02-20,14.21,15.46,14.14,15.35,58030,232017710,0
2020-02-21,15.14,15.64,15.0,15.41,43091,175866887,0
2020-02-24,15.34,16.48,15.34,16.27,45880,192762659,0
2020-02-25,15.93,17.12,15.91,16.86,55694,244071645,0
2020-02-26,16.52,17.1,16.4,16.4,30028,131942987,0
2020-02-27,16.58,17.16,16.31,17.03,39552,175532960,0
2020-02-28,16.81,17.51,16.36,16.73,42305,189067856,0
2020-03-02,16.72,16.98,16.15,16.49,44422,193200701,0
2020-03-03,16.5,16.95,16.31,16.54,33759,147234537,0
2020-03-04,16.28,17.51,16.28,17.32,48042,216590559,0
2020-03-05,17.5,18.52,17.41,18.26,43708,206644682,0
2020-03-06,18.06,18.64,18.06,18.34,22000,105103064,0
2020-03-09,17.84,18.31,17.17,17.59,30285,140642068,0
2020-03-10,17.34,18.74,17.28,18.33,32364,152639852,0
2020-03-11,18.41,19.29,18.19,18.44,36027,175874368,0
2020-03-12,18.61,18.84,18.02,18.53,31151,149123935,0
2020-03-13,17.59,18.95,17.58,18.89,37082,178200320,0
2020-03-16,18.7,18.84,17.16,17.8,26858,126797580,0
2020-03-17,17.71,18.02,16.51,17.2,39407,177093891,0
2020-03-18,17.65,17.93,16.68,16.95,29873,136329894,0
2020-03-19,16.95,17.32,15.76,16.18,51860,220722845,0
2020-03-20,16.4,16.95,15.82,16.18,35649,153240395,0
2020-03-23,16.04,16.9,15.78,16.38,44402,190961586,0
2020-03-24,16.65,17.37,16.32,17.26,42370,188759161,0
2020-03-25,17.58,17.79,16.81,16.93,46323,206944092,0
2020-03-26,16.74,17.5,16.65,17.29,35401,159553436,0
2020-03-27,17.29,18.69,17.29,18.48,52740,250868345,0
2020-03-30,18.35,18.44,17.68,18.04,43882,205864131,0
2020-03-31,18.1,19.27,17.89,19.07,44028,214251232,0
2020-04-01,19.33,19.35,18.31,18.39,29897,145227496,0
2020-04-02,18.17,18.56,17.97,18.28,29286,138783053,0
2020-04-03,18.1,18.86,18.1,18.71,21530,104176329,0
2020-04-07,18.86,19.91,18.86,19.79,29902,151492977,0
2020-04-08,19.56,19.78,19.08,19.24,26463,132086881,0
2020-04-09,19.12,20.02,19.12,20.01,28630,146287947,0
2020-04-10,20.15,21.06,20.07,20.55,42312,224784175,0
2020-04-13,20.35,21.33,20.16,21.2,29804,160396570,0
2020-04-14,21.22,21.29,20.28,20.77,54918,292143248,0
2020-04-15,20.73,20.77,20.03,20.67,36899,194210373,0
2020-04-16,21.2,21.65,20.1,20.56,91090,491954496,0
2020-04-17,20.27,20.72,19.59,19.62,61323,317228960,0
2020-04-20,19.74,20.04,19.38,19.92,27826,142471533,0
2020-04-21,19.71,20.48,19.62,20.01,26261,135563970,0
2020-04-22,20.01,20.73,19.88,20.64,30302,160369701,0
2020-04-23,20.64,20.83,20.06,20.1,27674,145380486,0
2020-04-24,20.24,20.35,19.7,20.29,18205,94527767,0
2020-04-27,20.3,20.48,19.58,20.34,23873,124105875,0
2020-04-28,20.34,20.92,19.97,20.85,31569,167869777,0
2020-04-29,20.8,20.86,19.26,19.59,45887,235619679,0
2020-04-30,19.54,19.54,18.28,18.9,61389,298146528,0
2020-05-06,18.62,19.08,18.21,18.98,57265,278679664,0
2020-05-07,18.86,19.54,18.59,19.27,49980,248784454,0
2020-05-08,19.42,19.71,18.72,19.39,51541,258410391,0
2020-05-11,19.61,19.65,18.39,18.63,64810,314599488,0
2020-05-12,18.68,19.36,18.48,19.27,42659,211135177,0
2020-05-13,19.41,19.69,19.05,19.56,43030,217247233,0
2020-05-14,19.54,19.54,18.93,19.25,29152,145375934,0
2020-05-15,19.4,19.49,18.73,19.05,27778,137188814,0
2020-05-18,19.24,19.71,18.78,19.55,61167,307197664,0
2020-05-19,19.54,19.63,18.95,19.33,50647,252813756,0
2020-05-20,19.32,19.33,18.61,18.79,44412,217748781,0
2020-05-21,18.91,19.07,18.16,18.19,41756,202006168,0
2020-05-22,18.28,18.61,17.7,17.92,64212,301527088,0
2020-05-25,17.76,19.11,17.53,18.86,59729,289118224,0
2020-05-26,19.0,19.5,18.61,19.21,45057,224865721,0
2020-05-27,19.46,19.47,18.39,18.44,47651,232352273,0
2020-05-28,18.46,19.12,18.08,18.87,47239,228931838,0
2020-05-29,18.74,19.39,18.47,19.39,61458,303405008,0
2020-06-01,19.63,20.12,19.08,19.71,76824,382434448,0
2020-06-02,19.61,20.2,19.5,19.82,52823,264999836,0
2020-06-03,19.52,19.9,19.36,19.44,42325,210113939,0
2020-06-04,19.36,20.31,19.36,20.21,47473,240221232,0
2020-06-05,20.14,20.2,19.74,19.85,37530,189777766,0
2020-06-08,19.93,20.14,19.5,19.71,44405,222259663,0
2020-06-09,19.7,20.66,19.52,20.51,48752,250252509,0
2020-06-10,20.34,20.77,20.27,20.53,25419,131919971,0
2020-06-11,20.39,20.68,19.75,20.08,38089,194514850,0
2020-06-12,19.95,20.44,19.78,20.27,26307,134446326,0
2020-06-15,20.14,20.71,19.83,19.9,43265,220706439,0
2020-06-16,19.9,20.45,19.9,20.32,28110,143506318,0
2020-06-17,20.27,20.53,20.0,20.45,27928,143415477,0
2020-06-18,20.35,20.58,19.82,20.11,27816,141329620,0
2020-06-19,20.09,20.39,19.92,20.01,33774,171933446,0
2020-06-22,20.01,20.09,19.56,19.63,37251,186401736,0
2020-06-23,19.76,20.01,19.43,19.87,42449,212881772,0
2020-06-24,19.9,19.93,19.39,19.62,35374,175693470,0
2020-06-29,19.6,19.8,19.26,19.42,25803,127573034,0
2020-06-30,19.58,20.21,19.43,20.09,33156,167372970,0
2020-07-01,20.35,20.39,19.89,20.21,29406,150070500,0
2020-07-02,20.68,20.78,19.85,20.11,79876,409359056,0
2020-07-03,20.14,20.14,19.25,19.33,88752,437158064,0
2020-07-06,19.22,19.53,19.02,19.42,66705,327236544,0
2020-07-07,19.45,20.25,19.22,20.11,81786,410553040,0
2020-07-08,20.08,20.35,19.64,19.71,69627,350602816,0
2020-07-09,19.71,20.7,19.54,20.7,105045,538535824,0
2020-07-10,20.7,20.99,20.39,20.85,83787,438824800,0
2020-07-13,21.03,22.57,21.03,22.31,136797,762200944,0
2020-07-14,22.34,23.67,21.79,23.09,123956,709350704,0
2020-07-15,23.03,24.25,22.58,23.51,87753,512593040,0
2020-07-16,23.11,23.49,21.89,21.89,70041,400190592,0
2020-07-17,22.04,23.1,22.04,22.53,47825,271693616,0
2020-07-20,22.9,23.15,22.04,22.68,47239,266938012,0
2020-07-21,22.48,23.11,22.18,23.03,45819,261232091,0
2020-07-22,22.9,23.67,22.8,23.41,49290,287480400,0
2020-07-23,23.11,23.96,23.02,23.84,53434,316219504,0
2020-07-24,23.96,23.96,22.22,22.27,44479,254571344,0
2020-07-27,22.38,22.84,22.17,22.48,32205,182468985,0
2020-07-28,22.69,23.48,22.26,23.43,33603,194700799,0
2020-07-29,23.2,23.73,22.9,23.57,31965,188005354,0
2020-07-30,23.54,24.13,23.06,23.26,28395,167515058,0
2020-07-31,23.26,24.09,22.9,24.08,34103,203372674,0
2020-08-03,24.2,24.69,23.65,23.96,35783,215269623,0
2020-08-04,23.75,24.09,23.19,23.3,40398,238122942,0
2020-08-05,23.16,23.64,23.03,23.38,31380,183693822,0
2020-08-06,23.49,23.49,22.69,22.97,36149,208808194,0
2020-08-07,22.72,23.23,22.11,22.78,30531,173835374,0
2020-08-10,22.51,22.99,22.31,22.82,16976,96710226,0
2020-08-11,22.75,23.68,22.75,23.13,30388,177724094,0
2020-08-12,23.0,23.28,22.48,23.2,27311,156565312,0
2020-08-13,23.02,23.32,22.52,22.67,24100,137550802,0
2020-08-14,22.67,24.35,22.65,23.92,44381,264820371,0
2020-08-17,24.01,24.96,23.92,24.6,49911,305278400,0
2020-08-18,24.5,26.42,24.39,26.01,62265,398933744,0
2020-08-19,26.26,26.37,25.4,25.74,38787,249452335,0
2020-08-20,25.45,25.45,24.34,24.9,39296,244220926,0
2020-08-21,25.25,26.3,25.19,26.23,47121,304186112,0
2020-08-24,26.09,26.3,25.3,25.65,30533,195622522,0
2020-08-25,25.51,25.78,25.06,25.33,21958,138744452,0
2020-08-26,25.1,25.58,24.93,25.09,17424,109589398,0
2020-08-27,25.18,25.67,24.93,25.32,27055,170906861,0
2020-08-28,25.36,26.22,25.1,26.05,34716,222946103,0
2020-08-31,25.78,26.0,24.63,25.29,42260,266227796,0
2020-09-01,25.1,25.95,25.04,25.49,47392,301899168,0
2020-09-02,25.5,26.47,25.03,26.29,42154,272200304,0
2020-09-03,26.29,27.31,26.07,26.56,47436,314745136,0
2020-09-04,25.35,25.88,24.34,24.47,62656,389000288,0
2020-09-07,24.6,24.9,22.5,22.82,77782,457542352,0
2020-09-08,22.83,23.04,22.14,22.77,59416,336671328,0
2020-09-09,22.26,22.54,21.5,22.18,39438,219408932,0
2020-09-10,22.72,22.72,21.65,21.95,66995,371032896,0
2020-09-11,21.57,22.14,21.41,21.89,43510,238856409,0
2020-09-14,21.99,22.31,21.58,22.06,61058,337855408,0
2020-09-15,21.6,22.64,21.6,22.64,38512,216925721,0
2020-09-16,22.73,22.78,21.98,22.37,36561,205704827,0
2020-09-17,22.47,22.51,21.86,22.15,29465,164044007,0
2020-09-18,21.98,23.14,21.92,22.99,32477,185381314,0
2020-09-21,22.9,23.2,22.39,22.63,22092,125828019,0
2020-09-22,22.68,22.76,22.18,22.35,27955,157763778,0
2020-09-23,22.73,22.73,21.97,22.68,18560,104914392,0
2020-09-24,22.35,22.65,21.8,22.14,19159,106916687,0
2020-09-25,22.26,22.48,21.82,22.02,13436,74802299,0
2020-09-28,22.16,23.74,22.03,23.37,44563,259520622,0
2020-09-29,23.44,24.39,23.25,23.73,33447,200797080,0
2020-09-30,24.01,24.07,23.33,23.79,19559,116122861,0
2020-10-09,24.22,24.22,23.33,24.08,24711,147802101,0
2020-10-12,25.37,25.57,23.82,24.51,64448,394270784,0
2020-10-13,24.22,24.6,23.91,24.07,27053,163233486,0
2020-10-14,24.09,24.96,23.84,24.86,33420,205795382,0
2020-10-15,24.86,25.61,24.66,25.23,27607,173330251,0
2020-10-16,25.23,25.58,24.71,24.86,21167,131919837,0
2020-10-19,24.81,24.94,24.39,24.5,13041,80334660,0
2020-10-20,24.39,25.88,24.39,25.79,41718,264403963,0
2020-10-21,25.98,26.52,25.5,25.92,26526,171324059,0
2020-10-22,25.91,26.08,25.01,25.97,26259,167382003,0
2020-10-23,26.01,26.01,24.9,25.03,22300,140983908,0
2020-10-26,25.24,25.68,24.64,25.64,30166,189703738,0
2020-10-27,25.62,25.67,25.08,25.5,18108,114607181,0
2020-10-28,25.61,26.32,25.37,26.13,25160,162998587,0
2020-10-29,26.03,26.69,25.84,26.38,18712,122577820,0
2020-10-30,26.24,26.35,25.36,25.49,19141,122647120,0
2020-11-02,25.5,26.22,25.24,25.86,28714,183889835,0
2020-11-03,25.93,26.0,25.25,25.47,26273,167005844,0
2020-11-04,25.66,25.75,25.24,25.57,23721,151271852,0
2020-11-05,25.88,26.38,25.58,26.26,20419,132508408,0
2020-11-06,26.65,26.81,25.28,25.56,20654,132269942,0
2020-11-09,25.95,26.19,24.39,24.63,45158,282022208,0
2020-11-10,24.39,24.9,23.58,24.64,35542,216999484,0
2020-11-11,24.63,24.86,24.35,24.4,20913,128780405,0
2020-11-12,24.73,24.93,24.19,24.47,17620,108102596,0
2020-11-13,24.39,24.58,23.69,24.41,22124,133499545,0
2020-11-16,24.22,24.39,23.84,24.05,15173,91324068,0
2020-11-17,23.94,24.23,23.54,23.93,27098,161945534,0
2020-11-18,24.0,24.53,23.8,24.43,20621,125522370,0
2020-11-19,24.57,25.62,24.11,25.54,35438,222406769,0
2020-11-20,25.88,26.51,25.58,26.26,28996,189186828,0
2020-11-23,26.18,26.64,25.87,26.09,25758,168039398,0
2020-11-24,26.09,26.25,25.63,25.91,24390,157097872,0
2020-11-25,25.86,25.87,24.56,24.69,26657,165855786,0
2020-11-26,23.5,24.75,23.5,24.34,39503,239152805,0
2020-11-27,24.66,25.19,24.38,24.87,36762,227895459,0
2020-11-30,25.24,25.24,23.88,23.96,54297,330421120,0
2020-12-01,24.18,24.93,24.02,24.82,49492,304775088,0
2020-12-02,25.11,25.11,24.33,24.94,27182,168270193,0
2020-12-03,25.17,25.2,24.73,25.03,28881,180375987,0
2020-12-04,25.19,25.78,24.73,24.98,52166,328068752,0
2020-12-07,25.02,25.36,24.31,24.46,51304,316422608,0
2020-12-08,24.61,25.09,24.47,24.96,25367,157578866,0
2020-12-09,24.96,25.13,24.01,24.03,22464,137491875,0
2020-12-10,23.78,24.54,23.76,24.16,24493,148386256,0
2020-12-11,24.2,24.65,23.98,24.09,25680,156662327,0
2020-12-14,24.13,24.7,24.1,24.47,25044,153082941,0
2020-12-15,24.43,25.09,24.33,24.84,17954,111349850,0
2020-12-16,24.62,24.87,24.18,24.58,19635,120376567,0
2020-12-17,24.58,24.85,24.24,24.29,20670,126643166,0
2020-12-18,24.3,24.47,23.85,24.47,24114,145191048,0
2020-12-21,24.22,24.3,22.74,23.88,36798,217719281,0
2020-12-22,23.68,23.77,22.85,22.85,41219,240190431,0
2020-12-23,23.07,23.11,22.36,22.68,29031,164977734,0
2020-12-24,22.65,22.77,22.08,22.11,20975,118168978,0
2020-12-25,22.12,22.77,22.08,22.16,22846,128680426,0
2020-12-28,22.26,22.77,22.16,22.77,30796,174776590,0
2020-12-29,22.68,23.63,22.65,23.61,29484,172162425,0
2020-12-30,23.33,24.22,23.33,24.05,33081,198052289,0
2020-12-31,23.85,24.35,23.18,23.58,27461,162338071,0
2021-01-04,23.54,24.05,23.2,23.79,32690,195507324,0
2021-01-05,23.88,24.93,23.79,24.76,48985,298434576,0
2021-01-06,24.79,25.03,23.97,24.71,40106,245485862,0
2021-01-07,24.6,24.9,23.75,24.76,34248,208631568,0
2021-01-08,24.87,25.26,24.09,24.53,35015,215256851,0
2021-01-11,24.73,25.15,24.1,24.33,43902,269960080,0
2021-01-12,23.75,23.96,22.48,23.51,65548,381476016,0
2021-01-13,23.96,23.96,22.21,22.47,51068,292049776,0
2021-01-14,22.56,22.87,22.27,22.85,41477,236065271,0
2021-01-15,22.68,22.76,21.98,22.39,34958,197098463,0
2021-01-18,22.27,22.54,21.7,21.95,43938,242684233,0
2021-01-19,21.97,22.25,21.8,21.96,32980,182509832,0
2021-01-20,21.75,22.69,21.75,22.69,36554,205937116,0
2021-01-21,22.6,22.9,22.2,22.6,33119,188684954,0
2021-01-22,22.52,23.05,22.35,22.63,40213,229218305,0
2021-01-25,22.26,22.92,21.9,22.48,45077,254427442,0
2021-01-26,22.51,22.59,21.51,21.7,36242,199332740,0
2021-01-27,21.7,22.66,21.46,22.6,51755,287263792,0
