datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,16.1,16.48,13.79,14.33,541016,2172523790,0
2020-02-29,12.7,17.51,12.7,16.73,695085,2805050375,0
2020-03-31,16.72,19.29,15.76,19.07,851633,3896640674,0
2020-04-30,19.33,21.65,17.97,18.9,775040,4002827821,0
2020-05-31,18.62,19.71,17.53,19.39,889543,4371387676,0
2020-06-30,19.63,20.77,19.08,20.09,774873,3911754822,0
2020-07-31,20.35,24.25,19.02,24.08,1471888,8040873761,0
2020-08-31,24.2,26.42,22.11,25.29,728723,4459209409,0
2020-09-30,25.1,27.31,21.41,23.79,883623,5157933828,0
2020-10-31,24.22,26.69,23.33,25.49,439537,2753314880,0
2020-11-30,25.5,26.81,23.5,23.96,595831,3715198128,0
2020-12-31,24.18,25.78,22.08,23.58,686137,4131741749,0
2021-01-31,23.54,25.26,21.46,22.17,794797,4593283356,0
2021-02-28,21.98,23.36,20.8,22.23,510116,2842725023,0
2021-03-31,21.92,22.26,17.54,18.79,741533,3610064541,0
2021-04-30,18.73,20.79,18.13,19.39,648179,3201299478,0
2021-05-31,19.42,21.38,18.17,19.67,655082,2431885101,0
2021-06-30,19.71,19.78,17.42,17.45,561859,1869521896,0
2021-07-31,17.45,17.52,14.24,15.34,849830,2446786698,0
2021-08-31,15.25,19.22,14.53,15.07,1095341,3324949280,0
2021-09-30,15.07,17.0,14.71,16.18,531480,1515685505,0
2021-10-31,16.17,17.88,14.71,17.63,734639,2103971467,0
2021-11-30,17.26,19.22,15.78,17.22,1217995,3729027295,0
2021-12-31,17.3,18.52,15.5,15.78,1001452,3024440926,0
2022-01-31,15.77,16.17,14.06,14.37,872708,2415627378,0
2022-02-28,14.39,14.89,13.39,13.68,365889,950880118,0
2022-03-31,13.65,14.71,10.37,10.86,1081377,2349491338,0
2022-04-30,10.74,12.27,9.85,10.63,1486631,2656603382,0
2022-05-31,10.48,12.11,10.25,11.98,1337029,1892617079,0
2022-06-30,11.92,13.21,11.31,13.03,1793070,2782788992,0
2022-07-31,13.11,13.69,10.74,10.93,1759807,2650879634,0
2022-08-31,10.92,11.67,10.24,10.95,1364870,1902864222,0
2022-09-30,10.94,11.29,9.42,10.36,1364770,1820970513,0
2022-10-31,10.3,10.69,8.4,8.62,1007744,1280994669,0
2022-11-30,8.62,11.24,8.57,10.15,1514369,1953983689,0
2022-12-31,10.5,13.4,10.37,12.07,2673579,4237172692,0
2023-01-31,12.06,13.2,11.5,13.17,1393092,2207593443,0
2023-02-28,13.17,14.21,12.19,13.92,2052910,3444449245,0
2023-03-31,14.0,14.35,11.75,12.21,1317711,2143755754,0
2023-04-30,12.13,12.7,10.6,11.03,1413714,1998043034,0
2023-05-31,10.95,11.16,9.94,10.02,1350078,1474736797,0
2023-06-30,10.03,10.52,9.55,9.69,1155925,1207131823,0
2023-07-31,9.72,10.22,9.01,10.12,1932015,1947131295,0
2023-08-31,10.16,10.42,7.96,8.29,2378584,2245540486,0
2023-09-30,8.32,8.7,7.95,7.97,1734471,1517395429,0
2023-10-31,7.96,8.44,7.43,8.31,1882129,1577733775,0
2023-11-30,8.42,8.42,7.82,7.89,1598588,1368331664,0
2023-12-31,7.89,7.92,6.84,7.23,2027756,1568155926,0
2024-01-31,7.23,7.33,6.1,6.1,2293113,1651673836,0
2024-02-29,6.1,6.9,5.25,6.58,2551852,1701291815,0
2024-03-31,6.57,6.71,5.73,5.84,2429850,1627127924,0
2024-04-30,5.86,6.06,5.5,5.88,2475575,1522381561,0
2024-05-31,5.97,6.38,5.71,5.72,2412533,1520345299,0
2024-06-30,5.73,5.74,4.8,4.82,2165193,1190786841,0
2024-07-31,4.82,5.3,4.59,5.29,1901694,991663701,0
2024-08-31,5.3,5.7,4.9,5.25,2323652,1283271625,0
2024-09-30,5.22,6.54,4.7,6.5,2237941,1249517923,0
2024-10-31,7.12,7.16,5.82,5.86,3522440,2237100873,0
2024-11-30,5.85,6.73,5.74,6.3,3701746,2347706783,0
2024-12-31,6.33,8.05,6.15,6.47,11602707,8311288419,0
2025-01-31,6.47,6.85,5.46,5.65,4067931,2484985994,0
2025-02-28,5.67,6.01,5.55,5.78,4298550,2526260605,0
2025-03-31,5.81,6.24,5.55,5.58,4348650,2587744236,0
2025-04-30,5.58,6.05,5.14,5.43,6157830,3544620460,0
2025-05-31,5.45,5.66,5.39,5.51,2768880,1529976395,0
2025-06-30,5.45,5.68,5.27,5.4,2422767,1323459531,0
2025-07-31,5.41,5.71,5.38,5.49,3216183,1782483115,0
2025-08-31,5.48,5.75,5.43,5.62,3772800,2114021839,0
2025-09-30,5.65,5.95,5.33,5.4,5018084,2851798982,0
2025-10-31,5.39,5.51,5.36,5.45,1949457,1061425711,0
2025-11-30,5.46,5.9,5.41,5.52,3657038,2060666030,0
2025-12-31,5.52,5.64,5.2,5.26,3813406,2051868476,0
2026-01-31,5.26,5.37,5.24,5.36,661285,352035773,0
