datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,16.1,16.48,15.97,16.16,44345,189805575,0
2020-01-10,16.1,16.1,15.38,15.47,124641,516685675,0
2020-01-17,15.3,15.7,14.7,14.99,195509,785978676,0
2020-01-24,15.01,15.18,13.79,14.33,176521,680053864,0
2020-02-07,12.7,14.95,12.7,14.87,168465,638394937,0
2020-02-14,14.84,15.32,14.24,14.32,132467,522179382,0
2020-02-21,14.32,15.64,14.07,15.41,180694,711097949,0
2020-02-28,15.34,17.51,15.34,16.73,213459,933378107,0
2020-03-06,16.72,18.64,16.15,18.34,191931,868773543,0
2020-03-13,17.84,19.29,17.17,18.89,166909,796480543,0
2020-03-20,18.7,18.84,15.76,16.18,183647,814184605,0
2020-03-27,16.04,18.69,15.78,18.48,221236,997086620,0
2020-04-03,18.35,19.35,17.68,18.71,168623,808302241,0
2020-04-10,18.86,21.06,18.86,20.55,127307,654651980,0
2020-04-17,20.35,21.65,19.59,19.62,274034,1455933647,0
2020-04-24,19.74,20.83,19.38,20.29,130268,678313457,0
2020-05-01,20.3,20.92,18.28,18.9,162718,825741859,0
2020-05-08,18.62,19.71,18.21,19.39,158786,785874509,0
2020-05-15,19.61,19.69,18.39,19.05,207429,1025546646,0
2020-05-22,19.24,19.71,17.7,17.92,262194,1281293457,0
2020-05-29,17.76,19.5,17.53,19.39,261134,1278673064,0
2020-06-05,19.63,20.31,19.08,19.85,256975,1287547221,0
2020-06-12,19.93,20.77,19.5,20.27,182972,933393319,0
2020-06-19,20.14,20.71,19.82,20.01,160893,820891300,0
2020-06-26,20.01,20.09,19.39,19.62,115074,574976978,0
2020-07-03,19.6,20.78,19.25,19.33,256993,1291533624,0
2020-07-10,19.22,20.99,19.02,20.85,406950,2065753024,0
2020-07-17,21.03,24.25,21.03,22.53,466372,2656028896,0
2020-07-24,22.9,23.96,22.04,22.27,240261,1386441351,0
2020-07-31,22.38,24.13,22.17,24.08,160271,936062870,0
2020-08-07,24.2,24.69,22.11,22.78,174241,1019729955,0
2020-08-14,22.51,24.35,22.31,23.92,143156,833370805,0
2020-08-21,24.01,26.42,23.92,26.23,237380,1502071517,0
2020-08-28,26.09,26.3,24.93,26.05,131686,837809336,0
2020-09-04,25.78,27.31,24.34,24.47,241898,1544072692,0
2020-09-11,24.6,24.9,21.41,21.89,287141,1623511917,0
2020-09-18,21.99,23.14,21.58,22.99,198073,1109911277,0
2020-09-25,22.9,23.2,21.8,22.02,101202,570225175,0
2020-10-02,22.16,24.39,22.03,23.79,97569,576440563,0
2020-10-09,24.22,24.22,23.33,24.08,24711,147802101,0
2020-10-16,25.37,25.61,23.82,24.86,173695,1068549740,0
2020-10-23,24.81,26.52,24.39,25.03,129844,824428593,0
2020-10-30,25.24,26.69,24.64,25.49,111287,712534446,0
2020-11-06,25.5,26.81,25.24,25.56,119781,766945881,0
2020-11-13,25.95,26.19,23.58,24.41,141357,869404238,0
2020-11-20,24.22,26.51,23.54,26.26,127326,790385569,0
2020-11-27,26.18,26.64,23.5,24.87,153070,958041320,0
2020-12-04,25.24,25.78,23.88,24.98,212018,1311911140,0
2020-12-11,25.02,25.36,23.76,24.09,149308,916541932,0
2020-12-18,24.13,25.09,23.85,24.47,107417,656643572,0
2020-12-25,24.22,24.3,22.08,22.16,150869,869736850,0
2021-01-01,22.26,24.35,22.16,23.58,120822,707329375,0
2021-01-08,23.54,25.26,23.2,24.53,191044,1163316181,0
2021-01-15,24.73,25.15,21.98,22.39,236953,1376649606,0
2021-01-22,22.27,23.05,21.7,22.63,186804,1049034440,0
2021-01-29,22.26,22.92,21.46,22.17,179996,1004283129,0
2021-02-05,21.98,23.2,21.47,22.94,160952,907216625,0
2021-02-12,23.01,23.36,22.18,22.43,90441,512878272,0
2021-02-19,22.65,22.99,22.07,22.54,54634,308528145,0
2021-02-26,22.48,22.68,20.8,22.23,204089,1114101981,0
2021-03-05,21.92,22.26,19.39,20.43,184345,960169301,0
2021-03-12,20.35,20.48,18.4,18.6,150000,733668003,0
2021-03-19,18.44,18.7,17.54,17.73,139784,644725736,0
2021-03-26,17.91,19.25,17.88,18.91,175989,838960407,0
2021-04-02,18.91,18.98,18.24,18.42,130220,616847244,0
2021-04-09,18.42,19.66,18.13,19.29,144290,695804803,0
2021-04-16,18.95,20.79,18.86,19.85,210902,1067927462,0
2021-04-23,19.71,20.07,18.86,19.29,140733,698285053,0
2021-04-30,19.23,20.0,18.61,19.39,113449,554976010,0
2021-05-07,19.42,19.57,18.17,18.59,68924,331041916,0
2021-05-14,18.59,20.52,18.33,19.22,173324,628395173,0
2021-05-21,19.37,21.38,19.22,19.59,221404,796469914,0
2021-05-28,19.59,20.43,19.27,19.72,157618,559046828,0
2021-06-04,19.59,19.78,19.18,19.59,146471,506310516,0
2021-06-11,19.6,19.67,18.15,18.84,111354,373188079,0
2021-06-18,18.84,19.42,18.23,18.88,100891,337700377,0
2021-06-25,18.88,19.32,17.63,18.11,161980,530644984,0
2021-07-02,18.09,18.26,16.9,17.24,141039,442082329,0
2021-07-09,17.24,17.45,15.95,16.17,128446,381479586,0
2021-07-16,15.96,17.0,15.61,16.32,160843,471257500,0
2021-07-23,15.98,16.72,15.36,16.25,185240,536917873,0
2021-07-30,16.2,16.29,14.24,15.34,309237,853658620,0
2021-08-06,15.25,17.44,14.96,16.82,261749,776969562,0
2021-08-13,16.9,19.22,16.56,16.94,323679,1035399447,0
2021-08-20,17.09,18.5,16.5,16.56,246892,776369389,0
