datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,20.76,23.44,20.73,22.8,76312,363077190,0
2020-01-03,22.66,23.13,21.99,22.31,55919,267488214,0
2020-01-06,22.07,24.5,21.62,24.01,73130,361232408,0
2020-01-07,23.93,25.07,23.34,24.03,52865,266725954,0
2020-01-08,23.59,27.92,23.41,25.19,83431,438447908,0
2020-01-09,26.23,27.98,25.55,25.74,55150,297499521,0
2020-01-10,26.01,28.76,25.5,28.76,71192,391919447,0
2020-01-13,28.87,29.63,27.77,29.54,45867,259820464,0
2020-01-14,29.59,30.14,27.95,28.31,53818,304479348,0
2020-01-15,28.17,28.93,26.01,27.64,52534,285258276,0
2020-01-16,27.51,28.67,27.0,28.66,53117,295839437,0
2020-01-17,29.21,34.71,29.21,32.51,92195,567742946,0
2020-01-20,32.57,37.44,30.34,36.3,88317,566698784,0
2020-01-21,34.74,37.5,34.08,34.98,48954,323193079,0
2020-01-22,33.64,39.01,33.64,38.24,58928,396610609,0
2020-01-23,37.54,44.5,36.16,40.44,85647,624506446,0
2020-02-03,31.01,39.01,31.01,32.01,89878,590007253,0
2020-02-04,34.01,39.86,33.73,39.77,87623,598385490,0
2020-02-05,41.16,43.14,37.44,39.13,83580,605517644,0
2020-02-06,37.66,40.36,37.59,39.09,55197,391022612,0
2020-02-07,39.59,39.59,36.44,39.09,55794,389999884,0
2020-02-10,38.97,42.81,37.81,41.13,65314,476437939,0
2020-02-11,40.09,41.09,37.61,37.63,46895,331767554,0
2020-02-12,37.41,39.01,35.92,37.64,58344,400262822,0
2020-02-13,37.66,39.91,36.3,37.23,49020,343107736,0
2020-02-14,36.77,39.16,36.66,37.84,43828,305133442,0
2020-02-17,37.88,39.73,36.79,39.34,55069,386132877,0
2020-02-18,39.59,43.21,38.95,41.56,54254,404849152,0
2020-02-19,41.59,42.36,37.36,39.37,71006,508975312,0
2020-02-20,39.23,40.22,37.23,38.3,36114,253375187,0
2020-02-21,37.67,38.71,37.31,37.44,33766,234369677,0
2020-02-24,36.91,36.91,33.75,34.07,64647,418201496,0
2020-02-25,32.58,35.43,31.89,34.24,46036,294614316,0
2020-02-26,34.95,37.14,34.01,34.89,53037,351462571,0
2020-02-27,35.44,36.14,31.59,32.43,44741,277833268,0
2020-02-28,30.31,31.44,29.2,29.2,42805,249733615,0
2020-03-02,30.16,31.41,29.01,31.01,28856,169729966,0
2020-03-03,31.87,33.66,31.55,31.8,41113,255084190,0
2020-03-04,32.08,32.08,29.87,30.62,28710,170355792,0
2020-03-05,31.51,32.01,30.09,30.94,27625,165093505,0
2020-03-06,30.42,30.69,29.73,30.01,19103,111853507,0
2020-03-09,29.23,29.79,25.85,25.88,38752,213679502,0
2020-03-10,24.51,27.22,23.91,27.02,39629,207289940,0
2020-03-11,26.91,28.93,26.91,27.19,36431,202590382,0
