datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,20.76,44.5,20.73,40.44,1047376,6010540031,0
2020-02-29,31.01,43.21,29.2,29.2,1136948,7811189847,0
2020-03-31,30.16,33.66,17.95,18.88,659817,3403705159,0
2020-04-30,18.57,27.43,18.22,27.23,742597,3491120041,0
2020-05-31,26.51,29.44,21.87,24.01,690751,3657687743,0
2020-06-30,24.49,41.64,24.04,39.5,1065553,6583419962,0
2020-07-31,38.79,66.56,36.33,60.29,1035273,9112870635,0
2020-08-31,61.68,77.2,53.11,68.59,557896,5812258266,0
2020-09-30,68.59,73.5,49.74,57.94,461411,4546866392,0
2020-10-31,60.21,80.57,52.37,75.96,584358,6080548537,0
2020-11-30,79.01,96.11,74.71,87.22,894705,12158889184,0
2020-12-31,87.36,99.91,77.68,97.46,843907,11735841680,0
2021-01-31,98.06,140.21,90.68,135.93,828415,13917245280,0
2021-02-28,131.64,175.89,117.36,129.22,591903,12396786080,0
2021-03-31,132.05,138.43,107.51,138.34,739213,13964847136,0
2021-04-30,135.3,138.43,100.11,113.34,717610,12710145698,0
2021-05-31,110.21,118.07,93.39,115.93,495740,8083328642,0
2021-06-30,112.51,147.27,100.21,139.2,768437,13926259440,0
2021-07-31,139.2,139.56,99.79,105.91,875178,15665841504,0
2021-08-31,105.53,122.23,89.47,94.91,674068,11074875872,0
2021-09-30,94.21,100.27,85.71,90.27,504186,7252823603,0
2021-10-31,90.99,110.99,86.06,102.41,392141,5877734516,0
2021-11-30,103.11,120.99,92.54,109.04,601909,9781123524,0
2021-12-31,107.41,107.61,95.81,101.63,508363,7993692546,0
2022-01-31,101.41,106.23,83.91,86.29,529704,7638643203,0
2022-02-28,86.31,89.99,77.65,86.29,306409,4021887324,0
2022-03-31,86.55,86.62,56.98,57.85,594332,6342135272,0
2022-04-30,57.89,58.99,44.31,49.99,459846,4008115948,0
2022-05-31,50.02,57.54,44.56,52.38,573630,4903202898,0
2022-06-30,52.06,65.69,51.24,54.36,1037502,9952057424,0
2022-07-31,54.39,56.69,40.25,41.24,917306,7052700360,0
2022-08-31,40.99,50.39,37.99,39.39,1747304,12937122259,0
2022-09-30,39.56,40.4,30.2,32.17,895985,5646312888,0
2022-10-31,32.31,37.17,28.49,35.01,496442,2992429680,0
2022-11-30,35.12,48.7,33.86,46.16,883611,6393112422,0
2022-12-31,46.34,51.48,43.49,47.43,636782,5067455687,0
2023-01-31,48.2,57.39,43.71,51.72,547008,4469082316,0
2023-02-28,51.72,59.61,47.74,48.26,441164,3882050703,0
2023-03-31,47.83,73.51,47.26,62.91,1343243,13224666762,0
2023-04-30,66.34,92.41,58.56,68.49,2753628,30793646778,0
2023-05-31,71.04,86.77,66.34,81.74,1446649,17053793486,0
2023-06-30,80.82,103.34,78.7,96.91,1152009,15921754762,0
2023-07-31,96.76,97.27,76.27,79.58,951991,12528627701,0
2023-08-31,81.2,98.79,78.04,96.79,815621,10691911909,0
2023-09-30,95.84,98.91,84.56,96.01,539655,7522353025,0
2023-10-31,96.01,98.54,85.44,87.74,477909,6671827582,0
2023-11-30,87.09,91.61,72.4,73.11,930937,11623914981,0
2023-12-31,73.12,93.54,72.83,92.91,819988,10195469383,0
2024-01-31,92.56,100.46,84.69,91.66,703883,9557599804,0
2024-02-29,91.68,111.05,90.51,107.41,646245,9718786180,0
2024-03-31,107.43,117.77,105.61,114.25,711305,11732988846,0
2024-04-30,114.06,122.04,96.91,96.91,882842,13965910329,0
2024-05-31,97.94,102.26,84.74,87.63,1192285,16589105845,0
2024-06-30,87.63,88.34,72.36,72.74,1273398,11647628593,0
2024-07-31,72.2,81.1,67.2,77.06,1698875,13289906779,0
2024-08-31,76.87,82.16,69.7,76.2,1199799,9486650680,0
2024-09-30,76.2,105.05,70.4,104.13,1657428,13876006866,0
2024-10-31,125.7,125.71,83.25,91.7,2541836,25016644279,0
2024-11-30,90.7,100.9,80.24,92.42,2270781,21382357309,0
2024-12-31,90.83,98.69,86.91,92.7,1682729,15836707468,0
2025-01-31,92.66,99.6,83.7,98.09,1115740,10398784357,0
2025-02-28,102.15,111.21,90.03,90.39,1747403,17753035411,0
2025-03-31,90.39,101.84,86.82,88.35,1413004,13671524705,0
2025-04-30,88.31,88.64,69.48,72.62,1513273,12539727395,0
2025-05-31,73.7,78.25,69.83,70.39,842520,6448465496,0
2025-06-30,70.19,80.29,69.6,78.9,1298243,9967050374,0
2025-07-31,78.87,78.87,72.06,75.43,1352503,10225394351,0
2025-08-31,75.34,90.19,75.3,89.21,2178842,18334138470,0
2025-09-30,90.2,104.9,79.2,94.2,3744180,34808494908,0
2025-10-31,94.34,94.68,73.84,76.3,2145264,17289146462,0
2025-11-30,76.21,76.21,60.6,64.11,2687109,17851030242,0
2025-12-31,64.21,76.2,64.21,66.16,3930601,27247025753,0
2026-01-31,66.16,69.12,65.3,68.2,681050,4594866700,0
