datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,20.76,23.44,20.73,22.31,132231,630565404,0
2020-01-10,22.07,28.76,21.62,28.76,335768,1755825238,0
2020-01-17,28.87,34.71,26.01,32.51,297531,1713140471,0
2020-01-24,32.57,44.5,30.34,40.44,281846,1911008918,0
2020-02-07,31.01,43.14,31.01,39.09,372072,2574932883,0
2020-02-14,38.97,42.81,35.92,37.84,263401,1856709493,0
2020-02-21,37.88,43.21,36.79,37.44,250209,1787702205,0
2020-02-28,36.91,37.14,29.2,29.2,251266,1591845266,0
2020-03-06,30.16,33.66,29.01,30.01,145407,872116960,0
2020-03-13,29.23,29.79,22.95,24.43,167937,894230716,0
2020-03-20,24.98,25.46,20.89,24.19,158425,779173401,0
2020-03-27,22.94,23.55,19.94,21.74,116727,551796280,0
2020-04-03,20.44,20.8,17.95,19.58,147910,642218846,0
2020-04-10,20.61,21.76,19.61,19.95,108004,489473562,0
2020-04-17,19.37,20.19,18.22,19.71,117178,504561806,0
2020-04-24,19.94,26.15,18.64,24.68,218133,1044723549,0
2020-05-01,24.94,27.43,19.09,27.23,222693,1116530080,0
2020-05-08,26.51,29.44,26.06,28.18,181957,999912921,0
2020-05-15,28.3,28.87,25.91,27.24,173159,941128725,0
2020-05-22,27.23,27.96,23.87,23.92,182747,969296958,0
2020-05-29,23.94,25.09,21.87,24.01,152888,747349139,0
2020-06-05,24.49,32.34,24.04,31.49,264106,1472927166,0
2020-06-12,32.05,35.33,28.79,29.14,284321,1744795940,0
2020-06-19,28.36,35.5,27.63,33.12,232725,1405996788,0
2020-06-26,33.94,41.64,33.8,38.56,205559,1399565330,0
2020-07-03,38.36,41.56,36.33,38.71,228093,1587733769,0
2020-07-10,38.72,49.16,37.39,47.46,250668,1951537049,0
2020-07-17,46.64,65.61,46.37,51.99,243198,2282300388,0
2020-07-24,53.77,66.56,44.77,57.93,249154,2389926710,0
2020-07-31,57.09,65.0,57.04,60.29,143002,1461507457,0
2020-08-07,61.68,77.2,59.51,63.76,194620,2139289076,0
2020-08-14,62.51,65.84,53.81,57.96,143626,1419321389,0
2020-08-21,59.09,60.02,53.11,57.32,78841,756522610,0
2020-08-28,57.01,70.52,57.01,68.32,117123,1234675541,0
2020-09-04,68.08,73.5,54.49,58.03,130394,1353532304,0
2020-09-11,58.51,66.84,55.62,65.34,96063,975967154,0
2020-09-18,67.04,67.99,54.71,58.61,105442,1048727701,0
2020-09-25,58.18,60.75,50.72,51.23,86044,811727601,0
2020-10-02,51.83,58.21,49.74,57.94,67154,619361282,0
