datetime,open,high,low,close,volume,turnover,open_interest
2020-07-20,250.0,295.0,205.6,212.4,242490,5648282823,0
2020-07-21,208.0,285.6,202.0,274.0,175891,4294129852,0
2020-07-22,260.0,284.33,257.77,281.0,127046,3451125139,0
2020-07-23,274.92,297.77,268.0,281.5,99225,2792099849,0
2020-07-24,273.0,276.0,240.44,259.33,113868,2941139825,0
2020-07-27,252.28,257.9,227.94,234.01,83416,2022673248,0
2020-07-28,236.0,243.8,227.5,238.64,59880,1413404535,0
2020-07-29,234.53,245.78,229.66,241.5,54790,1313682351,0
2020-07-30,240.0,254.99,236.36,243.17,61841,1517629697,0
2020-07-31,238.01,255.55,237.1,249.6,56339,1393297571,0
2020-08-03,250.01,257.88,247.01,249.5,69731,1761190268,0
2020-08-04,250.97,252.88,232.99,235.0,59103,1424481020,0
2020-08-05,246.0,246.0,236.79,236.92,40828,985212184,0
2020-08-06,233.96,247.45,231.8,243.83,50147,1211648787,0
2020-08-07,240.98,240.98,223.37,227.44,48547,1119609716,0
2020-08-10,219.99,225.89,218.0,222.5,25177,556920400,0
2020-08-11,220.88,226.3,219.1,221.49,22440,499633183,0
2020-08-12,220.33,222.0,213.5,217.76,20285,438072864,0
2020-08-13,219.0,219.6,212.0,212.5,17451,376129254,0
2020-08-14,212.33,213.9,207.5,212.68,16536,348869120,0
2020-08-17,213.0,219.8,209.68,219.08,20576,443730208,0
2020-08-18,219.18,219.18,212.3,213.81,18410,395080689,0
2020-08-19,213.88,214.5,204.87,205.2,19700,411544224,0
2020-08-20,204.0,207.27,200.11,201.51,16346,331514787,0
2020-08-21,202.5,205.62,201.11,204.95,10831,220200893,0
2020-08-24,206.3,207.84,196.5,197.9,20423,407457568,0
2020-08-25,198.38,199.88,189.66,189.98,26482,513435433,0
2020-08-26,189.66,190.92,173.51,176.4,39258,711556544,0
2020-08-27,177.2,188.87,170.51,182.56,32646,586585063,0
2020-08-28,177.73,177.88,168.02,174.28,35150,604560558,0
2020-08-31,173.0,177.2,170.0,170.0,22035,383028320,0
2020-09-01,170.21,173.8,169.03,171.18,15944,273454844,0
2020-09-02,170.99,172.35,167.12,167.76,14696,248042528,0
2020-09-03,167.9,172.56,164.28,170.09,25848,437472224,0
2020-09-04,166.78,182.3,166.78,174.53,34323,606804208,0
2020-09-07,170.4,172.8,163.52,163.52,28288,473632336,0
2020-09-08,163.51,163.51,160.01,160.86,14652,236398576,0
2020-09-09,159.0,165.9,155.0,160.68,22431,359908876,0
2020-09-10,162.0,165.77,157.33,157.58,14549,235198490,0
2020-09-11,158.07,162.89,155.55,161.96,13742,219382706,0
