datetime,open,high,low,close,volume,turnover,open_interest
2020-07-24,250.0,297.77,202.0,259.33,758520,19126777488,0
2020-07-31,252.28,257.9,227.5,249.6,316266,7660687402,0
2020-08-07,250.01,257.88,223.37,227.44,268356,6502141975,0
2020-08-14,219.99,226.3,207.5,212.68,101889,2219624821,0
2020-08-21,213.0,219.8,200.11,204.95,85863,1802070801,0
2020-08-28,206.3,207.84,168.02,174.28,153959,2823595166,0
2020-09-04,173.0,182.3,164.28,174.53,112846,1948802124,0
2020-09-11,170.4,172.8,155.0,161.96,93662,1524520984,0
2020-09-18,164.0,178.0,161.26,174.26,98028,1663273136,0
2020-09-25,173.99,176.88,161.52,162.45,57297,967423230,0
2020-10-02,162.45,163.5,156.5,160.19,25071,401618242,0
2020-10-09,164.0,164.98,163.07,163.73,6988,114628812,0
2020-10-16,164.94,175.65,164.03,171.4,70191,1203038385,0
2020-10-23,172.2,189.98,172.01,172.01,125350,2273842624,0
2020-10-30,170.02,193.88,166.56,187.08,110621,2025822911,0
2020-11-06,187.01,193.38,178.0,188.7,99662,1846847433,0
2020-11-13,190.02,202.99,175.8,179.2,101172,1913411299,0
2020-11-20,179.58,182.18,166.71,169.77,52071,894266246,0
2020-11-27,168.65,172.84,161.24,163.99,39941,667149357,0
2020-12-04,165.0,171.69,164.1,166.42,42003,704998494,0
2020-12-11,168.36,170.89,158.19,163.22,47865,780133259,0
2020-12-18,162.0,163.0,154.1,159.66,35377,561317172,0
2020-12-25,160.5,163.6,149.48,149.5,42643,668791157,0
2021-01-01,149.29,149.5,136.08,146.78,46267,652252660,0
2021-01-08,146.78,156.0,141.51,146.48,51847,770764382,0
2021-01-15,145.51,163.96,145.4,155.1,78272,1215795966,0
2021-01-22,154.0,172.0,143.43,162.36,126276,2013774421,0
2021-01-29,161.2,180.79,152.0,153.6,119711,2013285465,0
2021-02-05,150.5,156.54,137.81,137.89,53291,775719174,0
2021-02-12,138.0,148.0,136.12,145.84,28321,406500264,0
2021-02-19,146.0,152.85,146.0,151.27,18929,283363563,0
2021-02-26,151.25,154.9,137.19,144.02,43568,633274111,0
2021-03-05,144.8,157.98,144.02,152.91,56458,861891695,0
2021-03-12,154.0,167.77,149.0,153.0,80273,1281605908,0
2021-03-19,150.28,152.9,141.36,146.97,36139,530568443,0
2021-03-26,146.7,149.69,140.31,142.84,19743,284500167,0
2021-04-02,143.0,148.0,139.28,146.01,20855,298823530,0
2021-04-09,147.0,147.3,139.86,142.0,16018,228515693,0
2021-04-16,141.99,142.75,127.0,131.28,30237,404523521,0
2021-04-23,131.39,133.25,127.8,129.96,32819,428619562,0
2021-04-30,130.0,132.18,111.11,111.69,58376,696620879,0
2021-05-07,112.39,112.39,106.66,106.71,16737,183227787,0
2021-05-14,106.8,120.42,104.65,114.05,49274,553719795,0
2021-05-21,113.56,116.39,112.0,112.84,28111,319998741,0
2021-05-28,112.08,119.39,110.05,115.35,40651,469029510,0
2021-06-04,115.88,127.71,115.8,119.77,58841,721770658,0
2021-06-11,121.0,125.76,116.7,117.11,51443,614463532,0
2021-06-18,117.0,127.99,115.99,123.83,58894,719750934,0
2021-06-25,124.0,138.88,123.0,134.8,94093,1235972751,0
2021-07-02,133.5,139.95,127.2,127.42,82267,1111357580,0
2021-07-09,128.08,138.5,126.66,134.39,76877,1020130719,0
2021-07-16,134.01,134.01,117.82,120.62,65662,824884587,0
2021-07-23,122.59,122.61,101.12,102.27,182353,1967031203,0
2021-07-30,100.99,119.6,97.0,100.14,269259,2828538320,0
2021-08-06,99.87,118.97,98.15,108.89,223104,2403144238,0
2021-08-13,105.86,106.88,99.5,99.71,142365,1474463787,0
2021-08-20,99.35,102.32,97.81,99.9,90433,900231342,0
2021-08-27,100.05,100.9,90.8,91.41,115751,1118132993,0
2021-09-03,91.28,94.78,86.89,91.41,90533,815617241,0
2021-09-10,90.89,93.22,89.51,91.74,83215,760493455,0
2021-09-17,91.5,91.5,84.63,85.88,71988,629906254,0
2021-09-24,84.77,84.92,81.87,81.99,41194,343482472,0
2021-10-01,82.64,83.5,77.88,79.62,55930,447170195,0
2021-10-08,79.5,82.77,79.5,81.47,11768,95694024,0
2021-10-15,81.99,82.37,78.54,79.75,62087,497821247,0
2021-10-22,79.75,79.75,75.51,75.78,84204,648165918,0
2021-10-29,75.45,81.18,73.88,76.61,117207,902504662,0
2021-11-05,76.0,90.9,74.87,85.1,189551,1594414751,0
2021-11-12,83.98,88.7,81.35,85.67,149027,1256859199,0
2021-11-19,85.68,88.13,82.5,83.75,103110,870994926,0
2021-11-26,83.61,103.58,83.02,97.58,315492,3002221582,0
2021-12-03,96.61,100.5,90.61,94.03,218969,2086662192,0
2021-12-10,93.65,102.68,89.4,102.0,201828,1950272300,0
2021-12-17,102.0,106.7,93.56,93.76,211969,2127063324,0
2021-12-24,93.0,94.7,88.3,91.06,117878,1065750009,0
