datetime,open,high,low,close,volume,turnover,open_interest
2020-07-31,95.0,95.0,70.02,82.21,20534158,163235819307,0
2020-08-31,85.4,87.88,63.89,66.68,13391933,103318243576,0
2020-09-30,66.3,67.54,49.45,49.65,9456190,54549290877,0
2020-10-31,51.0,65.54,50.5,62.24,6988371,40760842483,0
2020-11-30,63.44,69.25,57.5,59.25,7181989,45295410656,0
2020-12-31,58.66,61.52,51.88,57.75,8206934,47093530288,0
2021-01-31,58.37,65.78,55.3,56.18,9542877,57893805792,0
2021-02-28,56.07,59.8,51.83,55.16,4340860,24219355312,0
2021-03-31,55.68,61.6,52.89,54.32,5469465,31042309776,0
2021-04-30,54.95,59.48,53.93,54.68,4423899,25019789120,0
2021-05-31,54.66,57.86,53.0,56.27,3383900,18736678832,0
2021-06-30,56.37,62.5,54.54,61.82,7106517,41277467152,0
2021-07-31,61.3,68.64,50.6,64.69,14539910,86491112480,0
2021-08-31,65.53,74.9,54.91,55.69,14328048,90165255760,0
2021-09-30,55.72,58.78,53.43,55.2,5915973,33233068944,0
2021-10-31,55.79,56.45,53.54,55.04,3305528,18156938720,0
2021-11-30,54.8,60.17,53.71,54.26,7824987,44151088784,0
2021-12-31,54.26,56.56,52.5,52.99,5135444,27853522288,0
2022-01-31,53.1,53.22,49.0,49.22,2703579,14015935008,0
2022-02-28,49.88,52.6,49.87,50.73,2017437,10302952816,0
2022-03-31,50.82,51.47,44.13,46.09,3309249,15967454896,0
2022-04-30,45.88,46.02,37.1,39.72,2365385,9969349568,0
2022-05-31,39.57,43.73,39.21,42.88,2996001,12624932208,0
2022-06-30,42.72,46.47,42.47,45.17,4259379,19165335072,0
2022-07-31,45.02,45.38,40.03,40.09,2935049,12413073691,0
2022-08-31,40.07,44.62,38.5,40.21,5767353,24199726348,0
2022-09-30,40.23,40.66,37.38,37.78,2204400,8681752152,0
2022-10-31,37.77,43.18,36.2,41.71,3460310,13667676019,0
2022-11-30,41.55,43.58,40.01,40.84,4209945,17549452379,0
2022-12-31,41.2,43.96,40.62,41.14,3074173,12903228853,0
2023-01-31,41.08,43.08,40.8,41.86,1875388,7862464594,0
2023-02-28,41.99,43.95,41.53,42.02,2907428,12439979511,0
2023-03-31,41.99,53.66,41.92,50.11,13333148,65749547194,0
2023-04-30,50.33,66.5,49.87,61.58,20234260,121591109375,0
2023-05-31,60.5,61.19,48.78,54.4,9750883,52988525354,0
2023-06-30,53.85,56.3,49.82,50.52,6941927,37184054302,0
2023-07-31,50.67,52.0,48.22,51.36,4335322,21618392641,0
2023-08-31,51.4,54.79,46.3,54.24,5041434,25325862216,0
2023-09-30,54.38,58.66,48.42,51.15,7347824,38881952471,0
2023-10-31,50.8,58.98,50.3,57.25,6959738,38614664287,0
2023-11-30,57.14,59.38,52.42,53.7,5283861,29436361796,0
2023-12-31,53.6,55.24,51.1,53.02,3676738,19569117433,0
2024-01-31,53.02,53.27,41.85,43.29,4309610,20153321295,0
2024-02-29,42.8,49.11,40.32,48.35,4796090,21539827644,0
2024-03-31,48.05,48.88,42.9,43.66,4630749,21750091785,0
2024-04-30,43.66,45.24,40.01,41.91,3566789,15025054878,0
2024-05-31,42.49,45.96,41.0,44.85,4368716,18853081411,0
2024-06-30,44.96,49.91,44.72,46.1,7194878,34048947666,0
2024-07-31,46.18,51.45,44.93,49.1,6159239,29752797809,0
2024-08-31,48.99,49.98,46.03,48.24,3342064,16095150575,0
2024-09-30,48.04,59.99,42.4,59.99,3959174,19183609810,0
2024-10-31,71.99,107.76,67.77,86.93,27419231,233289300161,0
2024-11-30,85.19,109.5,83.13,90.1,18941096,180145482783,0
2024-12-31,89.9,102.37,81.21,94.62,16434027,150801088667,0
2025-01-31,93.81,104.77,85.72,93.94,13225932,127022733716,0
2025-02-28,100.16,106.86,97.67,97.79,13561906,138179368017,0
2025-03-31,96.99,100.3,88.36,89.33,7332660,69257185121,0
2025-04-30,89.5,95.48,77.8,89.05,7208043,64039069533,0
2025-05-31,89.4,91.66,81.9,82.09,4245605,36367966246,0
2025-06-30,82.2,89.98,80.9,88.17,4753118,40270740048,0
2025-07-31,88.0,93.69,84.86,89.5,6333072,56422434224,0
2025-08-31,89.2,119.22,86.22,114.76,17775628,176668147777,0
2025-09-30,102.0,142.0,99.98,140.13,20412358,246040581206,0
2025-10-31,144.0,153.0,120.87,124.18,15693988,206055604638,0
2025-11-30,122.0,125.99,108.18,113.6,9678123,114243225657,0
2025-12-31,113.4,126.69,110.13,122.83,9552462,112719517857,0
2026-01-31,126.84,134.68,126.2,128.88,3368326,43878091759,0
