datetime,open,high,low,close,volume,turnover,open_interest
2020-07-17,95.0,95.0,75.0,77.06,7718451,65376943113,0
2020-07-24,77.19,82.89,70.02,71.95,7777127,59924697122,0
2020-07-31,72.67,84.99,70.02,82.21,5038580,37934179072,0
2020-08-07,85.4,87.88,78.92,80.47,5591927,46732914203,0
2020-08-14,78.32,79.65,73.78,75.55,2500924,19135576510,0
2020-08-21,75.0,76.45,70.86,71.87,2385167,17556947039,0
2020-08-28,72.0,72.85,63.89,66.78,2588248,17708778782,0
2020-09-04,66.9,67.8,63.03,66.28,2108712,13801178565,0
2020-09-11,61.4,62.2,52.66,55.23,3274692,18757910317,0
2020-09-18,55.61,58.58,53.71,57.69,2170497,12305636275,0
2020-09-25,58.06,58.4,53.66,53.7,1151049,6439707552,0
2020-10-02,51.5,51.51,49.45,49.65,1076907,5428885210,0
2020-10-09,51.0,51.38,50.5,50.94,302806,1543017960,0
2020-10-16,51.4,59.86,51.18,58.21,2516990,14301954395,0
2020-10-23,58.49,61.1,56.38,57.22,1827961,10733806496,0
2020-10-30,56.89,65.54,56.26,62.24,2340614,14182063632,0
2020-11-06,63.44,65.65,60.35,64.95,2295272,14667337328,0
2020-11-13,66.5,69.25,60.5,62.46,2325620,15128849408,0
2020-11-20,62.54,63.18,59.4,61.03,1180443,7204835072,0
2020-11-27,60.85,61.95,58.34,58.93,1058589,6388032448,0
2020-12-04,58.88,61.29,57.5,58.2,1751781,10409146768,0
2020-12-11,60.26,61.52,59.98,60.99,1839413,11194755312,0
2020-12-18,61.2,61.29,52.68,55.02,2031749,11429111680,0
2020-12-25,53.79,55.99,52.8,53.43,1436274,7834929152,0
2021-01-01,53.1,58.57,51.88,57.75,1469782,8131943776,0
2021-01-08,58.37,61.88,56.75,61.59,2339468,13934550432,0
2021-01-15,62.25,65.78,61.52,61.6,2932551,18689073968,0
2021-01-22,60.85,62.88,57.04,57.15,2514986,15116651216,0
2021-01-29,56.64,59.95,55.3,56.18,1755872,10153530176,0
