datetime,open,high,low,close,volume,turnover,open_interest
2020-03-31,13.3,13.8,13.29,13.76,430,574330,0
2020-04-30,10.02,19.88,10.0,13.0,4352,5612929,0
2020-05-31,13.02,14.5,12.5,13.0,5067,6595966,0
2020-06-30,12.93,18.0,12.8,18.0,16460,24059401,0
2020-07-31,18.52,18.88,11.96,13.02,23125,34854300,0
2020-08-31,13.05,14.48,11.5,12.5,2819,3509195,0
2020-09-30,12.06,12.5,10.6,11.68,1130,1300602,0
2020-10-31,15.5,15.5,10.04,12.8,1036,1190968,0
2020-11-30,11.0,11.9,9.5,10.5,2187,2306109,0
2020-12-31,9.6,11.3,9.58,10.19,1134,1118360,0
2021-01-31,9.45,10.4,8.35,10.2,316,305208,0
2021-02-28,9.99,20.0,8.82,10.0,372,335553,0
2021-03-31,8.81,9.9,6.22,8.84,2422,1628215,0
2021-04-30,8.1,9.6,6.66,7.58,940,713599,0
2021-05-31,7.53,7.88,5.06,7.1,1559,915054,0
2021-06-30,7.9,11.5,5.7,11.5,729,462385,0
2021-07-31,11.48,11.48,7.3,8.88,71,59781,0
2021-08-31,9.38,9.38,6.88,8.71,24220,21832298,0
2021-09-30,8.66,9.75,7.3,9.42,7191,5967260,0
2021-10-31,9.5,9.8,8.35,9.4,134,125026,0
2021-11-30,9.7,12.0,8.0,9.48,3565,3733577,0
2021-12-31,6.2,9.8,6.2,8.5,437,358369,0
2022-01-31,8.49,10.77,8.25,9.94,327,292481,0
2022-02-28,10.5,11.01,9.3,10.66,108,104086,0
2022-03-31,9.0,11.15,8.9,10.68,134,127051,0
2022-04-30,10.67,11.55,9.11,10.98,345,341441,0
2022-05-31,10.98,10.98,9.5,9.58,281,273671,0
2022-06-30,10.96,10.96,9.2,10.55,1238,1183558,0
