datetime,open,high,low,close,volume,turnover,open_interest
2020-03-13,13.3,13.31,13.29,13.3,380,505420,0
2020-03-20,13.8,13.8,13.76,13.76,50,68910,0
2020-04-17,10.02,19.88,10.02,13.2,214,251959,0
2020-04-24,13.2,15.08,10.0,10.51,1696,2331011,0
2020-05-01,10.65,13.09,10.65,13.0,2442,3029959,0
2020-05-08,13.02,13.88,13.0,13.01,421,549290,0
2020-05-15,13.0,13.58,12.75,12.75,2305,2998521,0
2020-05-22,12.51,14.2,12.51,13.0,1228,1597559,0
2020-05-29,13.0,14.5,12.5,13.0,1113,1450596,0
2020-06-05,12.93,13.77,12.8,13.0,6050,7904042,0
2020-06-12,13.4,14.8,13.01,14.1,2031,2777493,0
2020-06-19,14.13,15.8,14.13,15.01,4452,6634762,0
2020-06-26,15.0,16.98,15.0,16.94,1585,2564592,0
2020-07-03,17.15,18.52,17.1,17.12,4259,7552606,0
2020-07-10,17.5,18.88,17.5,17.79,7678,10897937,0
2020-07-17,17.81,18.05,17.0,17.45,5154,8130266,0
2020-07-24,17.88,17.95,16.5,16.5,3435,6016142,0
2020-07-31,16.48,16.48,11.96,13.02,4941,6435861,0
2020-08-07,13.05,13.79,12.8,12.9,829,1096676,0
2020-08-14,13.18,14.48,12.22,13.14,408,531242,0
2020-08-21,13.0,13.15,11.5,12.8,200,252347,0
2020-08-28,12.06,12.35,11.61,11.91,1366,1608617,0
2020-09-04,13.8,13.8,11.7,11.7,517,610099,0
2020-09-11,12.08,12.08,11.08,11.5,185,211702,0
2020-09-18,11.78,12.5,10.6,11.18,244,273939,0
2020-09-25,11.19,11.7,11.1,11.21,169,190647,0
2020-10-02,11.12,11.68,11.12,11.68,31,34528,0
2020-10-16,15.5,15.5,11.41,13.2,200,235395,0
2020-10-23,12.05,13.0,10.04,11.79,573,661046,0
2020-10-30,11.7,12.8,10.98,12.8,263,294527,0
2020-11-06,11.0,11.9,10.5,11.0,648,713464,0
2020-11-13,11.0,11.49,10.04,10.62,717,768490,0
2020-11-20,10.62,11.13,10.05,10.58,156,162255,0
2020-11-27,10.01,10.76,9.5,10.49,606,600175,0
2020-12-04,10.5,10.7,9.58,10.7,447,441144,0
2020-12-11,11.3,11.3,10.9,10.9,9,9850,0
2020-12-18,10.87,10.87,9.8,10.4,204,205094,0
2020-12-25,10.7,10.7,9.58,10.2,399,392148,0
2021-01-01,9.8,10.3,9.68,10.19,135,131849,0
2021-01-08,9.45,10.35,9.45,10.17,227,219567,0
2021-01-22,8.35,10.0,8.35,9.9,64,61358,0
2021-01-29,9.55,10.4,9.49,10.2,25,24283,0
2021-02-05,9.99,10.36,8.82,10.0,341,303553,0
2021-02-12,10.0,10.0,10.0,10.0,4,4000,0
2021-02-26,20.0,20.0,10.0,10.0,27,28000,0
2021-03-05,8.81,9.89,8.81,9.8,12,11249,0
2021-03-12,9.5,9.9,6.22,9.5,2143,1393014,0
2021-03-19,8.85,9.8,6.55,9.0,131,105948,0
2021-03-26,8.8,9.0,8.8,9.0,81,71066,0
2021-04-02,8.28,8.89,8.1,8.8,58,49438,0
2021-04-09,8.19,8.99,7.7,8.25,182,149047,0
2021-04-16,8.0,8.47,7.7,8.35,71,57279,0
2021-04-23,8.3,8.3,8.1,8.29,90,74763,0
2021-04-30,9.6,9.6,6.66,7.58,594,430010,0
2021-05-07,7.53,7.55,7.01,7.55,84,59015,0
2021-05-14,7.0,7.47,6.2,6.25,253,161005,0
2021-05-21,7.22,7.22,5.36,6.62,445,259105,0
2021-05-28,5.06,6.88,5.06,6.88,556,307855,0
2021-06-04,7.88,7.9,5.7,6.66,493,299880,0
2021-06-11,6.66,8.18,6.0,6.1,277,174324,0
2021-06-18,6.06,7.2,6.06,6.94,125,80068,0
2021-06-25,7.3,7.6,6.15,7.3,54,35037,0
2021-07-02,11.5,11.5,11.5,11.5,1,1150,0
2021-07-09,11.48,11.48,11.48,11.48,1,1148,0
2021-07-16,9.9,9.9,8.8,9.0,4,3689,0
2021-07-23,8.58,8.58,7.92,8.58,58,49275,0
2021-07-30,7.3,8.88,7.3,8.88,8,5669,0
2021-08-06,9.38,9.38,7.31,8.98,15039,13700970,0
2021-08-13,7.88,8.9,6.88,6.88,16,12118,0
2021-08-20,8.7,8.8,7.06,8.8,12,8810,0
2021-08-27,8.7,9.04,8.66,8.79,3173,2854140,0
2021-09-03,8.87,8.87,7.3,8.03,12253,10459585,0
2021-09-10,7.98,8.76,7.81,8.43,455,381398,0
2021-09-17,8.5,9.45,8.0,8.0,116,97020,0
2021-09-24,8.01,9.75,8.01,8.24,157,129196,0
2021-10-01,9.5,9.5,8.14,9.42,190,156321,0
2021-10-08,9.5,9.5,9.5,9.5,2,1900,0
2021-10-15,9.6,9.6,9.5,9.5,2,1910,0
2021-10-22,9.5,9.5,8.35,9.4,36,30738,0
2021-10-29,9.4,9.8,9.4,9.4,94,90478,0
2021-11-05,9.7,10.5,9.03,9.44,178,169737,0
2021-11-12,11.0,12.0,8.14,12.0,74,68049,0
2021-11-19,8.4,9.98,8.0,8.71,3198,3392687,0
2021-11-26,8.72,9.48,8.72,9.48,115,103104,0
2021-12-03,6.2,9.2,6.2,9.18,9,7803,0
2021-12-10,8.5,8.5,8.48,8.5,82,69382,0
2021-12-17,6.21,8.5,6.21,8.0,185,149980,0
2021-12-24,8.0,9.8,8.0,9.8,111,88924,0
2021-12-31,8.5,8.5,8.39,8.5,50,42280,0
2022-01-07,8.49,8.5,8.25,8.5,68,56455,0
2022-01-14,8.8,9.8,8.8,9.8,7,6280,0
2022-01-21,8.5,9.55,8.5,9.18,135,119548,0
2022-01-28,9.0,10.77,9.0,9.94,117,110198,0
2022-02-11,10.5,11.0,9.3,10.79,32,30780,0
2022-02-18,10.79,11.01,9.49,10.66,76,73306,0
2022-03-11,9.0,11.1,8.9,9.66,57,53424,0
2022-03-18,9.69,11.0,9.5,11.0,45,43242,0
2022-03-25,9.0,11.15,9.0,10.68,32,30385,0
2022-04-01,10.67,10.67,10.67,10.67,1,1067,0
2022-04-08,10.87,10.87,10.87,10.87,1,1087,0
2022-04-15,10.8,11.55,9.11,10.9,172,171632,0
2022-04-22,10.0,10.52,10.0,10.21,104,104073,0
2022-04-29,9.52,10.98,9.45,10.98,67,63582,0
2022-05-06,10.98,10.98,10.98,10.98,1,1098,0
2022-05-13,9.99,10.95,9.99,10.95,11,11166,0
2022-05-20,10.93,10.93,9.97,10.5,16,16224,0
2022-05-27,10.45,10.45,9.64,9.66,216,209934,0
2022-06-03,9.66,10.96,9.3,10.5,41,39357,0
2022-06-10,10.83,10.83,9.2,9.98,1072,1021420,0
2022-06-17,9.54,10.61,9.49,10.5,135,130429,0
2022-06-24,10.09,10.5,10.09,10.4,22,22834,0
2022-07-01,9.28,10.55,9.28,10.55,5,4767,0
