datetime,open,high,low,close,volume,open_interest
2022-05-05,1000.585,1036.86,993.928,1031.315,49876843,0
2022-05-06,1013.35,1033.049,1001.611,1024.565,34512513,0
2022-05-09,1023.059,1048.255,1020.591,1044.846,34056057,0
2022-05-10,1032.515,1061.822,1030.11,1061.822,30805690,0
2022-05-11,1061.179,1096.925,1061.179,1081.429,48086460,0
2022-05-12,1077.318,1086.591,1062.111,1071.291,31017561,0
2022-05-13,1070.173,1116.401,1070.173,1115.096,85026530,0
2022-05-16,1123.86,1136.315,1122.491,1128.557,62596063,0
2022-05-17,1130.802,1137.396,1124.212,1136.491,54106443,0
2022-05-18,1130.799,1136.094,1125.081,1125.834,49075476,0
2022-05-19,1115.466,1131.76,1107.734,1129.618,44262896,0
2022-05-20,1124.387,1138.785,1124.387,1136.144,32682897,0
2022-05-23,1135.64,1141.554,1129.83,1132.842,30260695,0
2022-05-24,1129.838,1133.483,1080.901,1085.79,53069920,0
2022-05-25,1083.39,1087.997,1074.643,1081.453,31337861,0
2022-05-26,1081.52,1084.63,1065.118,1079.148,25080923,0
2022-05-27,1076.182,1088.257,1072.59,1078.052,29469941,0
2022-05-30,1078.062,1090.016,1078.062,1085.588,32477810,0
2022-05-31,1083.897,1095.032,1083.683,1094.291,27514844,0
2022-06-01,1094.536,1100.841,1092.498,1097.863,33270180,0
2022-06-02,1094.495,1113.106,1093.736,1113.106,55392889,0
2022-06-06,1114.551,1145.01,1114.551,1142.84,63155765,0
2022-06-07,1138.239,1152.382,1135.699,1141.239,46805476,0
2022-06-08,1136.934,1147.367,1124.967,1138.273,43625341,0
2022-06-09,1135.499,1139.854,1124.609,1127.398,68831695,0
2022-06-10,1123.124,1131.953,1115.598,1131.435,56569135,0
2022-06-13,1124.635,1127.685,1115.749,1120.335,37191780,0
2022-06-14,1114.626,1114.98,1096.024,1113.473,51036536,0
2022-06-15,1110.443,1120.863,1110.443,1112.682,44198297,0
2022-06-16,1109.114,1118.139,1107.528,1112.316,39715572,0
2022-06-17,1107.926,1119.457,1105.135,1118.722,44911448,0
2022-06-20,1119.002,1137.218,1119.002,1135.953,49386527,0
2022-06-21,1134.098,1136.117,1121.756,1126.422,34616763,0
2022-06-22,1122.878,1133.691,1118.616,1122.462,29126891,0
2022-06-23,1118.509,1134.389,1118.509,1134.389,33652170,0
2022-06-24,1134.109,1146.639,1133.708,1146.639,39692790,0
2022-06-27,1149.378,1167.991,1149.378,1167.991,50484454,0
2022-06-28,1167.818,1197.835,1162.232,1195.945,112650511,0
2022-06-29,1188.138,1194.495,1165.356,1167.072,82011004,0
2022-06-30,1165.338,1174.33,1164.773,1167.117,53011169,0
2022-07-01,1165.711,1173.324,1156.931,1160.97,36011861,0
2022-07-04,1157.604,1159.84,1140.595,1149.201,32866095,0
2022-07-05,1145.493,1152.213,1132.541,1141.194,38216609,0
2022-07-06,1137.389,1140.894,1123.155,1129.815,32377757,0
2022-07-07,1127.904,1134.364,1119.638,1130.261,23817118,0
2022-07-08,1128.254,1138.141,1125.136,1131.517,23358721,0
2022-07-11,1128.656,1132.48,1110.709,1113.679,28772821,0
2022-07-12,1110.819,1116.06,1099.575,1102.56,39564070,0
2022-07-13,1099.06,1106.618,1096.017,1102.418,34700390,0
2022-07-14,1096.194,1105.215,1094.33,1103.72,31038058,0
2022-07-15,1106.769,1109.306,1086.795,1089.177,32023965,0
2022-07-18,1085.936,1088.791,1078.28,1088.791,32416281,0
2022-07-19,1085.256,1093.06,1083.623,1089.919,32599871,0
2022-07-20,1087.455,1095.83,1087.455,1093.859,37089687,0
2022-07-21,1086.025,1089.57,1082.382,1085.181,30430293,0
2022-07-22,1080.415,1087.883,1075.656,1078.722,36340994,0
2022-07-25,1079.121,1081.184,1064.562,1066.425,27572624,0
2022-07-26,1067.027,1082.874,1061.703,1082.874,59978000,0
2022-07-27,1085.271,1085.271,1076.796,1080.779,91215611,0
2022-07-28,1081.956,1083.914,1068.156,1073.086,59917897,0
2022-07-29,1072.397,1075.471,1060.976,1061.111,43630416,0
2022-08-01,1060.087,1062.891,1053.152,1058.172,36964984,0
2022-08-02,1053.175,1053.175,1011.509,1020.954,63026903,0
2022-08-03,1018.135,1031.324,1011.542,1014.927,39946928,0
2022-08-04,1017.171,1026.033,1012.255,1022.649,30176238,0
2022-08-05,1024.715,1038.768,1024.715,1038.751,30265690,0
2022-08-08,1038.032,1053.208,1038.032,1047.525,72249165,0
2022-08-09,1048.334,1052.754,1044.927,1051.502,53145244,0
2022-08-10,1053.745,1056.473,1049.797,1056.473,87275823,0
2022-08-11,1056.903,1078.72,1056.903,1078.432,101348001,0
2022-08-12,1078.844,1079.874,1068.85,1071.915,69270783,0
2022-08-15,1073.681,1085.059,1073.529,1085.059,50577468,0
2022-08-16,1087.824,1095.379,1087.824,1090.287,47813630,0
2022-08-17,1090.505,1093.783,1081.972,1090.878,42908371,0
2022-08-18,1088.212,1097.03,1088.212,1093.298,44798865,0
