datetime,open,high,low,close,volume,open_interest
2020-01-02,3066.336,3098.1,3066.336,3085.198,29247020800,0
2020-01-03,3089.022,3093.819,3074.518,3083.786,26149666700,0
2020-01-06,3070.909,3107.203,3065.309,3083.408,31257584200,0
2020-01-07,3085.488,3105.451,3084.329,3104.802,27658311100,0
2020-01-08,3094.239,3094.239,3059.131,3066.893,29787255300,0
2020-01-09,3082.64,3097.329,3080.131,3094.882,24343564900,0
2020-01-10,3102.294,3105.225,3081.396,3092.291,21044246200,0
2020-01-13,3091.493,3115.57,3075.384,3115.57,21062100400,0
2020-01-14,3120.667,3127.169,3105.605,3106.82,22997376900,0
2020-01-15,3103.175,3107.943,3082.043,3090.038,20231302300,0
2020-01-16,3095.734,3096.372,3070.884,3074.081,20337547500,0
2020-01-17,3081.464,3091.952,3067.253,3075.496,19030429900,0
2020-01-20,3082.113,3096.311,3070.48,3095.787,21049334100,0
2020-01-21,3085.79,3085.79,3051.23,3052.142,23483073900,0
2020-01-22,3038.487,3069.253,3006.268,3060.755,22385286500,0
2020-01-23,3037.952,3045.041,2955.346,2976.528,27276323400,0
2020-02-03,2716.698,2766.577,2716.698,2746.606,21591210300,0
2020-02-04,2685.269,2786.164,2685.269,2783.288,36404620000,0
2020-02-05,2792.371,2842.743,2778.864,2818.088,30976182300,0
2020-02-06,2826.885,2876.588,2807.609,2866.51,31639214200,0
2020-02-07,2858.932,2875.964,2838.77,2875.964,30947964200,0
2020-02-10,2860.499,2891.848,2851.05,2890.488,29492978400,0
2020-02-11,2894.541,2913.816,2882.243,2901.674,26916833500,0
2020-02-12,2895.556,2926.899,2892.424,2926.899,24873342900,0
2020-02-13,2927.144,2935.406,2901.243,2906.074,27480484400,0
2020-02-14,2899.866,2926.943,2899.574,2917.008,25065062700,0
2020-02-17,2924.991,2983.637,2924.991,2983.622,31319800700,0
2020-02-18,2981.41,2990.6,2960.775,2984.972,31166591300,0
2020-02-19,2979.522,2998.272,2971.822,2975.402,31514115100,0
