datetime,open,high,low,close,volume,open_interest
2020-01-31,1811.22,2004.393,1797.542,1927.742,167648857402,0
2020-02-29,1769.164,2293.463,1769.164,2071.566,288409707939,0
2020-03-31,2110.448,2238.735,1817.554,1871.917,266778718524,0
2020-04-30,1875.364,2077.807,1857.323,2069.432,196531535794,0
2020-05-31,2052.389,2153.244,2021.98,2086.666,147078549535,0
2020-06-30,2105.242,2441.9,2105.242,2438.197,199844859741,0
2020-07-31,2449.865,2896.309,2381.593,2795.4,319143028203,0
2020-08-31,2831.351,2893.403,2577.712,2728.313,285449654588,0
2020-09-30,2721.18,2789.121,2474.703,2574.758,418713948469,0
2020-10-31,2632.592,2793.485,2555.319,2655.865,249317625831,0
2020-11-30,2670.516,2831.368,2584.691,2631.889,253391670817,0
2020-12-31,2628.726,2969.753,2627.447,2966.256,216510792627,0
2021-01-31,2977.321,3427.444,2963.414,3128.865,204274338585,0
2021-02-28,3134.79,3475.998,2887.809,2914.113,129899249084,0
2021-03-31,2958.53,3023.208,2603.937,2758.501,199326372607,0
2021-04-30,2766.417,3110.156,2711.837,3091.395,163699820425,0
2021-05-31,3059.584,3309.749,2864.046,3309.069,162834785808,0
2021-06-30,3290.533,3484.193,3122.814,3477.178,261062048965,0
2021-07-31,3486.778,3576.119,3157.994,3440.182,327461373222,0
2021-08-31,3448.257,3569.838,3162.756,3214.117,351145282550,0
2021-09-30,3214.166,3282.454,3085.155,3244.646,280369752872,0
2021-10-31,3259.46,3370.785,3106.472,3350.665,165338773819,0
2021-11-30,3341.472,3522.504,3301.437,3495.593,323189292239,0
2021-12-31,3492.435,3520.466,3273.815,3322.673,329839763929,0
2022-01-31,3348.128,3349.455,2882.674,2908.945,280345762845,0
2022-02-28,2972.194,2987.498,2710.884,2881.306,198330191755,0
2022-03-31,2895.388,2905.128,2462.17,2659.492,299202319656,0
2022-04-30,2641.752,2687.153,2122.318,2319.137,202480584807,0
2022-05-31,2263.92,2426.575,2187.438,2405.085,186762064767,0
2022-06-30,2403.355,2863.658,2395.966,2810.601,246648710531,0
2022-07-31,2810.106,2887.718,2665.653,2670.451,226590109776,0
2022-08-31,2662.755,2803.43,2550.994,2570.415,265276338837,0
2022-09-30,2561.935,2584.853,2275.292,2288.969,153183200078,0
2022-10-31,2294.715,2469.034,2227.83,2265.078,139350868484,0
2022-11-30,2270.035,2470.636,2251.799,2345.313,235326342215,0
2022-12-31,2386.081,2432.106,2273.038,2346.767,193650026664,0
2023-01-31,2339.981,2661.281,2312.309,2580.839,131153871231,0
2023-02-28,2592.449,2631.858,2403.655,2429.027,250470547618,0
2023-03-31,2428.1,2449.445,2280.136,2399.502,305119952001,0
2023-04-30,2406.137,2463.272,2243.833,2324.715,302521671849,0
2023-05-31,2316.333,2319.828,2180.7,2193.408,278323215321,0
2023-06-30,2191.801,2277.33,2118.331,2215.001,285410325128,0
2023-07-31,2223.33,2256.054,2142.909,2236.673,249939196894,0
2023-08-31,2234.615,2282.648,2032.582,2102.575,277316589242,0
2023-09-30,2108.077,2122.624,1963.233,2003.908,233349726785,0
2023-10-31,2000.134,2022.361,1840.258,1968.226,242832926331,0
2023-11-30,1969.078,2035.911,1912.172,1922.591,334981392406,0
2023-12-31,1922.37,1934.091,1792.376,1891.366,248746494916,0
2024-01-31,1889.023,1889.023,1573.164,1573.372,231322836434,0
2024-02-29,1567.832,1829.143,1482.986,1807.034,268419114592,0
2024-03-31,1808.196,1926.396,1779.768,1818.203,356075609810,0
2024-04-30,1833.492,1904.915,1735.284,1858.393,301951807346,0
2024-05-31,1896.841,1907.021,1802.766,1805.109,294534373791,0
2024-06-30,1806.409,1858.686,1680.418,1683.43,255590261833,0
2024-07-31,1679.662,1735.601,1614.605,1688.142,291936404262,0
2024-08-31,1690.219,1694.591,1512.171,1580.459,319140841808,0
2024-09-30,1577.445,2182.388,1520.723,2175.086,329277435402,0
2024-10-31,2576.217,2576.217,2026.52,2164.462,659576449344,0
2024-11-30,2149.938,2448.201,2119.535,2224.003,653962539808,0
2024-12-31,2212.359,2358.485,2141.596,2141.596,568897506904,0
2025-01-31,2136.922,2151.477,1953.82,2063.82,335158503859,0
2025-02-28,2082.991,2284.038,2054.371,2170.392,512618545272,0
2025-03-31,2176.817,2243.279,2087.129,2103.699,493028583633,0
2025-04-30,2108.455,2127.538,1756.64,1948.03,399244616947,0
2025-05-31,1966.968,2103.369,1964.458,1993.188,348945422728,0
2025-06-30,1986.543,2154.0,1985.567,2153.014,437127369604,0
2025-07-31,2149.216,2406.594,2118.552,2328.313,521351365112,0
2025-08-31,2323.921,2933.992,2304.385,2890.125,596030789270,0
2025-09-30,2914.642,3279.018,2741.076,3238.16,522529037070,0
2025-10-31,3251.04,3331.859,2927.515,3187.533,328794691204,0
2025-11-30,3179.297,3240.345,2892.274,3052.587,415121032689,0
2025-12-31,3060.557,3268.695,3016.579,3203.172,440221327532,0
2026-01-31,3229.933,3351.216,3229.933,3327.813,142707987013,0
