datetime,open,high,low,close,volume,open_interest
2020-01-31,28249.369,29174.92,26295.49,26312.631,218273919383,0
2020-02-29,26189.609,28055.58,25989.41,26129.93,238162638920,0
2020-03-31,26077.73,26805.58,21139.26,23603.48,334524750867,0
2020-04-30,23365.9,24855.471,22756.131,24643.59,197301952142,0
2020-05-31,23895.109,24766.83,22519.73,22961.471,229549760007,0
2020-06-30,23539.91,25303.779,23539.91,24427.189,264779231705,0
2020-07-31,24563.57,26782.619,24526.91,24595.35,377031697584,0
2020-08-31,24566.811,25847.109,24167.789,25177.051,297413898280,0
2020-09-30,25085.67,25254.141,23124.25,23459.051,269103577510,0
2020-10-31,24039.391,24970.59,23674.52,24107.42,204114177614,0
2020-11-30,24274.83,27040.41,24232.66,26341.49,299611133297,0
2020-12-31,26422.711,27340.99,25998.869,27231.131,323909410615,0
2021-01-31,27087.131,30191.16,27079.24,28283.711,444981165913,0
2021-02-28,28457.85,31183.359,28382.26,28980.211,435946826620,0
2021-03-31,29457.891,29912.0,27505.08,28378.35,417878383061,0
2021-04-30,28594.551,29405.119,28274.27,28724.881,220733836429,0
2021-05-31,28659.91,29336.131,27715.881,29151.801,270199106731,0
2021-06-30,29159.061,29490.609,28216.09,28827.949,266269104483,0
2021-07-31,28859.02,28859.02,24748.84,25961.029,278223156785,0
2021-08-31,26054.811,26822.471,24581.6,25878.99,253908536735,0
2021-09-30,25871.82,26560.04,23771.46,24575.641,276860822978,0
2021-10-31,24478.68,26234.94,23681.44,25377.24,197661411158,0
2021-11-30,25268.35,25746.71,23175.37,23475.262,253336602953,0
2021-12-31,23595.57,24385.44,22665.25,23397.67,232746313076,0
2022-01-31,23510.54,24982.03,22709.6,23802.26,239020850945,0
2022-02-28,24392.86,25050.59,22406.12,22713.021,168192085048,0
2022-03-31,22739.84,22937.56,18235.48,21996.85,316706530437,0
2022-04-30,21693.1,22523.64,19665.49,21089.391,195545457090,0
2022-05-31,20927.62,21415.2,19178.89,21415.199,237974245283,0
2022-06-30,21407.79,22449.31,20697.17,21859.791,384411821560,0
2022-07-31,21690.68,22198.51,20050.05,20156.51,252839430513,0
2022-08-31,20026.6,20283.59,19189.54,19954.391,214610051739,0
2022-09-30,19761.72,19839.51,17016.28,17222.83,218453992476,0
2022-10-31,17050.25,18164.2,14597.31,14687.021,200256628560,0
2022-11-30,14859.92,18645.35,14859.92,18597.23,384939908857,0
2022-12-31,19058.9,20099.77,18530.82,19781.41,347336334482,0
2023-01-31,19570.43,22700.85,19303.73,21842.33,275380362348,0
2023-02-28,21920.8,22311.96,19783.07,19785.939,246535125987,0
2023-03-31,19849.97,21005.66,18829.11,20400.111,278616557895,0
2023-04-30,20379.5,20864.74,19520.97,19894.57,172483406759,0
2023-05-31,20122.9,20321.74,18044.86,18234.27,196873405860,0
2023-06-30,18190.27,20155.92,18190.27,18916.43,184178212231,0
2023-07-31,19002.55,20361.03,18279.73,20078.941,197607633192,0
2023-08-31,20211.2,20331.28,17573.7,18382.061,233778651612,0
2023-09-30,18592.53,18899.49,17352.83,17809.66,242364443277,0
2023-10-31,17546.39,18290.91,16879.66,17112.48,176506632237,0
2023-11-30,17139.4,18174.69,16863.05,17042.881,321805375930,0
2023-12-31,17019.17,17095.12,15972.31,17047.391,266213707652,0
2024-01-31,17135.12,17135.12,14794.16,15485.07,266650222476,0
2024-02-29,15522.86,16895.82,15336.86,16511.439,208158808005,0
2024-03-31,16390.89,17214.67,16095.68,16541.42,278634151244,0
2024-04-30,16811.74,18031.16,16044.45,17763.031,268179148180,0
2024-05-31,17760.68,19706.12,17740.62,18079.609,442785374263,0
2024-06-30,18283.56,18724.62,17583.19,17718.609,270815107827,0
2024-07-31,17669.42,18317.31,16924.58,17344.6,244466386186,0
2024-08-31,17327.85,18202.6,16441.44,17989.07,203381159862,0
2024-09-30,17862.59,21488.75,16964.28,21133.68,297519238342,0
2024-10-31,21289.6,23241.74,19977.35,20317.33,536076762334,0
2024-11-30,20427.88,21355.44,19054.4,19423.609,309120141079,0
2024-12-31,19442.31,21070.05,19386.82,20059.951,269158008638,0
2025-01-31,19932.8,20337.46,18671.49,20225.111,224849059872,0
2025-02-28,20048.87,24076.53,19764.67,22941.32,398534723154,0
2025-03-31,23135.12,24874.39,22547.53,23119.58,367576115079,0
2025-04-30,23217.11,23456.58,19260.21,22119.41,328504438950,0
2025-05-31,22192.51,23917.0,22058.3,23289.77,298548542552,0
2025-06-30,23043.1,24533.39,22668.35,24072.279,459654153739,0
2025-07-31,24304.31,25735.89,23690.94,24773.33,594719701505,0
2025-08-31,24744.34,25918.86,24372.51,25077.619,453659070151,0
2025-09-30,25508.21,27058.03,25013.26,26855.559,502350000304,0
2025-10-31,26918.3,27381.84,25145.34,25906.65,350520802830,0
2025-11-30,25999.17,27188.81,25178.63,25858.889,305820412798,0
2025-12-31,25945.87,26264.13,25086.54,25630.541,269494631984,0
2026-01-31,25717.42,26858.13,25717.42,26231.791,88007148238,0
