datetime,open,high,low,close,volume,open_interest
2020-08-31,7037.86,7771.28,7004.77,7543.86,8465050447,0
2020-09-30,7556.9,7909.39,6860.75,7087.64,15021965379,0
2020-10-31,7255.73,7878.84,7049.82,7534.39,8325786065,0
2020-11-30,7601.14,8524.94,7450.35,8019.36,13593542034,0
2020-12-31,8041.66,8480.35,7768.81,8425.9,16202101964,0
2021-01-31,8376.85,10279.96,8301.0,9358.11,20983995842,0
2021-02-28,9438.36,11001.78,8937.09,8954.44,14552415004,0
2021-03-31,9209.95,9629.89,7642.57,8183.8,18916629617,0
2021-04-30,8336.0,8669.17,8018.65,8313.18,9030710729,0
2021-05-31,8314.65,8323.99,7433.44,8104.35,10471358736,0
2021-06-30,8141.8,8338.03,7747.45,8155.37,10415457642,0
2021-07-31,8137.63,8137.63,6118.1,6780.97,15278003462,0
2021-08-31,6791.01,6932.31,5769.65,6607.78,13858282551,0
2021-09-30,6633.47,6958.01,6016.25,6101.52,9764642248,0
2021-10-31,6054.19,6794.8,5824.6,6375.85,7714880743,0
2021-11-30,6339.81,6724.95,5922.26,6028.63,9732324493,0
2021-12-31,6036.58,6160.95,5427.94,5670.96,9063993977,0
2022-01-31,5704.38,5923.45,5228.19,5416.29,8433974567,0
2022-02-28,5555.18,5726.59,5015.99,5118.02,6785503262,0
2022-03-31,5136.66,5190.18,3463.44,4557.99,17282765648,0
2022-04-30,4420.86,4773.69,3780.07,4471.75,8198890222,0
2022-05-31,4379.76,4505.18,3755.89,4483.6,11455181877,0
2022-06-30,4456.29,5137.77,4327.89,4870.3,17264131579,0
2022-07-31,4851.48,4991.98,4297.33,4331.19,12594487076,0
2022-08-31,4303.36,4429.4,4012.51,4273.68,10901817191,0
2022-09-30,4232.42,4289.51,3385.26,3450.12,11103504077,0
2022-10-31,3423.37,3709.39,2720.38,2852.57,13607501642,0
2022-11-30,2903.05,3885.43,2893.08,3798.19,24655051017,0
2022-12-31,3950.8,4390.86,3818.84,4128.79,19936753530,0
2023-01-31,4081.29,4825.59,4018.85,4542.58,14645141507,0
2023-02-28,4572.9,4804.85,3906.8,3925.06,17601528414,0
2023-03-31,3939.23,4360.77,3754.31,4303.71,20737620480,0
2023-04-30,4279.53,4314.8,3785.22,3901.52,20450456112,0
2023-05-31,3968.87,4016.54,3563.99,3626.73,11382491615,0
2023-06-30,3617.57,4271.28,3611.29,3911.31,12968635762,0
2023-07-31,3942.62,4688.69,3851.82,4549.95,15594622019,0
2023-08-31,4599.84,4661.38,3910.3,4179.49,12817660053,0
2023-09-30,4257.6,4309.87,3760.13,3920.59,9767365038,0
2023-10-31,3858.66,4038.54,3586.5,3759.16,9585624254,0
2023-11-30,3762.02,4169.7,3711.6,3899.64,14815906594,0
2023-12-31,3885.26,3886.03,3527.45,3764.29,12683039715,0
2024-01-31,3803.44,3808.23,2984.9,3005.8,14443531540,0
2024-02-29,3029.81,3547.16,2987.68,3431.3,14509525758,0
2024-03-31,3396.36,3704.06,3317.12,3477.55,17319512686,0
2024-04-30,3558.92,3805.88,3233.76,3700.67,28262977782,0
2024-05-31,3700.23,4162.51,3683.62,3690.76,37993070724,0
2024-06-30,3744.43,3886.31,3546.7,3554.45,21241318215,0
2024-07-31,3538.13,3787.33,3401.82,3516.87,21292082031,0
2024-08-31,3503.51,3614.68,3272.06,3560.61,16256308894,0
2024-09-30,3539.86,4841.82,3403.55,4751.81,26875442110,0
2024-10-31,4840.08,5451.53,4319.17,4499.15,48527109939,0
2024-11-30,4504.48,4838.38,4188.74,4353.55,26030030219,0
2024-12-31,4355.64,4854.34,4342.7,4468.11,28402698686,0
2025-01-31,4436.74,4751.66,4168.04,4723.63,24442129384,0
2025-02-28,4699.47,6085.13,4572.6,5568.14,67836473063,0
2025-03-31,5631.89,6195.4,5335.85,5394.72,43001380225,0
2025-04-30,5441.99,5517.76,4296.16,5087.42,43830780421,0
2025-05-31,5112.09,5500.89,5079.01,5170.43,27480460306,0
2025-06-30,5101.67,5484.63,5009.66,5302.82,32072718638,0
2025-07-31,5359.67,5802.88,5129.52,5453.14,40793569757,0
2025-08-31,5447.96,5856.4,5350.7,5674.31,52293662780,0
2025-09-30,5792.25,6475.92,5553.61,6465.66,66778207245,0
2025-10-31,6483.22,6715.46,5732.75,5908.08,39994201101,0
2025-11-30,5936.28,6025.53,5361.74,5599.11,29859567094,0
2025-12-31,5611.02,5706.54,5348.31,5515.98,29070176830,0
2026-01-31,5547.85,5875.32,5530.99,5687.14,10663009035,0
