datetime,open,high,low,close,volume,turnover,open_interest
2020-01-10,3217.55,3282.99,3214.6399,3265.3501,9192878825,29892890000000,0
2020-01-17,3271.1299,3329.8799,3268.4299,3329.6201,9486614523,31289560000000,0
2020-01-24,3321.03,3337.77,3281.53,3295.47,8183826263,27164110000000,0
2020-01-31,3247.1599,3293.47,3214.6799,3225.52,11217635469,36594710000000,0
2020-02-07,3235.6599,3347.96,3235.6599,3327.71,10311900088,34104990000000,0
2020-02-14,3318.28,3385.0901,3317.77,3380.1599,9198330107,30948300000000,0
2020-02-21,3369.04,3393.52,3328.45,3337.75,7786944777,26215540000000,0
2020-02-28,3257.6101,3259.8101,2855.8401,2954.22,17948416140,55197770000000,0
2020-03-06,2974.28,3136.72,2901.54,2972.3701,17913173304,54270440000000,0
2020-03-13,2863.8899,2882.5901,2478.8601,2711.02,23515989115,63738300000000,0
2020-03-20,2508.5901,2562.98,2280.52,2304.9199,24535785955,59291700000000,0
2020-03-27,2290.71,2637.01,2191.8601,2541.47,22148749030,54147380000000,0
2020-04-03,2558.98,2641.3899,2447.49,2488.6499,18492441257,46868500000000,0
2020-04-10,2578.28,2818.5701,2574.5701,2789.8201,15945113362,43184990000000,0
2020-04-17,2782.46,2879.22,2721.1699,2874.5601,15877624340,44563850000000,0
2020-04-24,2845.6201,2868.98,2727.1001,2836.74,14613087223,40984130000000,0
2020-05-01,2854.6499,2954.8601,2821.6101,2830.71,16532138476,47848830000000,0
2020-05-08,2815.01,2932.1599,2797.8501,2929.8,14156712082,40675140000000,0
2020-05-15,2915.46,2945.8201,2766.6399,2863.7,15485171826,44300630000000,0
2020-05-22,2913.8601,2980.29,2913.8601,2955.45,14315558727,42218690000000,0
2020-05-29,3004.0801,3068.6699,2969.75,3044.3101,14539867647,43937910000000,0
2020-06-05,3038.78,3211.72,3031.54,3193.9299,17003020333,52972320000000,0
2020-06-12,3199.9199,3233.1299,2984.47,3041.3101,17933286200,56390700000000,0
2020-06-19,2993.76,3155.53,2965.6599,3097.74,16371338014,50760480000000,0
2020-06-26,3094.4199,3154.8999,3004.6299,3009.05,15575230264,47953750000000,0
2020-07-03,3018.5901,3165.8101,2999.74,3130.01,10415291343,32174540000000,0
2020-07-10,3155.29,3186.8201,3115.7,3185.04,12063044402,38134740000000,0
2020-07-17,3205.0801,3238.28,3127.6599,3224.73,12595400005,40318680000000,0
2020-07-24,3224.29,3279.99,3200.05,3215.6299,12254570790,39791420000000,0
2020-07-31,3219.8401,3272.1699,3204.1299,3271.1201,12549702666,40659230000000,0
2020-08-07,3288.26,3352.54,3284.53,3351.28,11926517589,39574450000000,0
2020-08-14,3356.04,3387.8899,3326.4399,3372.8501,11387578451,38293480000000,0
2020-08-21,3380.8601,3399.96,3354.6899,3397.1599,9590996037,32448620000000,0
2020-08-28,3418.0901,3509.23,3413.1299,3508.01,10677624814,36960310000000,0
2020-09-04,3509.73,3588.1101,3349.6299,3426.96,13608353944,47620920000000,0
2020-09-11,3371.8799,3425.55,3310.47,3340.97,10501677925,35343870000000,0
2020-09-18,3363.5601,3428.9199,3292.3999,3319.47,14517375347,48920080000000,0
2020-09-25,3285.5701,3323.3501,3209.45,3298.46,12367506736,40459170000000,0
2020-10-02,3333.8999,3397.1799,3323.6899,3348.4399,11488744311,38549150000000,0
2020-10-09,3367.27,3482.3401,3354.54,3477.1299,10981192763,37527600000000,0
2020-10-16,3500.02,3549.8501,3440.8899,3483.8101,11016269421,38576910000000,0
2020-10-23,3493.6599,3502.4199,3415.3401,3465.3899,10922749809,37691550000000,0
2020-10-30,3441.4199,3441.4199,3233.9399,3269.96,13707807184,45679950000000,0
2020-11-06,3296.2,3529.05,3279.74,3509.4399,12486218579,42707320000000,0
2020-11-13,3583.04,3645.99,3511.9099,3585.1499,15696264460,55932810000000,0
2020-11-20,3600.1599,3628.51,3543.8401,3557.54,12448442898,44707340000000,0
2020-11-27,3566.8201,3644.3101,3552.77,3638.3501,9240883634,33363920000000,0
2020-12-04,3634.1799,3699.2,3594.3899,3699.1201,13858306598,50660870000000,0
2020-12-11,3694.73,3712.3899,3633.3999,3663.46,12061854869,44364680000000,0
2020-12-18,3675.27,3726.7,3645.8401,3709.4099,13735639890,50770590000000,0
2020-12-25,3684.28,3711.24,3636.48,3703.0601,7449724243,27478990000000,0
2021-01-01,3723.03,3760.2,3723.03,3756.0701,6511588319,24336400000000,0
2021-01-08,3764.6101,3826.6899,3662.71,3824.6799,13210502974,49587260000000,0
2021-01-15,3803.1399,3823.6001,3749.6201,3768.25,12734909460,48352560000000,0
2021-01-22,3781.8799,3861.45,3780.3701,3841.47,9666076336,37030270000000,0
2021-01-29,3851.6799,3870.8999,3694.1201,3714.24,15703175276,59640330000000,0
2021-02-05,3731.1699,3894.5601,3725.6201,3886.8301,11612830109,44430540000000,0
2021-02-12,3892.5901,3937.23,3884.9399,3934.8301,10444542720,40858240000000,0
2021-02-19,3939.6101,3950.4299,3885.03,3906.71,8732953385,34240960000000,0
2021-02-26,3885.55,3928.6499,3789.54,3811.1499,14522483900,56152100000000,0
2021-03-05,3842.51,3914.5,3723.3401,3841.9399,14178872273,54355560000000,0
2021-03-12,3844.3899,3960.27,3819.25,3943.3401,13276581084,51675210000000,0
2021-03-19,3942.96,3983.8701,3886.75,3913.1001,14530515224,57251420000000,0
2021-03-26,3916.48,3978.1899,3853.5,3974.54,12253224713,48047130000000,0
2021-04-02,3969.3101,4020.6299,3943.25,4019.8701,9110004069,36225850000000,0
2021-04-09,4034.4399,4129.48,4034.4399,4128.7998,10196316937,41620620000000,0
2021-04-16,4124.71,4191.3101,4114.8198,4185.4702,10411749806,43179230000000,0
2021-04-23,4179.7998,4194.1699,4118.3799,4180.1699,10766529322,44734760000000,0
2021-04-30,4185.0298,4218.7798,4174.8501,4181.1699,10977763263,46007970000000,0
2021-05-07,4191.98,4238.04,4128.5898,4232.6001,10788413151,45157800000000,0
2021-05-14,4228.29,4236.3901,4056.8799,4173.8501,11200249938,46372190000000,0
2021-05-21,4169.9199,4188.7202,4061.4099,4155.8599,11325807159,46920160000000,0
2021-05-28,4170.1602,4218.3599,4170.1602,4204.1099,11367657693,47731030000000,0
2021-06-04,4216.52,4234.1201,4167.9302,4229.8901,8205951413,34518460000000,0
2021-06-11,4229.3398,4249.7402,4208.4102,4247.4399,9304697338,39369450000000,0
2021-06-18,4248.3101,4257.1602,4164.3999,4166.4502,12095700855,51043470000000,0
2021-06-25,4173.3999,4286.1201,4173.3999,4280.7002,10216921235,43390360000000,0
2021-07-02,4284.8999,4355.4302,4274.6699,4352.3398,9099143541,39155550000000,0
