datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,9039.46,9451.4297,8943.5,9150.9404,46996535839,433578200000000,0
2020-02-29,9190.7197,9838.3701,8264.1602,8567.3701,43939128491,410136900000000,0
2020-03-31,8667.1396,9070.3203,6631.4199,7700.1001,71503574699,552783400000000,0
2020-04-30,7459.5,8957.2598,7288.1099,8889.5498,67457987808,561278000000000,0
2020-05-31,8681.29,9523.6396,8537.8301,9489.8701,70602370929,643878500000000,0
2020-06-30,9471.4199,10221.7998,9403.0,10058.7998,100958154522,993346100000000,0
2020-07-31,10063.7002,10839.9297,10048.0,10745.2998,88231516969,925794900000000,0
2020-08-31,10848.5996,11829.7998,10762.7002,11775.5,71408892878,798532500000000,0
2020-09-30,11851.0,12074.0996,10519.5,11167.5,73136735807,811474800000000,0
2020-10-31,11292.0,11965.5,10822.5996,10911.5996,69460661720,794755800000000,0
2020-11-30,11010.4004,12244.5996,10830.9004,12198.7002,82606923347,977089900000000,0
2020-12-31,12313.3643,12973.332,12214.7383,12888.2822,103061487541,1299659400000000,0
2021-01-31,12958.5225,13728.9834,12543.2412,13070.6943,127295862017,1679708300000000,0
2021-02-28,13226.1777,14175.1152,13003.9805,13192.3438,129864529940,1786933400000000,0
2021-03-31,13406.1621,13620.7109,12397.0537,13246.8711,118522474371,1559862700000000,0
2021-04-30,13414.3242,14211.5723,13404.1777,13962.6816,82088118662,1140813500000000,0
2021-05-31,14031.7734,14042.124,13002.5352,13748.7383,80055414788,1083125800000000,0
2021-06-30,13829.0547,14535.9688,13548.9287,14503.9531,97891240389,1378491400000000,0
2021-07-31,14493.6904,14863.6465,14178.6572,14672.6777,78749399346,106393200000000,0
2021-08-31,14758.6035,15288.083,14423.1621,15259.2354,79197575573,0,0
2021-09-30,15308.9756,15403.4375,14444.2998,14448.5811,85006462799,0,0
2021-10-31,14494.9307,15504.1211,14181.6914,15498.3887,86892858215,0,0
2021-11-30,15541.2617,16212.2285,15451.3848,15537.6904,95576873630,0,0
2021-12-31,15752.2695,15901.4697,14860.0391,15644.9707,87950613640,0,0
2022-01-31,15732.4971,15852.1357,13094.6533,14239.8828,82697394461,0,0
2022-02-28,14277.4336,14509.5586,12587.8818,13751.3994,75277846916,0,0
2022-03-31,13716.6982,14646.9023,12555.3496,14220.5186,109682083330,0,0
2022-04-30,14269.5303,14534.3779,12315.7422,12334.6396,80921180117,0,0
2022-05-31,12331.6855,12985.0117,11035.6885,12081.3916,92580125864,0,0
2022-06-30,12176.8916,12320.1211,10565.1348,11028.7354,94577015443,0,0
2022-07-31,11006.834,12426.2637,10911.4531,12390.6875,81171857337,0,0
2022-08-31,12317.9629,13181.0869,11790.0244,11816.2031,95687349753,0,0
2022-09-30,11707.4424,12270.1885,10572.3301,10575.6191,79055780633,0,0
2022-10-31,10659.0107,11230.4404,10088.8281,10988.1455,80812306732,0,0
2022-11-30,11154.7373,11492.6162,10262.9268,11467.9961,84443186897,0,0
2022-12-31,11475.1719,11571.6416,10207.4727,10466.4814,85122384860,0,0
2023-01-31,10562.0625,11691.8877,10265.0391,11584.5518,92777839413,0,0
2023-02-28,11573.1436,12269.5547,11334.4658,11455.5439,85342184207,0,0
2023-03-31,11447.5811,12227.9316,10982.8027,12221.9062,102153914310,0,0
2023-04-30,12146.0928,12245.4268,11798.7734,12226.584,79853661219,0,0
2023-05-31,12210.0479,13154.292,11925.3711,12935.2852,90039264938,0,0
2023-06-30,12944.4639,13864.0605,12903.626,13787.9229,96495705055,0,0
2023-07-31,13798.7041,14446.5508,13567.2549,14346.0234,87114580028,0,0
2023-08-31,14274.9336,14309.2109,13161.7646,14034.9678,98035664879,0,0
2023-09-30,14129.9639,14149.6221,12963.1641,13219.3223,84065520787,0,0
2023-10-31,13217.9844,13714.1357,12543.8564,12851.2383,83634574020,0,0
2023-11-30,12887.0635,14423.2178,12875.1992,14226.2188,83749172415,0,0
2023-12-31,14181.3545,15150.0664,14058.5205,15011.3525,109265007774,0,0
2024-01-31,14873.7031,15630.585,14477.5684,15164.0117,97575486745,0,0
2024-02-29,15254.0234,16134.2178,15208.8818,16091.9229,95186399918,0,0
2024-03-31,16109.8252,16538.8652,15862.6279,16379.458,93957367301,0,0
2024-04-30,16397.0488,16490.6543,15222.7773,15657.8223,93753323975,0,0
2024-05-31,15646.0938,17032.6562,15557.6426,16735.0156,128673419753,0,0
2024-06-30,16865.7051,18034.998,16646.4297,17732.6035,92969651726,0,0
2024-07-31,17773.8965,18671.0703,17015.377,17599.4004,104228650053,0,0
2024-08-31,17647.0312,18017.6895,15708.5371,17713.625,104900291270,0,0
2024-09-30,17585.4492,18327.3398,16668.5723,18189.1699,95707660179,0,0
2024-10-31,18154.9395,18785.4941,17767.791,18095.1504,115404039408,0,0
2024-11-30,18189.666,19366.0684,18112.8301,19218.166,129242809960,0,0
2024-12-31,19255.4258,20204.582,19168.3809,19310.791,139190581367,0,0
2025-01-31,19403.9004,20118.6074,18831.9062,19627.4414,144649422052,0,0
2025-02-28,19215.375,20110.1152,18372.9863,18847.2793,132067122975,0,0
2025-03-31,18923.3594,18992.3027,16854.3711,17299.2871,134542921527,0,0
2025-04-30,17221.5488,17716.5215,14784.0312,17446.3418,162358574590,0,0
2025-05-31,17793.1367,19389.3926,17503.0137,19113.7656,172199463095,0,0
2025-06-30,19063.0605,20418.3086,18985.3027,20369.7344,164404581972,0,0
2025-07-31,20290.6113,21457.4805,20105.416,21122.4492,188627100019,0,0
2025-08-31,20830.6426,21803.748,20560.1719,21455.5527,154741216644,0,0
2025-09-30,21086.5742,22801.8965,21033.0469,22660.0098,164667176729,0,0
2025-10-31,22530.9453,24019.9941,22193.0742,23724.957,212666329872,0,0
