datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,28638.9707,29373.6191,28169.5293,28256.0293,6270323649,181029310000000,0
2020-02-29,28319.6504,29568.5703,24681.0098,25409.3594,7051033225,197763470000000,0
2020-03-31,25590.5098,27102.3398,18213.6504,21917.1602,15631880044,348547700000000,0
2020-04-30,21227.3809,24764.7695,20735.0195,24345.7207,9876385546,229453530000000,0
2020-05-31,24120.7793,25758.7891,22789.6191,25383.1094,8014716638,194490430000000,0
2020-06-30,25342.9902,27580.2109,24843.1797,25812.8809,9820702081,255788930000000,0
2020-07-31,25879.3809,27071.3301,25523.5098,26428.3203,8267350211,218130740000000,0
2020-08-31,26542.3203,28733.3496,26534.3809,28430.0508,7505832008,208655070000000,0
2020-09-30,28439.6094,29199.3496,26537.0098,27781.6992,10050347041,279374490000000,0
2020-10-31,27940.6309,28957.9004,26143.7695,26501.5996,8505904142,238025190000000,0
2020-11-30,26691.2793,30116.5098,26691.2793,29638.6406,7919950825,230591220000000,0
2020-12-31,29797.5,30637.4707,29599.2891,30606.4805,8170940313,246181840000000,0
2021-01-31,30627.4707,31272.2207,29856.3008,29982.6191,8218843900,253257600000000,0
2021-02-28,30054.7305,32009.6406,30014.9707,30932.3691,6774930356,211826380000000,0
2021-03-31,31065.9004,33259.0,30547.5293,32981.5508,9785394114,316195300000000,0
2021-04-30,33054.5781,34256.75,32985.3516,33874.8516,6883844637,232542210000000,0
2021-05-31,33904.8906,35091.5586,33473.8008,34529.4492,6597570415,226015970000000,0
2021-06-30,34584.1914,34849.3203,33271.9297,34502.5117,6818988681,233569110000000,0
2021-07-31,34507.3203,35171.5195,33741.7617,34935.4688,6714910005,19831080000000,0
2021-08-31,34968.5586,35631.1914,34690.25,35360.7305,5655267716,0,0
2021-09-30,35387.5508,35475.3984,33613.0312,33843.9219,6669620012,0,0
2021-10-31,33930.6992,35892.9219,33785.5391,35819.5586,6774690859,0,0
2021-11-30,35833.6484,36565.7305,34424.4414,34483.7188,7231866264,0,0
2021-12-31,34678.9414,36679.4414,34006.9805,36338.3008,8405947877,0,0
2022-01-31,36321.5898,36952.6484,33150.3281,35131.8594,8904219598,0,0
2022-02-28,35151.4688,35824.2812,32272.6406,33892.6016,7363926383,0,0
2022-03-31,33813.4805,35372.2617,32578.7305,34678.3516,9207711172,0,0
2022-04-30,34740.8906,35492.2188,32913.1484,32977.2109,7209109107,0,0
2022-05-31,32978.4883,34117.7383,30635.7598,32990.1211,8973932885,0,0
2022-06-30,33156.3086,33272.3398,29653.2891,30775.4297,7701319902,0,0
2022-07-31,30737.7695,32910.1797,30143.9297,32845.1289,6385366365,0,0
2022-08-31,32755.7109,34281.3594,31509.5898,31510.4297,7002186744,0,0
2022-09-30,31454.5801,32504.0391,28715.8496,28725.5098,7817358581,0,0
2022-10-31,28855.25,32889.8086,28660.9395,32732.9492,7810131995,0,0
2022-11-30,32862.7891,34589.7695,31727.0508,34589.7695,7301690950,0,0
2022-12-31,34533.5898,34712.2812,32573.4297,33147.25,6984537846,0,0
2023-01-31,33148.8984,34342.3203,32812.3281,34086.0391,6823930458,0,0
2023-02-28,34039.6016,34334.6992,32636.4297,32656.6992,6137547148,0,0
2023-03-31,32656.3691,33572.2188,31429.8203,33274.1484,8127135468,0,0
2023-04-30,33245.7812,34104.5586,33235.8516,34098.1602,5380070861,0,0
2023-05-31,34116.8086,34257.8281,32586.5605,32908.2695,6692454404,0,0
2023-06-30,32929.8516,34588.6797,32704.5098,34407.6016,7026667529,0,0
2023-07-31,34369.7812,35645.3516,33705.6797,35559.5312,6431615483,0,0
2023-08-31,35585.9883,35679.1289,34029.2188,34721.9102,7151346289,0,0
2023-09-30,34876.2383,34979.1797,33306.3008,33507.5,6241491019,0,0
2023-10-31,33455.5,34147.6289,32327.1992,33052.8711,6717628570,0,0
2023-11-30,33081.8711,35970.6992,33010.8516,35950.8906,6326476759,0,0
2023-12-31,35914.4492,37778.8516,35914.4492,37689.5391,6365207011,0,0
2024-01-31,37566.2188,38588.8594,37122.9492,38150.3008,7185970655,0,0
2024-02-29,38175.3398,39282.2812,38039.8594,38996.3906,6331817223,0,0
2024-03-31,38989.5117,39889.0508,38457.8281,39807.3711,7390514873,0,0
2024-04-30,39807.9297,39815.0,37611.5586,37815.9219,7809561201,0,0
2024-05-31,37845.5586,40077.3984,37780.5391,38686.3203,7592044650,0,0
2024-06-30,38709.9883,39571.2305,38247.2188,39118.8594,7300497324,0,0
2024-07-31,39186.1992,41376.0,39037.9414,40842.7891,7592704793,0,0
2024-08-31,40916.9609,41585.2109,38499.2695,41563.0781,8399528128,0,0
2024-09-30,41489.6719,42628.3203,39993.0703,42330.1484,8315962510,0,0
2024-10-31,42262.9688,43325.0898,41704.6289,41763.4609,7209617101,0,0
2024-11-30,41869.8203,45071.2891,41647.3008,44910.6484,10170028374,0,0
2024-12-31,44925.8594,45073.6289,42146.3281,42544.2188,10249776026,0,0
2025-01-31,42660.0898,45054.3594,41844.8906,44544.6602,12078940818,0,0
2025-02-28,44268.1484,44966.6289,43100.8711,43840.9102,10758071226,0,0
2025-03-31,43900.4883,44033.7812,40661.7695,42001.7617,13803868797,0,0
2025-04-30,41879.75,42382.2695,36611.7812,40669.3594,15912095585,0,0
